"field_year","Field_Name","estimated","frozen","storm_start","storm_end","month_name","runoff_in","runoff_volume_cubicft","peak_discharge_cfs","sediment_yield_lbsac","cl_yield_lbsac","no3_yield_lbsac","nh4_yield_lbsac","orgn_yield_lbsac","tn_yield_lbsac","srp_yield_lbsac","tp_yield_lbsac","sediment_conc_mgL","cl_conc_mgL","no3_conc_mgL","nh4_conc_mgL","orgn_conc_mgL","tn_conc_mgL","srp_conc_mgL","tp_conc_mgL","sediment_load_lbs","cl_load_lbs","no3_load_lbs","nh4_load_lbs","orgn_load_lbs","tn_load_lbs","srp_load_lbs","tp_load_pounds"
"2017","AR1","Estimated","Non-Frozen",2016-10-26 12:23:00,2016-10-26 14:45:00,"Oct",0.00334599061871789,224.7,0.04591,0.149,0.00303,0.000834,0.00232,0.00281,0.00596,0.00172,0.00216,"197","4","1.1",3.06,3.7,7.86,2.27,2.85,2.76,0.0561,0.0154,0.0429,0.0519,0.11,0.0318,0.04
"2017","AR1","Estimated","Non-Frozen",2016-11-02 13:13:00,2016-11-02 14:45:00,"Nov",0.00432730250912069,290.6,0.1655,0.193,0.00392,0.00108,0.003,0.00363,0.00771,0.00223,0.00279,"197","4","1.1",3.06,3.7,7.86,2.27,2.85,3.57,0.0726,0.02,0.0555,0.0671,0.143,0.0412,0.0517
"2017","AR1","Measured","Frozen",2017-01-16 17:45:00,2017-01-17 22:30:00,"Jan",0.0501526319708138,3368,0.3365,2.24,0.0455,0.0125,0.0348,0.042,0.0893,0.0258,0.0324,"197","4","1.1",3.06,3.7,7.86,2.27,2.85,41.4,0.841,0.231,0.643,0.778,1.65,0.477,0.599
"2017","AR1","Measured","Frozen",2017-01-19 23:30:00,2017-01-20 10:45:00,"Jan",0.0837763383217929,5626,0.8096,2.51,0.235,0.116,0.144,0.141,0.401,0.0609,0.0739,"132","12.4","6.1",7.56,7.44,21.1,3.21,3.89,46.4,4.36,2.14,2.66,2.61,7.41,1.13,1.37
"2017","AR1","Measured","Frozen",2017-01-20 10:45:00,2017-01-20 15:15:00,"Jan",0.0121167448440176,813.7,0.1138,0.167,0.0313,0.0159,0.0189,0.019,0.0538,0.0067,0.0084,"61","11.4","5.8",6.89,6.91,19.6,2.44,3.06,3.1,0.579,0.295,0.35,0.351,0.996,0.124,0.155
"2017","AR1","Measured","Non-Frozen",2017-05-01 03:21:00,2017-05-01 06:45:00,"May",0.0142223214950488,955.1,0.3756,2.63,0.000806,0.000161,0.000226,0.0184,0.0188,0.00118,0.00606,"817","0.5","0.1",0.07,5.71,5.83,0.366,1.88,48.7,0.0149,0.00298,0.00417,0.34,0.348,0.0218,0.112
"2017","AR1","Measured","Non-Frozen",2017-05-17 23:33:00,2017-05-18 01:15:00,"May",0.0505993596902688,3398,1.586,16.2,0.00287,0.000573,0.00264,0.0773,0.0805,0.00219,0.0217,"1410","0.5","0.1",0.23,6.74,7.02,0.191,1.89,299,0.053,0.0106,0.0488,1.43,1.49,0.0405,0.401
"2017","AR1","Estimated","Non-Frozen",2017-05-18 03:20:00,2017-05-18 04:15:00,"May",0.00111830839103566,75.1,0.0465,0.251,6.34e-05,1.27e-05,1.52e-05,0.00136,0.00139,4.11e-05,0.000408,"991","0.5","0.1",0.06,5.37,5.48,0.162,1.61,4.65,0.00117,0.000234,0.000281,0.0252,0.0257,0.000759,0.00755
"2017","AR1","Estimated","Non-Frozen",2017-05-20 16:03:00,2017-05-20 17:04:00,"May",0.00153674335492517,103.2,0.04776,0.345,8.7e-05,1.74e-05,2.09e-05,0.00187,0.00191,5.64e-05,0.000561,"991","0.5","0.1",0.06,5.37,5.48,0.162,1.61,6.38,0.00161,0.000322,0.000386,0.0346,0.0353,0.00104,0.0104
"2017","AR1","Measured","Non-Frozen",2017-05-21 07:41:00,2017-05-21 09:15:00,"May",0.0192390737845283,1292,0.5709,4.32,0.00109,0.000218,0.000262,0.0234,0.0239,0.000706,0.00702,"991","0.5","0.1",0.06,5.37,5.48,0.162,1.61,79.9,0.0202,0.00403,0.00484,0.433,0.442,0.0131,0.13
