site,Date,water_year,month_name,total_in,notes
AO2,7/18/2021,2021,Jul,0.4,
AO2,7/22/2021,2021,Jul,0.4,
AO3,7/19/2021,2021,Jul,0.5,
AO2,7/18/2022,2022,Jul,0.25,
AO2,7/23/2022,2022,Jul,0.25,
AO2,7/28/2022,2022,Jul,0.25,
AO3,7/28/2022,2022,Jul,0.375,
AO2,8/3/2022,2022,Aug,0.25,
AO3,8/3/2022,2022,Aug,0.375,
AO1,6/2/2023,2023,Jun,0.64,
AO1,6/15/2023,2023,Jun,0.68,
AO1,6/21/2023,2023,Jun,0.88,
AO1,7/6/2023,2023,Jul,1.09,
AO1,7/12/2023,2023,Jul,0.58,
AO1,8/9/2023,2023,Aug,0.54,
AO2,6/8/2023,2023,Jun,0.69,
AO2,6/17/2023,2023,Jun,0.07,
AO2,6/21/2023,2023,Jun,1.45,
AO2,7/8/2023,2023,Jul,0.14,
AO2,7/19/2023,2023,Jul,0.18,
AO2,8/13/2023,2023,Aug,0.13,
AO2,8/22/2023,2023,Aug,0.1,
AO2,7/25/2024,2024,Jul,0.5,
AO2,8/3/2024,2024,Aug,0.5,
AO3,7/20/2024,2024,Jul,0.5,
AO3,8/1/2024,2024,Aug,0.5,
AO3,8/10/2024,2024,Aug,0.5,
AO3,9/12/2024,2024,Sep,0.5,
AR1,8/4/2017,2017,Aug,0.82,
AR1,8/10/2017,2017,Aug,0.88,
AR1,8/26/2017,2017,Aug,0.85,
AR1,9/9/2017,2017,Sep,0.78,
AR1,9/16/2017,2017,Sep,0.72,
AR1,6/2/2018,2018,Jun,0.71,
AR1,6/9/2018,2018,Jun,0.6,
AR1,7/7/2018,2018,Jul,0.55,
AR1,8/4/2018,2018,Aug,0.85,
AR1,8/30/2020,2020,Aug,0.9,
AR1,6/5/2021,2021,Jun,0.75,
AR1,6/12/2021,2021,Jun,0.75,
AR1,7/4/2021,2021,Jul,1.25,
AR1,7/6/2021,2021,Jul,1.25,
AR1,7/13/2021,2021,Jul,1,
AR1,7/21/2021,2021,Jul,1,
AR1,8/5/2021,2021,Aug,1,
AR1,8/22/2021,2021,Aug,1.25,
AR1,8/29/2021,2021,Aug,1,
AR1,9/8/2021,2021,Sep,1,
AR2,7/8/2017,2017,Jul,0.48,
AR2,7/29/2017,2017,Jul,0.48,
AR2,7/30/2017,2017,Jul,0.01,
AR2,8/6/2017,2017,Aug,1.24,
AR2,8/13/2017,2017,Aug,1.05,
AR2,8/20/2017,2017,Aug,0.77,
AR2,8/27/2017,2017,Aug,1.01,
AR2,6/25/2018,2018,Jun,0.4,
AR2,7/4/2018,2018,Jul,0.49,
AR2,7/8/2018,2018,Jul,0.83,
AR2,7/12/2018,2018,Jul,0.54,
AR2,7/15/2018,2018,Jul,1.49,
AR2,7/29/2018,2018,Jul,1.15,
AR2,8/3/2018,2018,Aug,1.23,
AR2,4/24/2021,2021,Apr,0.55,
AR2,5/1/2021,2021,May,0.6,
AR2,5/16/2021,2021,May,0.4,
AR2,6/4/2021,2021,Jun,0.6,
AR2,6/9/2021,2021,Jun,0.6,
AR2,6/12/2021,2021,Jun,0.6,
AR2,6/26/2021,2021,Jun,0.6,
AR2,7/2/2021,2021,Jul,0.6,
AR2,7/6/2021,2021,Jul,0.8,
AR2,7/11/2021,2021,Jul,0.6,
AR2,7/22/2021,2021,Jul,0.7,
AR2,7/27/2021,2021,Jul,0.6,
AR2,8/6/2021,2021,Aug,0.7,
AR2,8/21/2021,2021,Aug,0.7,
WF1,7/12/2011,2011,Jul,0.81,
WF1,8/31/2011,2011,Aug,1.49,total irrigation for the month exact date or dates unknown
WF1,9/30/2022,2011,Sep,0.33,total irrigation for the month exact date or dates unknown
WF1,7/6/2012,2012,Jul,0.55,
WF1,8/31/2012,2012,Aug,0.91,total irrigation for the month exact date or dates unknown
WF1,9/30/2012,2012,Sep,0.59,total irrigation for the month exact date or dates unknown
WF1,7/31/2013,2013,Jul,1.84,total irrigation for the month exact date or dates unknown
WF1,8/31/2013,2013,Aug,4.09,total irrigation for the month exact date or dates unknown
WF1,9/30/2013,2013,Sep,1.08,total irrigation for the month exact date or dates unknown
WF1,8/31/2014,2014,Aug,1.38,total irrigation for the month exact date or dates unknown
WF1,8/31/2015,2015,Aug,0.69,total irrigation for the month exact date or dates unknown
WF1,6/30/2016,2016,Jun,1.08,total irrigation for the month exact date or dates unknown
WF1,7/31/2016,2016,Jul,1.22,total irrigation for the month exact date or dates unknown
WF1,8/31/2016,2016,Aug,0.75,total irrigation for the month exact date or dates unknown
WF1,8/31/2017,2017,Aug,0.58,total irrigation for the month exact date or dates unknown
WF1,9/30/2017,2017,Sep,0.72,total irrigation for the month exact date or dates unknown
