ProjectName,Field_Name,StudyPeriod,UseableYears,Ongoing,Monitoring,State,County,LAT_approx,LONG_approx,FarmEnterprise,CropRotation,LandCover,Tillage,Manure,Tile,BasinArea_ac,SoilType,HydrologicGroup,DrainageClass,MeanSlope_per,IncludeAverages,Notes
Pagel,P1,WY2004-WY2008,4,No,Paired,WI,Kewaunee,44.49525,-87.594556,Dairy,Corn-Alfalfa,Cultivated Crops,Yes,Yes,Yes,20.5,Hortonville silt loam,C,Well drained,4,Yes,Tile monitoring started WY 2005
Pagel,P4,WY2004-WY2008,4,No,Paired,WI,Kewaunee,44.49525,-87.594556,Dairy,Corn-Alfalfa,Cultivated Crops,Yes,Yes,Yes,20.5,Hortonville silt loam,C,Well drained,4,Yes,Tile monitoring started WY 2005
Pagel,P2,WY2004-WY2006,3,No,Surface,WI,Kewaunee,44.487833,-87.607333,Dairy,Corn-Alfalfa,Cultivated Crops,Yes,Yes,Yes,22.1,Hortonville silt loam,C,Well drained,4,Yes,
Pagel,P3,WY2004-WY2008,4,No,Paired,WI,Kewaunee,44.504083,-87.607083,Dairy,Corn-Alfalfa,Cultivated Crops,Yes,Yes,Yes,13.2,Hortonville silt loam,C,Well drained,4,Yes,Tile monitoring started WY 2005
Pagel,P5,WY2004-WY2008,4,No,Paired,WI,Kewaunee,44.504083,-87.607083,Dairy,Corn-Alfalfa,Cultivated Crops,Yes,Yes,Yes,13.2,Hortonville silt loam,C,Well drained,4,Yes,Tile monitoring started WY 2005
Riechers,R1,WY2004-WY2010,7,No,Surface,WI,Lafayette,42.65328,-90.28567,Beef and Grain,Corn-Soybean,Cultivated Crops,No,Yes,No,16.9,Tama silt loam,B,Well drained,5,Yes,
Riechers,R2,WY2004-WY2010,7,No,Surface,WI,Lafayette,42.65243,-90.28918,Beef and Grain,Corn-Soybean,Cultivated Crops,No,Yes,No,17.2,Tama silt loam,B,Well drained,5,Yes,
Riechers,R3,WY2004-WY2010,7,No,Surface,WI,Lafayette,42.64615,-90.28792,Beef and Grain,Corn-Soybean,Cultivated Crops,No,Yes,No,39.5,Tama silt loam,B,Well drained,5,Yes,
Heisner,H3,WY2005-WY2007,3,No,Surface,WI,Iowa,42.888111,-90.127889,Dairy,Corn-Barely-Alfalfa/Brome (Organic),Cultivated Crops,Yes,Yes,No,15.8,Dodgevill silt loam,C,Well drained,6,Yes,
Koepke,KP1,WY2006-WY2008,3,No,Tile,WI,Waukesha,43.187556,-88.46925,Dairy,Corn-Soybean-Alfalfa,Cultivated Crops,No,Yes,Yes,47,Theresa silt loam,C,Well drained,2,?,Drainage area 100 in USGS data?
