Site ID,Field ID,Percentage of basin,Field year,Previous Crop,Date of termination (if previous crop was alfalfa),Planting date (this year's crop),Crop grown this year
AO1,AO1,100,2019,Alfalfa,9/20/2018,5/16/2019,Potato
AO1,AO1,100,2020,Potato,,4/28/2020,Alfalfa/grass - new seeding
AO1,AO1,100,2021,Alfalfa/grass - new seeding,,,alfalfa/grass
AO1,AO1,100,2022,alfalfa/grass,,,alfalfa/grass
AO1,AO1,100,2023,alfalfa/grass,10/10/2022,5/15/2023,Potato
AO1,AO1,100,2024,Potato,,5/15/2024,Alfalfa - new seeding
AO2,AO2,100,2019,Green bean,,5/10/2019,Alfalfa - new seeding
AO2,AO2,100,2020,Alfalfa - new seeding,,,Alfalfa
AO2,AO2,100,2021,Alfalfa,9/12/2020,5/18/2021,Potato
AO2,AO2,100,2022,Potato,,5/29/2022,Green bean
AO2,AO2,100,2023,Alfalfa,,,Alfalfa
AO2,AO2,100,2024,Alfalfa,,,Alfalfa
AO3,AO3,100,2020,Oats under Red Clover,,5/5/2019,Red clover
AO3,AO3,100,2021,Red clover,9/27/2020,5/20/2021,Potato
AO3,AO3,100,2022,Potato,,6/11/2022,Green bean
AO3,AO3,100,2023,Green bean,,5/15/2023,Oats under Red Clover
AO3,AO3,100,2024,Oats under Red Clover,10/15/2023,5/21/2024,Potato
AR1,AR1,100,2017,Corn,,4/10/2017,Alfalfa - new seeding
AR1,AR1,100,2018,Alfalfa - new seeding,,,Alfalfa
AR1,AR1,100,2019,Alfalfa,,,Alfalfa
AR1,AR1,100,2020,Alfalfa,,,Alfalfa
AR1,AR1,100,2021,Alfalfa,5/18/2021,5/20/2021,Corn
AR2,AR2,100,2017,Pea/GreenBean,,5/14/2017,Seed corn
AR2,AR2,100,2018,Seed Corn,,4/27/2018,Corn
AR2,AR2,100,2019,Corn,,4/25/2019,Corn
AR2,AR2,100,2020,Corn,,4/26/2020,Corn
AR2,AR2,100,2021,Corn,,4/26/2021,Corn
BR1A,BR1A,100,2018,Corn Silage,,5/23/2018,Corn Silage
BR1A,BR1A,100,2019,Corn Silage,,6/11/2019,Corn Silage
BR1A,BR1A,100,2020,Corn Silage,,5/4/2020,Corn Silage
DK1A,DK1A,100,2018,Green beans,,9/13/2017,Wheat
DK1A,DK1A,100,2019,Wheat,,6/10/2019,Corn Silage
DK1A,DK1A,100,2020,Corn Silage,,6/16/2020,sorghum/sudan
H3,23A,16,2005,Alfalfa,,5/18/2005,Corn
H3,25A,16,2005,Alfalfa,,5/18/2005,Corn
H3,26A,16,2005,Alfalfa,,,Alfalfa
H3,27A,4,2005,Alfalfa,,5/18/2005,Corn
H3,21A,16,2005,Alfalfa - new seeding,,,Alfalfa
H3,22A,16,2005,Corn,,4/14/2005,Alfalfa - new seeding
H3,24A,16,2005,Corn,,5/26/2005,Corn Silage
H3,21A,16,2006,Alfalfa,,,Alfalfa
H3,26A,16,2006,Alfalfa,,5/10/2006,Corn
H3,22A,16,2006,Alfalfa - new seeding,,,Alfalfa
H3,23A,16,2006,Corn,,4/20/2006,Alfalfa - new seeding
H3,24A,16,2006,Corn Silage,,4/20/2006,Alfalfa - new seeding
H3,25A,16,2006,Corn,,4/20/2006,Alfalfa - new seeding
H3,27A,4,2006,Corn,,5/10/2006,Corn
H3,21A,16,2007,Alfalfa,,,Alfalfa
H3,22A,16,2007,Alfalfa,,,Alfalfa
H3,23A,16,2007,Alfalfa - new seeding,,5/25/2007,Corn
H3,24A,16,2007,Alfalfa - new seeding,,5/25/2007,Corn
H3,25A,16,2007,Alfalfa - new seeding,,5/25/2007,Corn
H3,26A,16,2007,Corn,,5/19/2007,Alfalfa - new seeding
H3,27A,4,2007,Corn,,5/19/2007,Alfalfa - new seeding
JF1,1,50,2011,Alfalfa,,,Alfalfa
JF1,2,20,2011,Alfalfa,,,Alfalfa
JF1,3,20,2011,Corn,,5/15/2011,Corn
JF1,1,50,2012,Alfalfa,,,Alfalfa
JF1,2,20,2012,Alfalfa,,,Alfalfa
JF1,3,20,2012,Corn,,,Corn
JF1,1,50,2013,Alfalfa,,5/16/2013,Corn
JF1,2,20,2013,Alfalfa,,,Alfalfa
JF1,3,20,2013,Corn,,,Alfalfa - new seeding
JF1,2,20,2014,Alfalfa,,,Alfalfa
JF1,3,20,2014,Alfalfa - new seeding,,,Alfalfa
JF1,1,50,2014,Corn,,5/17/2014,Corn
JF1,2,20,2015,Alfalfa,,5/1/2015,Corn
JF1,3,20,2015,Alfalfa,,,Alfalfa
JF1,1,50,2015,Corn,,4/28/2015,Alfalfa - new seeding
JF1,3,20,2016,Alfalfa,,,Alfalfa
JF1,1,50,2016,Alfalfa - new seeding,,,Alfalfa
JF1,2,20,2016,Corn,,4/26/2016,Corn
JF1,1,50,2017,Alfalfa,,,Alfalfa
JF1,3,20,2017,Alfalfa,,,Alfalfa
JF1,2,20,2017,Corn,,5/10/2017,Corn
JF2,North Hay,25,2011,Pasture,,,Pasture
JF2,Pasture,40,2011,Pasture,,,Pasture
JF2,South Hay,35,2011,Pasture,,,Pasture
JF2,North Hay,25,2012,Pasture,,,Pasture
JF2,Pasture,40,2012,Pasture,,,Pasture
JF2,South Hay,35,2012,Pasture,,,Pasture
