SiteID,Year,Tillage,Crop,PreviousCrop
AO1,2019,Conventional,Potato,Alfalfa
AO1,2020,Reduced,Alfalfa/grass,Potato
AO1,2021,None,Alfalfa/grass,Alfalfa/grass
AO1,2022,None,Alfalfa/grass,Alfalfa/grass
AO1,2023,Conventional,Potato,Alfalfa/grass
AO2,2019,Reduced,Alfalfa,Snap Bean
AO2,2020,None,Alfalfa,Alfalfa
AO2,2021,Conventional,Potato,Alfalfa
AO2,2022,Conventional,Snap Bean,Potato
AO2,2023,None,Alfalfa,Snap Bean
AO3,2021,Conventional,Potato,Red Clover
AO3,2022,Conventional,Snap Bean,Potato
AO3,2023,Conventional,Alfalfa,Snap Bean
AR1,2017,Conventional,Alfalfa,Corn
AR1,2018,None,Alfalfa,Alfalfa
AR1,2019,None,Alfalfa,Alfalfa
AR1,2020,None,Alfalfa,Alfalfa
AR1,2021,Conventional,Corn,Alfalfa
AR2,2017,Conventional,Seed Corn,Pea/Green Bean
AR2,2018,Conventional,Corn,Seed Corn
AR2,2019,Conventional,Corn,Corn
AR2,2020,Conventional,Corn,Corn
AR2,2021,Conventional,Corn,Corn
DK1A,2018,None,Wheat,Green Beans
DK1A,2019,Conventional,Corn Silage,Wheat
DK1A,2020,Conventional,Sorghum/Sudan,Corn Silage
H3,2005,Conventional,Forage Mix,Forage Mix
H3,2006,Conventional,Forage Mix,Forage Mix
H3,2007,Conventional,Forage Mix,Forage Mix
JF1,2011,No-Till,Forage Mix,Forage Mix
JF1,2012,No-Till,Forage Mix,Forage Mix
JF1,2013,No-Till,Forage Mix,Forage Mix
JF1,2014,No-Till,Forage Mix,Forage Mix
JF1,2015,No-Till,Forage Mix,Forage Mix
JF1,2016,No-Till,Forage Mix,Forage Mix
JF1,2017,No-Till,Forage Mix,Forage Mix
JF2,2011,Pasture,Pasture,Pasture
JF2,2012,Pasture,Pasture,Pasture
JF2,2013,Pasture,Pasture,Pasture
JF2,2014,Pasture,Pasture,Pasture
JF2,2015,Pasture,Pasture,Pasture
JF2,2016,Pasture,Pasture,Pasture
JF2,2017,Pasture,Pasture,Pasture
JF3,2011,NA,NA,NA
JF3,2012,NA,NA,NA
JF3,2013,NA,NA,NA
JF3,2014,NA,NA,NA
JF3,2015,NA,NA,NA
JF3,2016,NA,NA,NA
JF3,2017,NA,NA,NA
JF4,2011,Reduced,Forage Mix,Mix
JF4,2012,Reduced,Forage Mix,Mix
JF4,2013,Reduced,Forage Mix,Mix
JF4,2014,Reduced,Forage Mix,Mix
JF4,2015,Reduced,Forage Mix,Mix
JF4,2016,Reduced,Forage Mix,Mix
JF4,2017,Reduced,Forage Mix,Forage Mix
JF5,2011,Conventional,Forage Mix,Mix
JF5,2012,Conventional,Forage Mix,Mix
JF5,2013,Conventional,Forage Mix,Mix
JF5,2014,Conventional,Forage Mix,Mix
JF5,2015,Conventional,Forage Mix,Mix
JF5,2016,Conventional,Forage Mix,Mix
JF5,2017,Conventional,Forage Mix,Forage Mix
JF6,2012,NA,NA,NA
JF6,2013,NA,NA,NA
JF6,2014,NA,NA,NA
JF6,2015,NA,NA,NA
JF6,2016,NA,NA,NA
JF6,2017,NA,NA,NA
K3,2005,Conventional,Corn,Corn
K3,2006,Conventional,Corn,Corn
K4,2005,Pasture,Pasture,Pasture
K4,2006,Pasture,Pasture,Pasture
K5,2008,Pasture,Pasture,Pasture
K5,2009,Pasture Renovation,Pasture,Pasture
K5,2010,Pasture Renovation,Pasture,Pasture
K5,2011,Pasture,Pasture,Pasture
K6,2007,Pasture,Pasture,Pasture
K6,2008,Pasture Renovation,Pasture,Pasture
K6,2010,Pasture Renovation,Pasture,Pasture
K6,2011,Pasture,Pasture,Pasture
K7,2008,Pasture,Pasture,Pasture
K7,2009,Pasture Renovation,Pasture,Pasture
K7,2010,Pasture,Pasture,Pasture
K7,2011,Pasture Renovation,Pasture,Pasture
K8,2008,Pasture,Pasture,Pasture
K8,2009,Pasture,Pasture,Pasture
K8,2010,Pasture,Pasture,Pasture
K8,2011,Pasture,Pasture,Pasture
KD1,2019,No-Till,Corn Silage,Corn Silage
KD1,2020,No-Till,Corn Silage,Corn Silage
KD1,2021,No-Till,Corn Silage,Corn Silage
KD1,2022,No-Till,Corn Silage,Corn Silage
KD1,2023,No-Till,Corn Silage,Corn Silage
KD2,2019,None,Corn Silage,Corn Silage
KD2,2020,Conventional,Soybean,Corn Silage
KD2,2021,None,Corn Silage,Soybean
KD2,2022,None,Corn Silage,Corn Silage
KD2,2023,None,Corn Silage,Corn Silage
KP1,2006,No-Till,Alfalfa,Alfalfa
KP1,2007,No-Till,Corn,Alfalfa
KP1,2008,No-Till,Corn,Corn
KP2,2006,No-Till,Corn,Corn
KP2,2007,No-Till,Soybean,Corn
KP2,2008,No-Till,Corn,Soybean
KP3,2006,No-Till,Corn,Corn
KP3,2007,No-Till,Soybean,Corn
KP3,2008,No-Till,Corn,Soybean
MA1A,2018,Conventional,Corn,Soybean
MA1A,2019,Conventional,Soybean,Corn
MA1A,2020,Conventional,Corn Silage,Soybean
MT1,2022,None,Corn Silage,Corn Silage
MT1,2023,Reduced,Alfalfa,Corn Silage
MT2,2022,No-Till,Pasture,Pasture
P1,2004,None,Alfalfa,Alfalfa
P1,2005,Conventional,Corn Silage,Alfalfa
P1,2006,Conventional,Corn Silage,Corn Silage
P1,2007,Conventional,Corn Silage,Corn Silage
P1,2008,Conventional,Corn Silage,Corn Silage
P2,2004,None,Alfalfa,Alfalfa
P2,2005,Conventional,Corn Silage,Alfalfa
P2,2006,Conventional,Corn Silage,Corn Silage
P3,2004,None,Alfalfa,Alfalfa
P3,2005,Conventional,Corn Silage,Alfalfa
P3,2006,Conventional,Corn Silage,Corn Silage
P3,2007,Conventional,Corn Silage,Corn Silage
P3,2008,Conventional,Corn Silage,Corn Silage
P4,2005,Conventional,Corn Silage,Alfalfa
P4,2006,Conventional,Corn Silage,Corn Silage
P4,2007,Conventional,Corn Silage,Corn Silage
P4,2008,Conventional,Corn Silage,Corn Silage
P5,2005,Conventional,Corn Silage,Alfalfa
P5,2006,Conventional,Corn Silage,Corn Silage
P5,2007,Conventional,Corn Silage,Corn Silage
P5,2008,Conventional,Corn Silage,Corn Silage
R1,2004,No-Till,Corn,Corn
R1,2005,No-Till,Soybean,Corn
R1,2006,No-Till,Corn,Soybean
R1,2007,No-Till,Corn,Corn
R1,2008,No-Till,Soybean,Corn
R1,2009,No-Till,Corn,Soybean
R1,2010,No-Till,Corn,Corn
R2,2004,No-Till,Corn,Corn
R2,2005,No-Till,Soybean,Corn
R2,2006,No-Till,Corn,Soybean
R2,2007,No-Till,Corn,Corn
R2,2008,No-Till,Soybean,Corn
R2,2009,No-Till,Corn,Soybean
R2,2010,No-Till,Corn,Corn
R3,2004,No-Till,Soybean,Corn
R3,2005,No-Till,Corn,Soybean
R3,2006,No-Till,Corn,Corn
R3,2007,No-Till,Soybean,Corn
R3,2008,No-Till,Corn,Soybean
R3,2009,No-Till,Corn,Corn
R3,2010,No-Till,Soybean,Corn
RE1,2015,Reduced,Corn,Soybean
RE1,2016,Reduced,Corn,Corn
RE1,2017,None,Soybean,Corn
RE1,2018,Reduced,Corn,Soybean
RE1,2019,Reduced,Corn,Corn
RE1,2020,None,Soybean,Corn
RE1,2021,Reduced,Corn,Soybean
RE5,2015,None,Soybean,Corn
RE5,2016,Reduced,Corn,Soybean
RE5,2017,None,Soybean,Corn
RE5,2018,Reduced,Corn,Soybean
RE5,2019,Reduced,Corn,Corn
RE5,2020,None,Soybean,Corn
RE5,2021,Reduced,Corn,Soybean
RS1,2019,Conventional,Cover Crop Mix,Corn
RS1,2020,Reduced,Alfalfa,Cover Crop Mix
RS1,2021,None,Alfalfa,Alfalfa
RS1,2022,None,Alfalfa,Alfalfa
RS1,2023,None,Alfalfa,Alfalfa
RS2,2019,Conventional,Corn,Corn
RS2,2020,Reduced,Grass,Corn
RS2,2021,None,Grass,Grass
RS2,2022,None,Soybean,Grass
RS2,2023,None,Corn,Soybean
SH1A,2018,Reduced,Alfalfa,Corn Silage
SH1A,2019,None,Alfalfa,Alfalfa
SH1A,2020,None,Alfalfa,Alfalfa
WF1,2011,Conventional,Corn,Corn
WF1,2012,Conventional,Corn,Corn
WF1,2013,Conventional,Corn,Corn
WF1,2014,Reduced,Soybean,Corn
WF1,2015,Conventional,Corn,Soybean
WF1,2016,Conventional,Corn,Corn
WF1,2017,None,Corn,Corn
WF2,2011,Conventional,Corn,Soybean
WF2,2012,Conventional,Alfalfa,Corn
WF2,2013,None,Alfalfa,Alfalfa
WF2,2014,None,Alfalfa,Alfalfa
WF2,2015,Conventional,Corn,Alfalfa
WF2,2016,Conventional,Corn,Corn
WF2,2017,Conventional,Corn,Corn
WF3,2014,NA,NA,NA
WF3,2015,NA,NA,NA
WF3,2016,NA,NA,NA
WF3,2017,NA,NA,NA
