Soil_Type,Clay_Fraction,Ref
Antigo silt loam,12.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/A/Antigo.html
Brinkman silt loam,22.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/B/BRINKMAN.html
Brookston silt loam,30,https://soilseries.sc.egov.usda.gov/OSD_Docs/B/Brookston.html
Dodgevill silt loam,30,https://soilseries.sc.egov.usda.gov/OSD_Docs/D/DODGEVILLE.html
Freeon silt loam heavy substratum,12,https://soilseries.sc.egov.usda.gov/OSD_Docs/F/Freeon.html
Hochheim loam,22.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/H/HOCHHEIM.html
Hortonville silt loam,31,https://soilseries.sc.egov.usda.gov/OSD_Docs/H/HORTONVILLE.html
Kewaunee loam,47.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/K/Kewaunee.html
Kidder silt loam,25,https://soilseries.sc.egov.usda.gov/OSD_Docs/K/KIDDER.html
La Farge silt loam,22.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/L/LA_FARGE.html
Loyal silt loam,21.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/L/Loyal.html
NewGlarus silt loam,26.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/N/NEWGLARUS.html
Norden silt loam,20.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/N/Norden.html
Onaway-Ossineke fine sandy loam,26.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/O/OSSINEKE.html
Oshtemo sandy loam,14,https://soilseries.sc.egov.usda.gov/OSD_Docs/O/Oshtemo.html
Pepin silt loam,22.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/P/PEPIN.html
Santiago silt loam,12,https://soilseries.sc.egov.usda.gov/osd_docs/s/santiago.html
Tama silt loam,30.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/T/Tama.html
Warsaw silt loam,23.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/W/Warsaw.html
Waymor silt loam,22.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/W/Waymor.html
Winnebago silt loam,22.5,https://soilseries.sc.egov.usda.gov/OSD_Docs/W/WINNEBAGO.html
