"USGS_Station_Number","P_start","P_end","rain_mm","duration_hr","Ievent_mm_hr","I5_mm_hr","I10_mm_hr","I15_mm_hr","I30_mm_hr","I60_mm_hr","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1_mm","ARFdays2_mm","ARFdays7_mm","ARFdays14_mm","Field_Name","BasinArea_ac","Date","Tmp","P_frozen","area_ft2","P_event_id","Associated_Q","Q_event_count","Q_total_volume_raw","Q_total_volume","Q_event_ids","Shared_Q","Q_total_mm_raw","Q_total_mm","Monitoring","FarmEnterprise","CropRotation","LandCover","LandCover_Updated","Tile","Tile_Notes","SoilType","Hydrologic_Group","DrainageClass","MeanSlope_per","Clay_Fraction","Water_Year","Season","Tillage_Basin_Coverage","Tillage_Total","Tillage_Fall","Tillage_Spring","Tillage_Summer","Tillage_Summer_Previous","Crop_Basin_Coverage","Previous_PerennialFrac","Current_PerennialFrac","Residue_Fall_Frac","Residue_Spring_Frac","PerennialFrac","Crop_Source","Tillage_Passes","Tillage_Window","Residue_Frac","Residue"
"USGS-451021089064901",2018-10-01 18:49:00,2018-10-02 04:00:00,35.052,9.183,3.81762,42.672,25.908,20.32,15.24,14.478,976.2,5.857,1024,6.141,0,0,0,0,"AO1",22.2,2018-10-01,6.34000015258789,FALSE,967032,1,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-03 11:04:00,2018-10-03 11:05:00,0.508,,,,,,,,,,,,0.254,35.814,35.814,35.814,"AO1",22.2,2018-10-03,9.41000080108643,FALSE,967032,2,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-04 01:04:00,2018-10-04 03:15:00,17.526,2.183,8.0264,54.864,51.816,37.592,25.908,13.208,624.9,6.374,612.2,6.244,0.762,3.302,36.576,36.576,"AO1",22.2,2018-10-04,12.4700002670288,FALSE,967032,3,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-05 10:54:00,2018-10-05 12:40:00,1.778,1.767,1.006348,6.096,4.572,3.048,2.54,1.524,35.9,0.0359,39.53,0.03953,0,18.288,54.102,54.102,"AO1",22.2,2018-10-05,5.67000007629395,FALSE,967032,4,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-08 02:54:00,2018-10-08 15:20:00,21.844,12.43,1.756918,24.384,13.716,10.16,6.604,4.826,478.1,1.243,535,1.391,0,0.254,56.642,56.642,"AO1",22.2,2018-10-08,6.09000015258789,FALSE,967032,5,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-08 17:34:00,2018-10-08 17:55:00,0.508,0.35,1.451356,3.048,1.524,1.016,1.016,0.508,12.27,0.00491,12.54,0.005018,21.844,21.844,78.486,78.486,"AO1",22.2,2018-10-08,6.09000015258789,FALSE,967032,6,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-08 23:19:00,2018-10-09 03:05:00,4.826,3.767,1.281176,9.144,6.096,7.112,4.572,2.794,99.35,0.1788,111,0.1998,22.352,22.352,47.752,78.994,"AO1",22.2,2018-10-08,6.09000015258789,FALSE,967032,7,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-09 17:24:00,2018-10-09 18:45:00,10.414,1.35,7.71398,54.864,47.244,37.592,20.32,10.16,414.7,3.318,389.5,3.116,5.842,27.686,48.768,84.328,"AO1",22.2,2018-10-09,11.8100004196167,FALSE,967032,8,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-10 00:34:00,2018-10-10 03:30:00,13.462,2.933,4.58978,51.816,36.576,26.416,16.764,8.89,414.9,2.738,423.6,2.796,13.97,38.1,58.928,94.742,"AO1",22.2,2018-10-10,10.7500009536743,FALSE,967032,9,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-10 07:34:00,2018-10-10 07:40:00,0.508,0.1,5.08,3.048,3.048,2.032,1.016,0.508,13.54,0.005417,14.54,0.005815,24.13,46.99,72.39,108.204,"AO1",22.2,2018-10-10,10.7500009536743,FALSE,967032,10,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-10 13:09:00,2018-10-10 20:30:00,16.256,7.35,2.211578,24.384,18.288,16.256,15.24,10.414,443.3,2.66,456,2.736,24.384,34.544,72.39,108.712,"AO1",22.2,2018-10-10,10.7500009536743,FALSE,967032,11,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-10 23:59:00,2018-10-11 01:05:00,1.524,1.1,1.38557,9.144,7.62,5.08,2.54,1.27,31.76,0.03176,35,0.035,30.226,44.45,88.392,124.968,"AO1",22.2,2018-10-10,10.7500009536743,FALSE,967032,12,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-14 15:24:00,2018-10-15 00:20:00,6.096,8.933,0.682498,3.048,3.048,2.032,2.032,1.524,96.5,0.0772,110.8,0.08861,0,0,69.85,126.492,"AO1",22.2,2018-10-14,3.30000019073486,FALSE,967032,13,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
"USGS-451021089064901",2018-10-15 15:59:00,2018-10-15 17:50:00,3.556,1.85,1.922272,6.096,4.572,3.048,3.048,2.54,66.26,0.07951,80.83,0.097,5.588,6.35,54.356,132.842,"AO1",22.2,2018-10-15,0.820000052452087,FALSE,967032,14,FALSE,0,0,0,,FALSE,0,0,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Fall",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",,"Previous summer + current fall",0,"No"
