"Field_Name","Field_ID","Basin_Percentage","Water_Year","Previous_Crop","Residue_Fall","Residue_Spring","Current_Crop","Residue_Notes","Previous_Crop_Type","Current_Crop_Type"
"AO1","AO1",100,2019,"Alfalfa","No","No","Potato","Fall alfalfa termination with tillage","Perennial","Annual"
"AO1","AO1",100,2020,"Potato","No","No","Alfalfa/grass - new seeding",,"Annual","Perennial"
"AO1","AO1",100,2021,"Alfalfa/grass - new seeding","Yes","Yes","alfalfa/grass",,"Perennial","Perennial"
"AO1","AO1",100,2022,"alfalfa/grass","Yes","Yes","alfalfa/grass",,"Perennial","Perennial"
"AO1","AO1",100,2023,"alfalfa/grass","No","No","Potato","Fall alfalfa termination with tillage","Perennial","Annual"
"AO3","AO3",100,2020,"Oats under Red Clover","Yes","Yes","Red clover",,"Perennial","Perennial"
"AO3","AO3",100,2021,"Red clover","No","No","Potato","Fall termination with tillage","Perennial","Annual"
"AO3","AO3",100,2022,"Potato","No","No","Green bean",,"Annual","Annual"
"AO3","AO3",100,2023,"Green bean","No","No","Oats under Red Clover",,"Annual","Perennial"
"AR1","AR1",100,2017,"Corn","Yes","Yes","Alfalfa - new seeding","Corn residue unknown, assumed no removal based on tillage data","Annual","Perennial"
"AR1","AR1",100,2018,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"AR1","AR1",100,2019,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"AR1","AR1",100,2020,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"AR1","AR1",100,2021,"Alfalfa","Yes","Yes","Corn","Spring alfalfa termination","Perennial","Annual"
"AR2","AR2",100,2017,"Pea/GreenBean","No","No","Seed corn",,"Annual","Annual"
"AR2","AR2",100,2018,"Seed Corn","Yes","Yes","Corn",,"Annual","Annual"
"AR2","AR2",100,2019,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"AR2","AR2",100,2020,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"AR2","AR2",100,2021,"Corn","Yes","Yes","Corn",,"Annual","Annual"
"H3","23A",16,2005,"Alfalfa","Yes","Yes","Corn","From site camera photos, looks like they usually spring terminate alfalfa with tillage","Perennial","Annual"
"H3","25A",16,2005,"Alfalfa","Yes","Yes","Corn",,"Perennial","Annual"
"H3","26A",16,2005,"Alfalfa","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"H3","27A",4,2005,"Alfalfa","No","No","Corn","Fall termination","Perennial","Annual"
"H3","21A",16,2005,"Alfalfa - new seeding","Yes","Yes","Alfalfa",,"Perennial","Perennial"
"H3","22A",16,2005,"Corn","Yes","Yes","Alfalfa - new seeding",,"Annual","Perennial"
