"ProjectName","Field_Name","StudyPeriod","UseableYears","Ongoing","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","BasinArea_ac","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","IncludeAverages","Notes","Site_Type","LandCover_Updated","Tile","Tile_Notes","Approximate_Start_Date","Approximate_End_Date","Clay_Fraction","Monitoring"
"Antigo 1","AO1","WY2019-WY2023",5,"Yes","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","","Surface","Cultivated Crops","No",,2018-10-01,,12.5,"Surface"
"Antigo 3","AO3","WY2021-WY2023",3,"Yes","WI","Langlade",45.227,-89.065,"Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Yes","No",22.4,"Antigo silt loam","B","Well drained",2.5,"Yes","","Surface","Cultivated Crops","No",,2020-10-06,,12.5,"Surface"
"Arndt","AR1","WY2017-WY2021",5,"No","WI","Rock",42.627694,-88.990944,"Beef and cash crop (grain and specialty)","Corn-Alfalfa","Cultivated Crops","Yes","Yes",18.5,"Warsaw silt loam","B","Well drained",1.9,"Yes","","Surface","Cultivated Crops","No",,2016-10-01,2021-10-01,23.5,"Surface"
"Arndt","AR2","WY2017-WY2021",5,"No","WI","Rock",42.612806,-88.9985,"Beef and cash crop (grain and specialty)","Corn-Seed Corn-Vegetables-Mint","Cultivated Crops","Yes","Yes",5.8,"Oshtemo sandy loam","A","Well drained",3.4,"Yes","","Surface","Cultivated Crops","No",,2016-10-01,2021-10-01,14,"Surface"
"Heisner","H3","WY2005-WY2007",3,"No","WI","Iowa",42.888111,-90.127889,"Dairy","Corn-Barely-Alfalfa/Brome (Organic)","Cultivated Crops","Yes","Yes",15.8,"Dodgevill silt loam","C","Well drained",6,"Yes","","Surface","Cultivated Crops","No",,2004-07-01,2007-10-01,30,"Surface"
"Jersey Valley","JF2","WY2011-WY2017",7,"No","WI","Vernon",43.71225,-90.785444,"Beef","Grass Pasture","Pasture/Hay","No","Yes",16,"Pepin silt loam","B","Well drained",8.6,"Yes","","Surface","Pasture/Hay","No",,2010-10-01,2017-10-01,22.5,"Surface"
"Jersey Valley","JF4","WY2011-WY2017",7,"No","WI","Vernon",43.719583,-90.770306,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",14,"NewGlarus silt loam","C","Well drained",5.2,"Yes","","Surface","Cultivated Crops","No",,2010-10-01,2017-10-01,26.5,"Surface"
"Jersey Valley","JF5","WY2011-WY2017",7,"No","WI","Vernon",43.714056,-90.770222,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",33.4,"Brinkman silt loam","B","Moderately well drained",6.3,"Yes","","Surface","Cultivated Crops","No",,2010-10-01,2017-10-01,22.5,"Surface"
"Saxon","K5","WY2007-WY2011",5,"No","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes",15.2,"Kewaunee loam","D","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions","Surface","Pasture/Hay","Yes","Radom tile, WY2009 tile blow out",2006-10-01,2011-10-01,47.5,"Surface"
"Saxon","K7","WY2007-WY2011",5,"No","WI","Manitowoc",43.912306,-87.773556,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes",12,"Kewaunee loam","D","Well drained",3,"Yes","","Surface","Pasture/Hay","Yes",,2006-10-01,2011-10-01,47.5,"Surface"
