"Field_Name","Water_Year","Tillage_Basin_Coverage","Tillage_Total","Tillage_Fall","Tillage_Spring","Tillage_Summer","Tillage_Summer_Previous","Crop_Basin_Coverage","Previous_PerennialFrac","Current_PerennialFrac","Residue_Fall_Frac","Residue_Spring_Frac"
"AO1",2019,1,3,1,2,0,,1,1,0,0,0
"AO1",2020,1,1,0,1,0,0,1,0,1,0,0
"AO1",2021,1,0,0,0,0,0,1,1,1,1,1
"AO1",2022,1,0,0,0,0,0,1,1,1,1,1
"AO1",2023,1,4,2,2,0,0,1,1,0,0,0
"AO3",2020,1,0,0,0,0,,1,1,1,1,1
"AO3",2021,1,3,1,2,0,0,1,1,0,0,0
"AO3",2022,1,5,2,0,3,0,1,0,0,0,0
"AO3",2023,1,2,0,1,1,3,1,0,1,0,0
"AR1",2017,1,3,1,2,0,,1,0,1,1,1
"AR1",2018,1,0,0,0,0,0,1,1,1,1,1
"AR1",2019,1,0,0,0,0,0,1,1,1,1,1
"AR1",2020,1,0,0,0,0,0,1,1,1,1,1
"AR1",2021,1,2,0,2,0,0,1,1,0,1,1
"AR2",2017,1,2,1,1,0,,1,0,0,0,0
"AR2",2018,1,2,1,1,0,0,1,0,0,1,1
"AR2",2019,1,2,1,1,0,0,1,0,0,1,1
"AR2",2020,1,3,0,3,0,0,1,0,0,1,1
"AR2",2021,1,3,0,3,0,0,1,0,0,1,1
"H3",2005,1,2.4,0.04,1.84,0.52,,1,0.68,0.48,0.96,0.96
"H3",2006,1,1.76,0.04,1.52,0.2,0.52,1,0.48,0.8,0.84,0.84
"H3",2007,1,1.84,0.04,1.32,0.48,0.2,1,0.8,0.52,0.84,0.84
"JF2",2011,1,0,0,0,0,,1,1,1,1,1
"JF2",2012,1,0,0,0,0,0,1,1,1,1,1
"JF2",2013,1,0,0,0,0,0,1,1,1,1,1
"JF2",2014,1,0,0,0,0,0,1,1,1,1,1
"JF2",2015,1,0,0,0,0,0,1,1,1,1,1
"JF2",2016,1,0,0,0,0,0,1,1,1,1,1
"JF2",2017,1,0,0,0,0,0,1,1,1,1,1
"JF4",2011,0.95,0.2,0.2,0,0,,0.95,0.75,0.75,0.75,0.75
"JF4",2012,0.95,,,,,0,0.95,0.75,0.45,0.75,0.75
"JF4",2013,0.95,,,,,,0.95,0.45,0.5,0.55,0.55
"JF4",2014,0.95,,,,,,0.95,0.5,0.65,0.85,0.85
"JF4",2015,0.95,,,,,,0.95,0.65,0.65,0.65,0.65
"JF4",2016,0.95,,,,,,0.95,0.65,0.65,0.65,0.65
"JF4",2017,0.95,,,,,,0.95,0.65,0.3,0.65,0.65
"JF5",2011,0.75,0.25,0,0.25,0,,0.75,0.5,0.5,0.5,0.5
"JF5",2012,0.75,0.25,0,0.25,0,0,0.75,0.5,0.75,0.5,0.5
"JF5",2013,0.75,0.5,0,0.5,0,0,0.75,0.75,0.25,0.75,0.75
"JF5",2014,0.75,0.5,0,0.5,0,0,0.75,0.25,0.25,0.25,0.25
"JF5",2015,0.75,0.75,0,0.75,0,0,0.75,0.25,0.5,0.25,0.25
"JF5",2016,0.75,0.25,0,0.25,0,0,0.75,0.5,0.5,0.5,0.5
"JF5",2017,0.75,0.25,0,0.25,0,0,0.75,0.5,0.5,0.5,0.5
"K5",2007,1,0,0,0,0,,1,1,1,1,1
"K5",2008,1,0,0,0,0,0,1,1,1,1,1
"K5",2009,1,0.76,0,0.76,0,0,1,1,1,1,1
"K5",2010,1,1.1,0,1.1,0,0,1,1,1,1,1
"K5",2011,1,0,0,0,0,0,1,1,1,1,1
"K7",2007,1,0,0,0,0,,1,1,1,1,1
"K7",2008,1,1.6,0.8,0.8,0,0,1,1,1,1,0.2
"K7",2009,1,0,0,0,0,0,1,1,1,1,1
"K7",2010,1,0.4,0,0.4,0,0,1,1,1,1,1
"K7",2011,1,0,0,0,0,0,1,1,1,1,1
"K8",2008,1,0,0,0,0,,1,1,1,1,1
"K8",2009,1,0,0,0,0,0,1,1,1,1,1
"K8",2010,1,0,0,0,0,0,1,1,1,1,1
"K8",2011,1,0,0,0,0,0,1,1,1,1,1
"KD1",2019,1,0,0,0,0,,1,0,0,0,0
"KD1",2020,1,0,0,0,0,0,1,0,0,0,0
"KD1",2021,1,0,0,0,0,0,1,0,0,0,0
"KD1",2022,1,0,0,0,0,0,1,0,0,0,0
"KD1",2023,1,0,0,0,0,0,1,0,0,0,0
"KD2",2019,1,0,0,0,0,,1,0.1,0.1,0.1,0.1
"KD2",2020,1,1.8,0.9,0.9,0,0,1,0.1,0.1,0.1,0.1
"KD2",2021,1,0,0,0,0,0,1,0.1,0.1,0.1,0.1
"KD2",2022,1,0,0,0,0,0,1,0.1,0,0,0
"KD2",2023,1,0,0,0,0,0,1,0,0,0,0
"KP3",2006,1,0,0,0,0,,1,0,0,0,0
"KP3",2007,1,0,0,0,0,0,1,0,0,1,1
"KP3",2008,1,0,0,0,0,0,1,0,0,0,0
"MT1",2022,1,0,0,0,0,,1,0,0,0,0
"MT1",2023,1,1,0,1,0,0,1,0,1,0,0
"MT2",2022,1,0,0,0,0,,1,1,1,1,1
"P1",2004,0.95,0,0,0,0,,0.95,0.95,0.95,0.95,0.95
"P1",2005,0.95,1.9,0,1.9,0,0,0.95,0.95,0,0,0
"P1",2006,0.95,2.85,0,1.9,0.95,0,0.95,0,0,0,0
"P1",2007,0.95,2.85,0.95,1.9,0,0.95,0.95,0,0,0,0
"P1",2008,0.95,2.85,0,1.9,0.95,0,0.95,0,0,0,0
"P2",2004,0.94,0,0,0,0,,0.94,0.94,0.94,0.94,0.94
"P2",2005,0.94,2.82,0.94,1.88,0,0,0.94,0.94,0,0.94,0.94
"P2",2006,0.94,2.82,0.94,1.88,0,0,0.94,0,0,0,0
"P3",2004,1,0,0,0,0,,1,1,1,1,1
