"Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_mm","duration_hr","Ievent_mm_hr","I5_mm_hr","I10_mm_hr","I30_mm_hr","I60_mm_hr","ARFdays1_mm","ARFdays2_mm","ARFdays7_mm","ARFdays14_mm","Q_event_id","BasinArea_ac","area_ft2","runoff_mm","first_P_start","Q_response_time_hr","Monitoring","FarmEnterprise","CropRotation","LandCover","LandCover_Updated","Tile","Tile_Notes","SoilType","Hydrologic_Group","DrainageClass","MeanSlope_per","Clay_Fraction","Water_Year","Season","Tillage_Basin_Coverage","Tillage_Total","Tillage_Fall","Tillage_Spring","Tillage_Summer","Tillage_Summer_Previous","Crop_Basin_Coverage","Previous_PerennialFrac","Current_PerennialFrac","Residue_Fall_Frac","Residue_Spring_Frac","PerennialFrac","Crop_Source","Tillage_Passes","Tillage_Window","Residue_Frac","Residue"
"AO1","Non-Frozen","Storm","2019-5",2019-06-15 02:54:00,2019-06-15 04:00:00,946.4,0.7981,23.114,1.417,16.31696,64.008,57.912,38.1,22.86,24.638,24.638,54.61,55.88,5,22.2,967032,0.298296974660611,2019-06-15 01:52:00,1.03333333333333,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Summer",1,3,1,2,0,,1,1,0,0,0,0,"Current crop",2,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2019-6",2019-07-15 21:50:00,2019-07-15 22:15:00,38.3,0.0631,17.272,2.2,7.85114,76.2,60.96,20.828,10.414,20.828,20.828,23.368,44.196,6,22.2,967032,0.0120718238900057,2019-07-15 19:37:00,2.21666666666667,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Summer",1,3,1,2,0,,1,1,0,0,0,0,"Current crop",2,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2019-7",2019-07-20 01:34:00,2019-07-20 02:30:00,149.4,0.0938,26.162,0.8833,29.6164,91.44,60.96,40.64,26.162,0.254,6.35,51.562,62.992,7,22.2,967032,0.0470895689077507,2019-07-20 01:17:00,0.283333333333333,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Summer",1,3,1,2,0,,1,1,0,0,0,0,"Current crop",2,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2019-8",2019-08-05 22:50:00,2019-08-05 23:07:00,15.1,0.0303,11.684,0.75,15.57782,54.864,41.148,20.32,11.684,14.732,14.732,15.24,25.908,8,22.2,967032,0.00475938748666021,2019-08-05 22:19:00,0.516666666666667,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Summer",1,3,1,2,0,,1,1,0,0,0,0,"Current crop",2,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2019-9",2019-09-03 11:16:00,2019-09-03 11:53:00,121.1,0.1119,20.574,1.983,10.37336,91.44,74.676,38.608,19.558,16.51,16.51,23.876,29.464,9,22.2,967032,0.0381696572605663,2019-09-03 09:37:00,1.65,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Summer",1,3,1,2,0,,1,1,0,0,0,0,"Current crop",2,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2019-10",2019-09-13 02:56:00,2019-09-13 03:37:00,37.5,0.0267,16.002,4.617,3.4671,24.384,18.288,12.192,9.398,3.048,27.686,54.61,97.282,10,22.2,967032,0.01181967091058,2019-09-12 22:57:00,3.98333333333333,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Summer",1,3,1,2,0,,1,1,0,0,0,0,"Current crop",2,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2019-11",2019-09-15 04:25:00,2019-09-15 05:00:00,112.8,0.111,19.558,3.583,5.45846,48.768,41.148,25.908,14.224,0,17.78,74.422,117.348,11,22.2,967032,0.0355535700990246,2019-09-15 01:08:00,3.28333333333333,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Summer",1,3,1,2,0,,1,1,0,0,0,0,"Current crop",2,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2020-3",2020-05-26 20:30:00,2020-05-26 21:45:00,3021,1.685,28.702,2.233,12.8524,109.728,80.772,27.94,14.478,0,0.762,2.54,25.146,14,22.2,967032,0.952192688556325,2020-05-26 19:02:00,1.46666666666667,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2020,"Spring",1,1,0,1,0,0,1,0,1,0,0,0,"Previous crop",1,"Current fall + spring",0,"No"
"AO1","Non-Frozen","Storm","2020-4",2020-06-10 05:30:00,2020-06-10 08:15:00,3715,0.679,46.99,7.117,6.604,18.288,16.764,13.716,11.43,0,0,6.604,35.052,15,22.2,967032,1.17093539820813,2020-06-09 23:49:00,5.68333333333333,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2020,"Summer",1,1,0,1,0,0,1,0,1,0,0,1,"Current crop",1,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2020-5",2020-06-20 10:51:00,2020-06-20 22:00:00,20930,2.662,70.358,13.42,5.2451,33.528,28.956,21.336,19.304,12.192,12.192,12.192,60.96,16,22.2,967032,6.59695232422505,2020-06-20 08:18:00,2.55,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2020,"Summer",1,1,0,1,0,0,1,0,1,0,0,1,"Current crop",1,"Current spring + summer",,
"AO1","Non-Frozen","Storm","2020-6",2020-07-14 17:30:00,2020-07-14 18:15:00,327.4,0.3399,38.862,7.417,5.24002,97.536,91.44,44.704,24.13,0,0,27.432,57.912,17,22.2,967032,0.10319360682997,2020-07-14 10:48:00,6.7,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2020,"Summer",1,1,0,1,0,0,1,0,1,0,0,1,"Current crop",1,"Current spring + summer",,
