"USGS_Station_Number","Field_Name","discrete","estimated","estimated_flow_fraction","frozen","storm","unique_storm_number","n_sub_flow_events","Q_start","Q_end","runoff_volume","peak_discharge","rain_mm","duration_hr","Ievent_mm_hr","I5_mm_hr","I10_mm_hr","I15_mm_hr","I30_mm_hr","I60_mm_hr","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1_mm","ARFdays2_mm","ARFdays7_mm","ARFdays14_mm","suspended_sediment_conc_mgL","suspended_sediment_load_pounds","suspended_sediment_yield_pounds_per_acre","total_dissolved_solids_conc_mgL","total_dissolved_solids_load_pounds","total_dissolved_solids_yield_pounds_per_acre","orthophosphate_conc_mgL","orthophosphate_load_pounds","orthophosphate_yield_pounds_per_acre","total_phosphorus_unfiltered_conc_mgL","total_phosphorus_unfiltered_load_pounds","total_phosphorus_unfiltered_yield_pounds_per_acre","remark_suspended_sediment","remark_total_dissolved_solids","remark_orthophosphate","remark_total_phosphorus_unfiltered","WQ_event_id","BasinArea_ac","area_ft2","runoff_mm","Monitoring","FarmEnterprise","CropRotation","LandCover","LandCover_Updated","Tile","Tile_Notes","SoilType","Hydrologic_Group","DrainageClass","MeanSlope_per","Clay_Fraction","Water_Year","Season","Tillage_Basin_Coverage","Tillage_Total","Tillage_Fall","Tillage_Spring","Tillage_Summer","Tillage_Summer_Previous","Crop_Basin_Coverage","Previous_PerennialFrac","Current_PerennialFrac","Residue_Fall_Frac","Residue_Spring_Frac","PerennialFrac","Crop_Source","Tillage_Passes","Tillage_Window","Residue_Frac","Residue"
"USGS-451021089064901","AO1",0,0,0,"Frozen","Storm","2019-4",2,2019-04-17 20:54:00,2019-04-18 04:45:00,58920,4.81,36.576,8.883,4.11734,21.336,18.288,16.256,13.716,10.922,982.1,5.303,1050,5.669,0,0,0,14.478,326,1200,54,,,,0.301,1.11,0.0499,1.63,5.99,0.27,,,,,1,22.2,967032,18.5710669347033,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Pre-growing season",1,3,1,2,0,,1,1,0,0,0,1,"Previous crop",3,"Current post-growing season + pre-growing season",0,"No"
"USGS-451021089064901","AO1",1,0,0,"Non-Frozen","Storm","2019-9",1,2019-09-03 11:16:00,2019-09-03 11:53:00,121.1,0.1119,20.574,1.983,10.37336,91.44,74.676,62.992,38.608,19.558,803.8,12.22,780.7,11.87,16.51,16.51,23.876,29.464,1340,10.2,0.458,,,,1.78,0.0135,0.000606,8.1,0.0612,0.00276,,,,,2,22.2,967032,0.0381696572605663,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2019,"Growing season",1,3,1,2,0,,1,1,0,0,0,0,"Current crop",2,"Current pre-growing season + growing season",,
"USGS-451021089064901","AO1",0,0,0,"Frozen","Storm","2020-1",3,2020-03-26 19:15:00,2020-03-30 04:30:00,308900,3.709,21.082,38.82,0.543052,21.336,12.192,9.144,5.588,3.81,412.4,0.9073,462.2,1.017,0,0,14.986,39.878,28.8,556,25,,,,0.322,6.21,0.28,0.393,7.57,0.341,,,,,3,22.2,967032,97.362569180751,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2020,"Pre-growing season",1,1,0,1,0,0,1,0,1,0,0,0,"Previous crop",1,"Current post-growing season + pre-growing season",0,"No"
"USGS-451021089064901","AO1",0,0,0,"Frozen","Storm","2020-2",1,2020-03-30 16:15:00,2020-03-31 23:00:00,108800,6.622,0,,,,,,,,,,,,0.508,12.192,36.068,60.96,268,1820,82,,,,0.369,2.51,0.113,0.852,5.78,0.261,,,,,4,22.2,967032,34.2928052018961,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2020,"Pre-growing season",1,1,0,1,0,0,1,0,1,0,0,0,"Previous crop",1,"Current post-growing season + pre-growing season",0,"No"
"USGS-451021089064901","AO1",0,0,0,"Non-Frozen","Storm","2020-3",1,2020-05-26 20:30:00,2020-05-26 21:45:00,3021,1.685,28.702,2.233,12.8524,109.728,80.772,55.88,27.94,14.478,1142,12.56,1101,12.11,0,0.762,2.54,25.146,4180,789,35.5,,,,0.884,0.167,0.00751,14.3,2.7,0.121,,,,,5,22.2,967032,0.952192688556325,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2020,"Pre-growing season",1,1,0,1,0,0,1,0,1,0,0,0,"Previous crop",1,"Current post-growing season + pre-growing season",0,"No"
"USGS-451021089064901","AO1",0,0,0,"Non-Frozen","Storm","2020-5",1,2020-06-20 10:51:00,2020-06-20 22:00:00,20930,2.662,70.358,13.42,5.2451,33.528,28.956,27.432,21.336,19.304,2095,17.6,2144,18.01,12.192,12.192,12.192,60.96,156,204,9.18,,,,0.225,0.294,0.0132,0.758,0.991,0.0446,,,,,6,22.2,967032,6.59695232422505,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2020,"Growing season",1,1,0,1,0,0,1,0,1,0,0,1,"Current crop",1,"Current pre-growing season + growing season",,
"USGS-451021089064901","AO1",0,0,0,"Frozen","Storm","2021-1",2,2021-03-09,2021-03-11 11:00:00,261400,4.504,21.844,15.97,1.368044,15.24,12.192,12.192,9.144,6.604,506.3,1.823,564.8,2.033,0,0,0,1.016,7.2,97.4,4.39,,,,2.09,34,1.53,2.23,36.5,1.64,"<",,,,7,22.2,967032,82.3909860273496,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2021,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-451021089064901","AO1",0,0,0,"Frozen","Storm","2022-1",1,2021-12-16 04:30:00,2021-12-16 08:15:00,5300,0.91,13.716,2.133,6.42874,60.96,33.528,26.416,14.732,12.954,506.8,2.939,496,2.877,1.524,1.524,1.524,1.524,30,9.93,0.447,,,,0.509,0.168,0.00759,0.775,0.256,0.0116,,,,,8,22.2,967032,1.67051348869531,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2022,"Post-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Previous growing season + current post-growing season",1,"Yes"
"USGS-451021089064901","AO1",0,0,0,"Frozen","Storm","2022-3",1,2022-03-16 20:45:00,2022-03-20 21:15:00,272700,1.995,0,,,,,,,,,,,,0,0,0,22.606,11,187,8.43,,,,0.436,7.42,0.334,0.63,10.7,0.483,,,,,9,22.2,967032,85.9526468617378,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2022,"Pre-growing season",1,0,0,0,0,0,1,1,1,1,1,1,"Previous crop",0,"Current post-growing season + pre-growing season",1,"Yes"
"USGS-451021089064901","AO1",0,0,0,"Frozen","Storm","2023-1",1,2023-02-15 06:45:00,2023-02-17 00:36:00,26930,1.024,17.018,15.12,1.125728,12.192,10.668,8.128,5.588,3.81,304.3,0.6694,357.7,0.7869,0,0,0,0,13,21.9,0.984,,,,0.386,0.649,0.0292,0.485,0.815,0.0367,,,,,10,22.2,967032,8.48809966991785,"Surface","Potato","Potato-Alfalfa","Cultivated Crops","Cultivated Crops","No",,"Antigo silt loam","High-infiltration","Well drained",1.9,0.125,2023,"Pre-growing season",1,4,2,2,0,0,1,1,0,0,0,1,"Previous crop",4,"Current post-growing season + pre-growing season",0,"No"
