"","ProjectName","Field_Name","StudyPeriod","UseableYears","Ongoing","Monitoring","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","Tile","BasinArea_ac","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","IncludeAverages","Notes","event_n","MajorWatershed_HUC8","Watershed_HUC10","Watershed_HUC12","HUC12","USGS_Station_Number","frozen","storm","unique_storm_number","storm_start","storm_end","runoff_volume","peak_discharge","area_ft2","runoff_in","water_year","month"
"1","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Non-Frozen","Storm","2004-1",2003-11-23 13:15:00,2003-11-23 15:10:00,569.6,0.2194,892980,0.00765437075858362,"2004",11
"2","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-2",2004-01-02 23:52:00,2004-01-03 04:25:00,5201,0.9402,892980,0.069891822885171,"2004",1
"3","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-3",2004-02-29 21:00:00,2004-03-01 01:00:00,65.4,0.00722,892980,0.000878855069542431,"2004",2
"4","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-4",2004-03-01 15:00:00,2004-03-03 10:00:00,82510,1.594,892980,1.10878183161997,"2004",3
"5","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-5",2004-03-03 21:00:00,2004-03-04 01:00:00,125.4,0.01958,892980,0.00168514412416851,"2004",3
"6","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-6",2004-03-04 19:57:00,2004-03-04 23:40:00,563.7,0.08781,892980,0.00757508566821206,"2004",3
"7","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-7",2004-03-05 11:11:00,2004-03-05 12:29:00,6963,3.132,892980,0.093569844789357,"2004",3
"8","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-7",2004-03-05 12:29:00,2004-03-05 14:29:00,20430,3.509,892980,0.274541423100181,"2004",3
"9","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-7",2004-03-05 14:29:00,2004-03-05 17:07:00,23370,2.674,892980,0.31404958677686,"2004",3
"10","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"USGS-442944087354100","Frozen","Storm","2004-7",2004-03-05 17:07:00,2004-03-06 01:00:00,14820,2.285,892980,0.199153396492643,"2004",3
