"","ProjectName","Field_Name","StudyPeriod","UseableYears","Ongoing","Monitoring","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","Tile","BasinArea_ac","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","IncludeAverages","Notes","event_n","MajorWatershed_HUC8","Watershed_HUC10","Watershed_HUC12","HUC12","Approximate_Start_Date"
"1","Pagel","P1","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",79,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"11/22/2003"
"2","Pagel","P4","WY2004-WY2008",4,"No","Tile","WI","Kewaunee",44.49525,-87.594556,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",20.5,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",167,NA,NA,NA,NA,"10/1/2004"
"3","Pagel","P2","WY2004-WY2006",3,"No","Surface","WI","Kewaunee",44.487833,-87.607333,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",22.1,"Hortonville silt loam","C","Well drained",4,"Yes","",71,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"11/22/2003"
"4","Pagel","P3","WY2004-WY2008",4,"No","Surface","WI","Kewaunee",44.504083,-87.607083,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",13.2,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",114,"Door-Kewaunee","Kewaunee River","Kewaunee River",40301020305,"11/22/2003"
"5","Pagel","P5","WY2004-WY2008",4,"No","Tile","WI","Kewaunee",44.504083,-87.607083,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes","Yes",13.2,"Hortonville silt loam","C","Well drained",4,"Yes","Tile monitoring started WY 2005",140,NA,NA,NA,NA,"10/1/2004"
"6","Riechers","R1","WY2004-WY2010",7,"No","Surface","WI","Lafayette",42.65328,-90.28567,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes","No",16.9,"Tama silt loam","B","Well drained",5,"Yes","",134,"Apple-Plum","Galena River","Madden Branch",70600050301,"12/3/2003"
"7","Riechers","R2","WY2004-WY2010",7,"No","Surface","WI","Lafayette",42.65243,-90.28918,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes","No",17.2,"Tama silt loam","B","Well drained",5,"Yes","",101,"Apple-Plum","Galena River","Madden Branch",70600050301,"12/3/2003"
"8","Riechers","R3","WY2004-WY2010",7,"No","Surface","WI","Lafayette",42.64615,-90.28792,"Beef and Grain","Corn-Soybean","Cultivated Crops","No","Yes","No",39.5,"Tama silt loam","B","Well drained",5,"Yes","",139,"Apple-Plum","Galena River","Madden Branch",70600050301,"12/3/2003"
"9","Heisner","H3","WY2005-WY2007",3,"No","Surface","WI","Iowa",42.888111,-90.127889,"Dairy","Corn-Barely-Alfalfa/Brome (Organic)","Cultivated Crops","Yes","Yes","No",15.8,"Dodgeville silt loam","C","Well drained",6,"Yes","",36,"Pecatonica River","Mineral Point Branch","Mineral Point Branch",70900030103,"7/1/2004"
"10","Koepke","KP3","WY2006-WY2008",3,"No","Surface","WI","Waukesha",43.186417,-88.469833,"Dairy","Corn-Soybean-Alfalfa","Cultivated Crops","No","Yes","Yes",6.1,"Brookston silt loam","C/D","Poorly drained",2,"Yes","",43,"Upper Rock","Ashippun River-Rock River","Ashippun River",70900010603,"5/26/2005"
