"","USGS_Station_Number","Field_Name","estimated","frozen","storm","unique_storm_number","storm_start","storm_end","runoff_volume","peak_discharge","nitrate_plus_nitrite_load_pounds","ammonia_plus_ammonium_load_pounds","total_Kjeldahl_nitrogen_unfiltered_load_pounds","total_nitrogen_load_pounds","organic_nitrogen_load_pounds","total_Kjeldahl_nitrogen_filtered_load_pounds","nitrate_plus_nitrite_conc_mgL","ammonia_plus_ammonium_conc_mgL","total_Kjeldahl_nitrogen_unfiltered_conc_mgL","total_nitrogen_conc_mgL","organic_nitrogen_conc_mgL","total_Kjeldahl_nitrogen_filtered_conc_mgL","nitrate_plus_nitrite_yield_pounds_per_acre","ammonia_plus_ammonium_yield_pounds_per_acre","total_Kjeldahl_nitrogen_unfiltered_yield_pounds_per_acre","total_nitrogen_yield_pounds_per_acre","organic_nitrogen_yield_pounds_per_acre","total_Kjeldahl_nitrogen_filtered_yield_pounds_per_acre","ProjectName","StudyPeriod","UseableYears","Ongoing","Monitoring","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","Tile","BasinArea_ac","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","IncludeAverages","Notes","event_n","MajorWatershed_HUC8","Watershed_HUC10","Watershed_HUC12","HUC12","area_ft2","runoff_in","water_year","month"
"1","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2019-1",2018-12-27 16:51:00,2018-12-28 18:15:00,3000,0.0506,0.0936,0.114,0.208,0.301,0.0936,NA,0.5,0.61,1.11,1.61,0.5,NA,0.00422,0.00515,0.00936,0.0136,0.00422,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0372273099545827,"2019",12
"2","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2019-2",2019-01-07 14:27:00,2019-01-08 16:45:00,1030,0.0244,0.0321,0.0431,0.0636,0.0958,0.0206,NA,0.5,0.67,0.99,1.49,0.32,NA,0.00145,0.00194,0.00287,0.00431,0.000926,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.0127813764177401,"2019",1
"3","USGS-451021089064901","AO1","Estimated","Frozen","Storm","2019-3",2019-03-13 00:30:00,2019-03-16 00:19:00,68020,1.146,2.12,2.84,4.2,6.33,1.36,NA,0.5,0.67,0.99,1.49,0.32,NA,0.0956,0.128,0.189,0.285,0.0612,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.844067207703571,"2019",3
"4","USGS-451021089064901","AO1","Measured","Frozen","Storm","2019-3",2019-03-16 00:19:00,2019-03-17 22:24:00,221600,3.145,6.92,9.27,13.7,20.6,4.43,NA,0.5,0.67,0.99,1.49,0.32,NA,0.312,0.418,0.617,0.928,0.199,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,2.74985729531184,"2019",3
"5","USGS-451021089064901","AO1","Measured","Frozen","Storm","2019-3",2019-03-17 22:24:00,2019-03-22 17:32:00,373100,3.03,11.6,14.2,25.9,37.5,11.6,NA,0.5,0.61,1.11,1.61,0.5,NA,0.525,0.64,1.16,1.69,0.525,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,4.62983644801827,"2019",3
"6","USGS-451021089064901","AO1","Measured","Frozen","Storm","2019-3",2019-03-22 17:32:00,2019-03-28 22:00:00,123000,2.006,2.3,4.3,10.5,12.8,6.22,NA,0.3,0.56,1.37,1.67,0.81,NA,0.104,0.194,0.474,0.578,0.28,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,1.52631970813789,"2019",3
"7","USGS-451021089064901","AO1","Measured","Frozen","Storm","2019-4",2019-04-17 20:54:00,2019-04-18 00:43:00,27400,4.81,4.62,0.257,4.62,9.24,4.36,NA,2.7,0.15,2.7,5.4,2.55,NA,0.208,0.0116,0.208,0.416,0.197,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.340009430918522,"2019",4
"8","USGS-451021089064901","AO1","Measured","Frozen","Storm","2019-4",2019-04-18 00:43:00,2019-04-18 04:45:00,31510,4.768,4.33,0.984,5.74,10.1,4.76,NA,2.2,0.5,2.92,5.12,2.42,NA,0.195,0.0443,0.259,0.454,0.214,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.3910108455563,"2019",4
"9","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2019-5",2019-06-15 02:54:00,2019-06-15 04:00:00,946.4,0.7981,0.065,0.151,0.933,0.998,0.783,NA,1.1,2.55,15.8,16.9,13.2,NA,0.00293,0.00679,0.042,0.045,0.0353,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.011743975380339,"2019",6
"10","USGS-451021089064901","AO1","Estimated","Non-Frozen","Storm","2019-6",2019-07-15 21:50:00,2019-07-15 22:15:00,38.3,0.0631,0.00263,0.00609,0.0377,0.0404,0.0317,NA,1.1,2.55,15.8,16.9,13.2,NA,0.000118,0.000274,0.0017,0.00182,0.00143,NA,"Antigo 1","WY2019-WY2023",5,"Yes","Surface","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No","No",22.2,"Antigo silt loam","B","Well drained",1.9,"Yes","",48,"Lake Dubay","Spring Brook","City of Antigo-Spring Brook",70700021102,967032,0.000475268657086839,"2019",7
