"","P1","P4","P2","P3","P5","R1","R2","R3","H3","KP3","MT1","JF4","JF5","WF1","WF2","RE1","RE5","AR1","AR2","DK1A","MA1A","SH1A","RS1","RS2","KD1","KD2","AO1","AO3","K5","K6","K7","K8","JF2","MT2","Date"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030101"
"2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030102"
"3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030103"
"4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030104"
"5",0.894634783267975,0.894634783267975,0.855009734630585,0.846752643585205,0.846752643585205,4.69016885757446,4.72085571289062,4.72085571289062,3.89534091949463,0.938191950321198,2.82356095314026,0.98419600725174,0.98419600725174,0.632988214492798,0.637575089931488,2.34869647026062,2.4428277015686,2.50797033309937,2.46294975280762,0.362659335136414,0.955035924911499,0.702967703342438,1.31304740905762,1.33568727970123,0.798789858818054,0.933304607868195,0.743102431297302,0.858123123645782,1.14792823791504,1.14792823791504,1.14792823791504,1.21961951255798,0.986065983772278,2.51618194580078,"20030105"
"6",1.46059095859528,1.46059095859528,1.42857563495636,1.41512358188629,1.41512358188629,0,0,0,0,1.08082413673401,0,0,0,0,0,0.488578259944916,0.49812251329422,0.612865805625916,0.611742377281189,0.344845533370972,1.36707973480225,1.03592956066132,0,0,1.4027704000473,1.24462294578552,0.339684695005417,0.423945188522339,2.1642062664032,2.1642062664032,2.1642062664032,2.16058373451233,0,0,"20030106"
"7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030107"
"8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030108"
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030109"
"10",0,0,0,0,0,0,0,0,0,0.257401078939438,0,0,0,0,0,0,0,0,0,0.744268357753754,0.463517427444458,0,0,0,0,0,0,0,0.399970948696136,0.399970948696136,0.399970948696136,0.396851599216461,0,0,"20030110"
"11",0,0,0,0,0,0,0,0,0.807776689529419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030111"
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030112"
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030113"
"14",0,0,0,0,0,1.37899243831635,1.37787926197052,1.37787926197052,1.18546295166016,0,0,0.475741684436798,0.475741684436798,0,0,0.498138844966888,0.496312499046326,0.462975859642029,0.46822053194046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744782328605652,0,"20030114"
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030115"
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030116"
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030117"
"18",0,0,0,0,0,0,0,0,0,0,0.960489809513092,0,0,0.287861526012421,0,0,0,0,0,0.301882803440094,0,0,0.860000014305115,0.967000007629395,0,0,0.512290954589844,0.506497263908386,0,0,0,0,0.316884696483612,0.510299384593964,"20030118"
"19",0,0,0,0,0,0,0,0,0,0,0,0.46589332818985,0.46589332818985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317363232374191,0,"20030119"
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030120"
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030121"
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030122"
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030123"
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030124"
"25",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030125"
"26",0,0,0,0,0,0,0.266642779111862,0.266642779111862,0,0,0,0,0,0,0,0.333000004291534,0.39300000667572,0.489506244659424,0.495000004768372,0.269085109233856,0,0,0,0,0,0,0.303926646709442,0,0,0,0,0,0,0,"20030126"
"27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"20030127"
"28",0,0,0.258150905370712,0.281930923461914,0.281930923461914,0,0,0,0,0,0.598909735679626,0,0,0.504225492477417,0.318965137004852,0,0,0,0,0.595750272274017,1.1431143283844,0.958328068256378,0,0,1.25449740886688,0.391698747873306,0.574855268001556,1.13468778133392,1.15582954883575,1.15582954883575,1.15582954883575,1.05692136287689,0,0.443039447069168,"20030128"
