"","P1","P4","P2","P3","P5","R1","R2","R3","H3","KP3","MT1","JF4","JF5","WF1","WF2","RE1","RE5","AR1","AR2","DK1A","MA1A","SH1A","RS1","RS2","KD1","KD2","AO1","AO3","K5","K6","K7","K8","JF2","MT2","Date"
"1",-4.64000034332275,-4.64000034332275,-4.66000032424927,-4.74000024795532,-4.74000024795532,-2.63000011444092,-2.65000009536743,-2.65000009536743,-2.20000004768372,-3.59000015258789,-8.03900051116943,-6.37000036239624,-6.37000036239624,-8.58000087738037,-8.90000057220459,-2.25999999046326,-2.17000007629395,-1.99000012874603,-2.04000020027161,-4.92000007629395,-5.05000019073486,-6.47000026702881,-4.62000036239624,-4.43000030517578,-4.99000024795532,-4.10000038146973,-8.20000076293945,-8.26000022888184,-3.56000018119812,-3.56000018119812,-3.56000018119812,-3.66000008583069,-6.32000017166138,-7.64000034332275,"20030101"
"2",-4.73000001907349,-4.73000001907349,-4.66000032424927,-4.70000028610229,-4.70000028610229,-4.76000022888184,-4.76000022888184,-4.76000022888184,-4.73000001907349,-4.51000022888184,-7.27000045776367,-5.87000036239624,-5.87000036239624,-8.71000003814697,-8.96000003814697,-4.64000034332275,-4.53000020980835,-4.3600001335144,-4.41000032424927,-4.19000005722046,-5.37000036239624,-6.03000020980835,-5.97000026702881,-6.03000020980835,-5.17000007629395,-3.89000010490417,-7.55000019073486,-7.60000038146973,-3.59000015258789,-3.59000015258789,-3.59000015258789,-3.73000025749207,-5.83000040054321,-6.99000024795532,"20030102"
"3",-5.78000020980835,-5.78000020980835,-5.76000022888184,-5.94000005722046,-5.94000005722046,-5.75000047683716,-5.75000047683716,-5.75000047683716,-4.74000024795532,-5.26000022888184,-7.90000057220459,-7.75000047683716,-7.75000047683716,-8.0290002822876,-8.46000003814697,-4.94000005722046,-4.92000007629395,-4.48000001907349,-4.48000001907349,-4,-5.58000040054321,-7.99000024795532,-7.18000030517578,-6.65000009536743,-5.88000011444092,-4.28000020980835,-8.59000015258789,-8.48000049591064,-3.69000005722046,-3.69000005722046,-3.69000005722046,-3.81000018119812,-7.71000051498413,-7.74000024795532,"20030103"
"4",-4.98000001907349,-4.98000001907349,-5.03000020980835,-5.1100001335144,-5.1100001335144,-4.51999998092651,-4.51999998092651,-4.51999998092651,-3.93000030517578,-5.48000049591064,-7.6100001335144,-6.23000049591064,-6.23000049591064,-7.70000028610229,-8.11900043487549,-4.48000001907349,-4.46000003814697,-4.53000020980835,-4.57000017166138,-4.55000019073486,-6.17000007629395,-6.6700005531311,-5.41000032424927,-5,-5.45000028610229,-4.60000038146973,-6.83000040054321,-6.87000036239624,-4.87000036239624,-4.87000036239624,-4.87000036239624,-5.01000022888184,-6.16000032424927,-7.3600001335144,"20030104"
"5",-5.79000043869019,-5.79000043869019,-5.79000043869019,-5.68000030517578,-5.68000030517578,-3.37000012397766,-3.37000012397766,-3.37000012397766,-2.53000020980835,-3.92000007629395,-4.94000005722046,-3.19000005722046,-3.19000005722046,-2.78000020980835,-3.42000007629395,-3.63000011444092,-3.66000008583069,-3.78000020980835,-3.75000023841858,-3.94000029563904,-4.38000011444092,-5.74000024795532,-3.49000024795532,-3.56000018119812,-5.49000024795532,-4.79000043869019,-4.67000007629395,-4.73000001907349,-3.57000017166138,-3.57000017166138,-3.57000017166138,-3.66000008583069,-3.15000009536743,-5.08000040054321,"20030105"
"6",-3.81000018119812,-3.81000018119812,-3.87000012397766,-3.85000014305115,-3.85000014305115,-1.64000010490417,-1.66000008583069,-1.66000008583069,-1.10000002384186,-2.45000004768372,-4.33000040054321,-2.89000010490417,-2.89000010490417,-3.22000026702881,-3.52000021934509,-1.66000008583069,-1.57000005245209,-1.39000010490417,-1.41000008583069,-2.60000014305115,-3.69000005722046,-4.32000017166138,-3.03000020980835,-2.94000005722046,-3.82000017166138,-3.21000003814697,-4.96000003814697,-4.84000015258789,-2.81000018119812,-2.81000018119812,-2.81000018119812,-2.91000008583069,-2.84000015258789,-4.3600001335144,"20030106"
"7",-3.98000025749207,-3.98000025749207,-3.97000026702881,-4.01900005340576,-4.01900005340576,-2.72000002861023,-2.71000003814697,-2.71000003814697,-2.07000017166138,-2.34000015258789,-5.03000020980835,-3.1800000667572,-3.1800000667572,-4.19000005722046,-4.39000034332275,-2.07000017166138,-2.1100001335144,-2.56000018119812,-2.6100001335144,-3.71000027656555,-4.72000026702881,-4.60000038146973,-2.56000018119812,-2.5,-4.34000015258789,-3.67000007629395,-5.1100001335144,-5.09000015258789,-3.81000018119812,-3.81000018119812,-3.81000018119812,-3.89000010490417,-3.13000011444092,-5,"20030107"
"8",1.94000005722046,1.94000005722046,1.88000011444092,1.85000014305115,1.85000014305115,2.66000008583069,2.69000005722046,2.69000005722046,2.66000008583069,1.63000011444092,1.32000005245209,4.21000003814697,4.21000003814697,2.83000016212463,2.45000004768372,2.28000020980835,2.23000001907349,2.19000005722046,2.16000008583069,2.20000004768372,1.3400000333786,1.6100001335144,3.72000026702881,3.83000016212463,1.5900000333786,2.32000017166138,1.16000008583069,1.10000002384186,2.3600001335144,2.3600001335144,2.3600001335144,2.24000000953674,4.23000001907349,1.40000009536743,"20030108"
"9",5.37000036239624,5.37000036239624,5.32000017166138,5.25000047683716,5.25000047683716,5.62000036239624,5.62000036239624,5.62000036239624,6.40000009536743,4.96000003814697,2.90000009536743,4.80000019073486,4.80000019073486,4.34000015258789,4.01900005340576,6.13000011444092,6.04000043869019,5.78000020980835,5.75000047683716,5.60000038146973,5.38000011444092,3.77000021934509,5.62000036239624,5.63000011444092,5.20000028610229,6.03000020980835,2.96000003814697,2.87000012397766,6.3100004196167,6.3100004196167,6.3100004196167,6.25000047683716,4.85000038146973,3.15000009536743,"20030109"
"10",-3.30000019073486,-3.30000019073486,-3.33000016212463,-3.35000014305115,-3.35000014305115,-3.29000020027161,-3.29000020027161,-3.29000020027161,-2.96000003814697,-3.1800000667572,-5.46000003814697,-4.46000003814697,-4.46000003814697,-4.88000011444092,-4.87000036239624,-2.27000021934509,-2.21000003814697,-2,-1.99000012874603,-3.49000024795532,-3.73000025749207,-3.96000027656555,-3.21000003814697,-3.19000005722046,-3.50000023841858,-3.1100001335144,-6.07000017166138,-5.97000026702881,-2.98000025749207,-2.98000025749207,-2.98000025749207,-3.05000019073486,-4.42000007629395,-5.28000020980835,"20030110"
