"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in","first_P_start","Q_response_time_hr"
"1","AO1","Frozen","Storm","2019-1",2018-12-27 16:51:00,2018-12-28 18:15:00,3000,0.0506,0.35,19.17,0.01826,0.24,0.12,0.1,0.08,0,0,0,0,22.2,967032,0.0372273099545827,2018-12-27 06:25:00,10.4333333333333
"2","AO1","Frozen","Storm","2019-2",2019-01-07 14:27:00,2019-01-08 16:45:00,1030,0.0244,0.26,7.683,0.03384,0.24,0.12,0.12,0.1,0,0,0,0.35,22.2,967032,0.0127813764177401,2019-01-07 05:55:00,8.53333333333333
"3","AO1","Frozen","Storm","2019-3",2019-03-13 00:30:00,2019-03-28 22:00:00,785700,3.145,1.23,51.87,0.02371,0.6,0.42,0.24,0.2,0,0,0,0,22.2,967032,9.7498324771052,2019-03-12 22:43:00,1.78333333333333
"4","AO1","Frozen","Storm","2019-4",2019-04-17 20:54:00,2019-04-18 04:45:00,58920,4.81,1.44,8.883,0.1621,0.84,0.72,0.54,0.43,0,0,0,0.57,22.2,967032,0.731144367508004,2019-04-17 16:55:00,3.98333333333333
"5","AO1","Non-Frozen","Storm","2019-5",2019-06-15 02:54:00,2019-06-15 04:00:00,946.4,0.7981,0.91,1.417,0.6424,2.52,2.28,1.5,0.9,0.97,0.97,2.15,2.2,22.2,967032,0.011743975380339,2019-06-15 01:52:00,1.03333333333333
"6","AO1","Non-Frozen","Storm","2019-6",2019-07-15 21:50:00,2019-07-15 22:15:00,38.3,0.0631,0.68,2.2,0.3091,3,2.4,0.82,0.41,0.82,0.82,0.92,1.74,22.2,967032,0.000475268657086839,2019-07-15 19:37:00,2.21666666666667
"7","AO1","Non-Frozen","Storm","2019-7",2019-07-20 01:34:00,2019-07-20 02:30:00,149.4,0.0938,1.03,0.8833,1.166,3.6,2.4,1.6,1.03,0.01,0.25,2.03,2.48,22.2,967032,0.00185392003573822,2019-07-20 01:17:00,0.283333333333333
"8","AO1","Non-Frozen","Storm","2019-8",2019-08-05 22:50:00,2019-08-05 23:07:00,15.1,0.0303,0.46,0.75,0.6133,2.16,1.62,0.8,0.46,0.58,0.58,0.6,1.02,22.2,967032,0.000187377460104733,2019-08-05 20:20:00,2.5
"9","AO1","Non-Frozen","Storm","2019-9",2019-09-03 11:16:00,2019-09-03 11:53:00,121.1,0.1119,0.81,1.983,0.4084,3.6,2.94,1.52,0.77,0.65,0.65,0.94,1.16,22.2,967032,0.00150274241183332,2019-09-03 06:54:00,4.36666666666667
"10","AO1","Non-Frozen","Storm","2019-10",2019-09-13 02:56:00,2019-09-13 03:37:00,37.5,0.0267,0.63,4.617,0.1365,0.96,0.72,0.48,0.37,0.12,1.09,2.15,3.83,22.2,967032,0.000465341374432283,2019-09-12 22:57:00,3.98333333333333
"11","AO1","Non-Frozen","Storm","2019-11",2019-09-15 04:25:00,2019-09-15 05:00:00,112.8,0.111,0.77,3.583,0.2149,1.92,1.62,1.02,0.56,0,0.7,2.93,4.62,22.2,967032,0.00139974685429231,2019-09-15 01:08:00,3.28333333333333
"12","AO1","Frozen","Storm","2020-1",2020-03-26 19:15:00,2020-03-30 04:30:00,308900,3.709,0.83,38.82,0.02138,0.84,0.48,0.22,0.15,0,0,0.59,1.57,22.2,967032,3.8331720149902,NA,NA
"13","AO1","Frozen","Storm","2020-2",2020-03-30 16:15:00,2020-03-31 23:00:00,108800,6.622,0,NA,NA,NA,NA,NA,NA,0.02,0.48,1.42,2.4,22.2,967032,1.35011044101953,NA,NA
"14","AO1","Non-Frozen","Storm","2020-3",2020-05-26 20:30:00,2020-05-26 21:45:00,3021,1.685,1.13,2.233,0.506,4.32,3.18,1.1,0.57,0,0.03,0.1,0.99,22.2,967032,0.0374879011242648,2020-05-26 19:02:00,1.46666666666667
"15","AO1","Non-Frozen","Storm","2020-4",2020-06-10 05:30:00,2020-06-10 08:15:00,3715,0.679,1.85,7.117,0.26,0.72,0.66,0.54,0.45,0,0,0.26,1.38,22.2,967032,0.0460998188270916,2020-06-09 22:40:00,6.83333333333333
"16","AO1","Non-Frozen","Storm","2020-5",2020-06-20 10:51:00,2020-06-20 22:00:00,20930,2.662,2.77,13.42,0.2065,1.32,1.14,0.84,0.76,0.48,0.48,0.48,2.4,22.2,967032,0.259722532449805,2020-06-20 08:18:00,2.55
