"","Field_Name","Field_Year","PerennialFrac","Start_Date_wt"
"1","AO1",2019,0,2019-05-16
"2","AO1",2020,1,2020-04-28
"3","AO1",2021,1,2021-05-02
"4","AO1",2022,1,2022-05-02
"5","AO1",2023,0,2023-05-15
"6","AO1",2024,1,2024-05-15
"7","AO3",2020,1,2019-05-05
"8","AO3",2021,0,2021-05-20
"9","AO3",2022,0,2022-06-11
"10","AO3",2023,1,2023-05-15
"11","AO3",2024,0,2024-05-21
"12","AR1",2017,1,2017-04-10
"13","AR1",2018,1,2018-05-02
"14","AR1",2019,1,2019-05-02
"15","AR1",2020,1,2020-05-02
"16","AR1",2021,0,2021-05-20
"17","AR2",2017,0,2017-05-14
"18","AR2",2018,0,2018-04-27
"19","AR2",2019,0,2019-04-25
"20","AR2",2020,0,2020-04-26
"21","AR2",2021,0,2021-04-26
"22","DK1A",2018,0,2017-09-13
"23","DK1A",2019,0,2019-06-10
"24","DK1A",2020,0,2020-06-16
"25","H3",2005,0.48,2005-05-08
"26","H3",2006,0.8,2006-04-27
"27","H3",2007,0.52,2007-05-16
"28","JF2",2011,1,2011-05-02
"29","JF2",2012,1,2012-05-02
"30","JF2",2013,1,2013-05-02
"31","JF2",2014,1,2014-05-02
"32","JF2",2015,1,2015-05-02
"33","JF2",2016,1,2016-05-02
"34","JF2",2017,1,2017-05-02
"35","JF4",2011,0.75,2011-05-03
"36","JF4",2012,0.45,2012-04-29
"37","JF4",2013,0.5,2013-04-26
"38","JF4",2014,0.65,2014-04-30
"39","JF4",2015,0.65,2015-05-06
"40","JF4",2016,0.65,2016-05-06
"41","JF4",2017,0.3,2017-05-05
"42","JF5",2011,0.5,2011-04-30
"43","JF5",2012,0.75,2012-04-26
"44","JF5",2013,0.25,2013-05-22
"45","JF5",2014,0.25,2014-05-19
"46","JF5",2015,0.5,2015-05-01
"47","JF5",2016,0.5,2016-05-04
"48","JF5",2017,0.5,2017-05-02
"49","K5",2007,1,2007-05-02
"50","K5",2008,1,2008-05-02
"51","K5",2009,1,2009-04-26
"52","K5",2010,1,2010-04-24
"53","K5",2011,1,2011-05-02
"54","K6",2007,1,2007-05-02
"55","K6",2008,1,2008-05-02
"56","K6",2009,1,2009-04-26
"57","K6",2010,1,2010-04-24
"58","K6",2011,1,2011-05-02
"59","K7",2007,1,2007-05-02
"60","K7",2008,1,2008-05-09
"61","K7",2009,1,2009-05-02
"62","K7",2010,1,2010-04-29
"63","K7",2011,1,2011-05-02
"64","K8",2008,1,2008-05-02
"65","K8",2009,1,2009-05-02
"66","K8",2010,1,2010-05-02
"67","K8",2011,1,2011-05-02
"68","KD1",2019,0,2019-06-08
"69","KD1",2020,0,2020-05-07
"70","KD1",2021,0,2021-05-06
"71","KD1",2022,0,2022-05-16
"72","KD1",2023,0,2022-09-23
"73","KD1",2024,1,2024-05-12
"74","KD2",2019,0.1,2019-06-04
"75","KD2",2020,0.1,2020-05-11
"76","KD2",2021,0.1,2021-05-11
"77","KD2",2022,0,2022-05-15
"78","KD2",2023,0,2023-05-14
"79","KD2",2024,1,2024-04-24
"80","KP3",2006,0,NaN
"81","KP3",2007,0,2007-05-04
"82","KP3",2008,0,2008-05-06
"83","MA1A",2018,0,NaN
"84","MA1A",2019,0,2019-06-03
"85","MA1A",2020,0,2020-04-26
"86","MT1",2022,0,2022-05-24
"87","MT1",2023,1,2023-05-21
"88","MT1",2024,1,2023-05-16
"89","MT2",2022,1,2022-05-02
"90","P1",2004,0.95,2004-05-02
"91","P1",2005,0,2005-04-24
"92","P1",2006,0,2006-06-08
"93","P1",2007,0,2007-05-08
"94","P1",2008,0,2008-05-10
"95","P2",2004,0.94,2004-05-02
"96","P2",2005,0,2005-05-07
"97","P2",2006,0,2006-06-08
"98","P3",2004,1,2004-05-02
"99","P3",2005,0,2005-05-11
"100","P3",2006,0,2006-06-05
"101","P3",2007,0,2007-05-12
"102","P3",2008,0,2008-05-10
"103","P4",2004,0.95,2004-05-02
"104","P4",2005,0,2005-04-24
"105","P4",2006,0,2006-06-08
"106","P4",2007,0,2007-05-08
"107","P4",2008,0,2008-05-10
"108","P5",2004,1,2004-05-02
"109","P5",2005,0,2005-05-11
"110","P5",2006,0,2006-06-05
"111","P5",2007,0,2007-05-12
"112","P5",2008,0,2008-05-10
"113","R1",2004,0,2004-04-26
"114","R1",2005,0,2005-05-05
"115","R1",2006,0,2006-04-24
"116","R1",2007,0,2007-05-01
"117","R1",2008,0,2008-05-06
"118","R1",2009,0,2009-05-03
"119","R1",2010,0,2010-04-28
"120","R2",2004,0,2004-04-26
"121","R2",2005,0,2005-05-05
"122","R2",2006,0,2006-04-24
"123","R2",2007,0,2007-05-01
"124","R2",2008,0,2008-05-06
"125","R2",2009,0,2009-05-03
"126","R2",2010,0,2010-04-28
"127","R3",2004,0,2004-05-05
"128","R3",2005,0,2005-04-29
"129","R3",2006,0,2006-04-25
"130","R3",2007,0,2007-05-04
"131","R3",2008,0,2008-05-02
"132","R3",2009,0,2009-05-03
"133","R3",2010,0,2010-05-03
"134","RE1",2016,0,2016-04-28
"135","RE1",2017,0,2017-05-31
"136","RE1",2018,0,2018-04-28
"137","RE1",2019,0,2019-04-24
"138","RE1",2020,0,2020-04-25
"139","RE1",2021,0,2021-04-21
"140","RE5",2016,0,2016-04-23
"141","RE5",2017,0,2017-06-01
"142","RE5",2018,0,2018-04-28
"143","RE5",2019,0,2019-05-13
"144","RE5",2020,0,2020-04-25
"145","RE5",2021,0,2021-04-25
"146","RS1",2019,0,2019-05-03
"147","RS1",2020,1,2020-04-29
"148","RS1",2021,1,2021-05-02
"149","RS1",2022,1,2022-05-02
"150","RS1",2023,1,2023-05-02
"151","RS2",2019,0,2019-05-10
"152","RS2",2020,1,2020-05-13
"153","RS2",2021,1,2021-05-02
"154","RS2",2022,0,2022-05-25
"155","RS2",2023,0,2023-05-23
"156","SH1A",2018,1,2018-05-13
"157","SH1A",2019,1,2019-05-02
"158","SH1A",2020,1,2020-05-02
"159","WF1",2011,0,2011-05-18
"160","WF1",2012,0,2012-05-02
"161","WF1",2013,0,2013-05-27
"162","WF1",2014,0,2014-05-30
"163","WF1",2015,0,2015-05-02
"164","WF1",2016,0,2016-05-04
"165","WF1",2017,0,2017-05-13
"166","WF2",2011,0,2011-05-21
"167","WF2",2012,1,2012-04-18
"168","WF2",2013,1,2013-05-02
"169","WF2",2014,1,2014-05-02
"170","WF2",2015,0,2015-05-04
"171","WF2",2016,0,2016-05-04
"172","WF2",2017,0,2017-05-11
