"","USGS_Station_Number","Field_Name","P_start","P_end","rain","duration","Ievent","I5","I10","I15","I30","I60","energy_m1","erosivity_m1","energy_m2","erosivity_m2","ARFdays1","ARFdays2","ARFdays7","ARFdays14","Associated_Q","Q_total_volume","Date","Tmp","P_frozen","dup_Q","BasinArea_ac","area_ft2","Q_total_in","Monitoring","FarmEnterprise","CropRotation","Tillage","Tile","SoilType","HydrologicGroup","DrainageClass","MeanSlope_per","Clay_Fraction","Field_Year","PerennialFrac","Start_Date_wt","DSP","Crop","PreviousCrop","Annual_Tillage"
"1","USGS-442954087355700","P1","2003-11-23 03:25:00","2003-11-23 15:57:00",1.722,12.53,0.1374,1.212,1.044,0.948,0.636,0.432,1284,8.167,1312,8.342,0,0,0,0,TRUE,NA,"2003-11-23",3.57000017166138,FALSE,NA,20.5,892980,NA,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2003,NA,NA,NA,NA,NA,NA
"2","USGS-442954087355700","P1","2003-12-10 03:33:00","2003-12-10 21:09:00",0.891,17.6,0.05062,0.324,0.216,0.216,0.18,0.144,385,0.693,470.3,0.8466,0,0,0,0.009,FALSE,0,"2003-12-10",2.19000005722046,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2003,NA,NA,NA,NA,NA,NA
"3","USGS-442954087355700","P1","2003-12-28 05:37:00","2003-12-28 11:11:00",0.252,5.567,0.04527,0.324,0.216,0.18,0.126,0.09,121.3,0.1529,139,0.1752,0,0,0,0.072,FALSE,0,"2003-12-28",4.01900005340576,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2003,NA,NA,NA,NA,NA,NA
"4","USGS-442954087355700","P1","2004-03-01 11:49:00","2004-03-01 19:52:00",0.234,8.05,0.02907,0.324,0.324,0.216,0.162,0.09,115.4,0.1869,127.1,0.2058,0,0,0.081,0.567,TRUE,82510,"2004-03-01",4.17000007629395,FALSE,FALSE,20.5,892980,1.10878183161997,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-62,"Alfalfa","Alfalfa","No-Till"
"5","USGS-442954087355700","P1","2004-03-02 00:23:00","2004-03-02 03:14:00",0.144,2.85,0.05053,0.216,0.162,0.18,0.144,0.099,67.36,0.09701,79.88,0.115,0.234,0.234,0.234,0.801,TRUE,0,"2004-03-02",3.22000026702881,FALSE,TRUE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-61,"Alfalfa","Alfalfa","No-Till"
"6","USGS-442954087355700","P1","2004-03-05 07:55:00","2004-03-05 16:05:00",1.269,8.167,0.1554,0.972,0.756,0.612,0.594,0.441,853.2,5.068,919.9,5.464,0.009,0.009,0.387,0.9,TRUE,65590,"2004-03-05",1.66000008583069,FALSE,FALSE,20.5,892980,0.881408318215414,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-58,"Alfalfa","Alfalfa","No-Till"
"7","USGS-442954087355700","P1","2004-03-07 07:47:00","2004-03-07 09:50:00",0.216,2.05,0.1054,0.216,0.216,0.18,0.162,0.135,106,0.1718,131.1,0.2124,0,1.269,1.656,1.764,FALSE,0,"2004-03-07",0.870000064373016,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-56,"Alfalfa","Alfalfa","No-Till"
"8","USGS-442954087355700","P1","2004-03-07 13:04:00","2004-03-07 15:01:00",0.018,1.95,0.009231,0.108,0.054,0.036,0.018,0.009,10.41,0.001874,8.744,0.001574,0.216,0.387,1.872,1.98,TRUE,3906,"2004-03-07",0.870000064373016,FALSE,FALSE,20.5,892980,0.052489417456158,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-56,"Alfalfa","Alfalfa","No-Till"
"9","USGS-442954087355700","P1","2004-03-11 03:21:00","2004-03-11 06:20:00",0.081,2.983,0.02715,0.108,0.054,0.072,0.036,0.036,32.81,0.01181,35.42,0.01275,0,0,1.521,1.899,FALSE,0,"2004-03-11",1.89000010490417,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-52,"Alfalfa","Alfalfa","No-Till"
"10","USGS-442954087355700","P1","2004-03-20 00:09:00","2004-03-20 02:06:00",0.108,1.95,0.05538,0.216,0.162,0.144,0.108,0.063,53.35,0.05761,62.72,0.06774,0.018,0.072,0.297,0.63,FALSE,0,"2004-03-20",1.5200001001358,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-43,"Alfalfa","Alfalfa","No-Till"
"11","USGS-442954087355700","P1","2004-03-26 04:50:00","2004-03-26 09:30:00",0.261,4.667,0.05593,0.324,0.216,0.18,0.126,0.117,123.1,0.1551,146.3,0.1843,0,0,0.126,0.405,FALSE,0,"2004-03-26",9.58000087738037,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-37,"Alfalfa","Alfalfa","No-Till"
"12","USGS-442954087355700","P1","2004-03-28 22:06:00","2004-03-29 03:01:00",0.815,4.917,0.1658,0.54,0.486,0.44,0.4,0.31,532,2.128,579.6,2.319,0,0,0.261,0.441,TRUE,55.3,"2004-03-28",5.05000019073486,FALSE,FALSE,20.5,892980,0.00074312974534704,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-35,"Alfalfa","Alfalfa","No-Till"
"13","USGS-442954087355700","P1","2004-03-30 15:47:00","2004-03-30 22:42:00",0.26,6.917,0.03759,0.12,0.12,0.12,0.1,0.07,104.8,0.1048,124.6,0.1246,0,0.815,1.076,1.256,FALSE,0,"2004-03-30",7.3600001335144,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-33,"Alfalfa","Alfalfa","No-Till"
"14","USGS-442954087355700","P1","2004-04-06 08:00:00","2004-04-06 10:57:00",0.18,2.95,0.06102,0.24,0.24,0.2,0.18,0.12,86.92,0.1565,102.8,0.185,0,0,0.26,1.336,FALSE,0,"2004-04-06",1.74000012874603,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-26,"Alfalfa","Alfalfa","No-Till"
"15","USGS-442954087355700","P1","2004-04-08 07:03:00","2004-04-08 09:10:00",0.12,2.117,0.05669,0.36,0.3,0.24,0.14,0.09,66.31,0.09283,73.12,0.1024,0,0.18,0.18,1.516,FALSE,0,"2004-04-08",7.13000011444092,FALSE,FALSE,20.5,892980,0,"Surface","Dairy","Corn-Alfalfa","Yes","Yes","Hortonville silt loam","C","Well drained",4,31,2004,0.95,"2004-05-02",-24,"Alfalfa","Alfalfa","No-Till"
