"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in"
"1","AO1","Frozen","Storm","2019-1","12/27/2018 16:51","12/28/2018 18:15",3000,0.0506,0.35,19.17,0.01826,0.24,0.12,0.1,0.08,0,0,0,0,22.2,967032,0.0372273099545827
"2","AO1","Frozen","Storm","2019-2","1/7/2019 14:27","1/8/2019 16:45",1030,0.0244,0.26,7.683,0.03384,0.24,0.12,0.12,0.1,0,0,0,0.35,22.2,967032,0.0127813764177401
"3","AO1","Frozen","Storm","2019-3","3/13/2019 0:30","3/28/2019 22:00",785700,3.145,1.23,51.87,0.02371,0.6,0.42,0.24,0.2,0,0,0,0,22.2,967032,9.7498324771052
"4","AO1","Frozen","Storm","2019-4","4/17/2019 20:54","4/18/2019 4:45",58920,4.81,1.44,8.883,0.1621,0.84,0.72,0.54,0.43,0,0,0,0.57,22.2,967032,0.731144367508004
"5","AO1","Non-Frozen","Storm","2019-5","6/15/2019 2:54","6/15/2019 4:00",946.4,0.7981,0.91,1.417,0.6424,2.52,2.28,1.5,0.9,0.97,0.97,2.15,2.2,22.2,967032,0.011743975380339
"6","AO1","Non-Frozen","Storm","2019-6","7/15/2019 21:50","7/15/2019 22:15",38.3,0.0631,0.68,2.2,0.3091,3,2.4,0.82,0.41,0.82,0.82,0.92,1.74,22.2,967032,0.000475268657086839
"7","AO1","Non-Frozen","Storm","2019-7","7/20/2019 1:34","7/20/2019 2:30",149.4,0.0938,1.03,0.8833,1.166,3.6,2.4,1.6,1.03,0.01,0.25,2.03,2.48,22.2,967032,0.00185392003573822
"8","AO1","Non-Frozen","Storm","2019-8","8/5/2019 22:50","8/5/2019 23:07",15.1,0.0303,0.46,0.75,0.6133,2.16,1.62,0.8,0.46,0.58,0.58,0.6,1.02,22.2,967032,0.000187377460104733
"9","AO1","Non-Frozen","Storm","2019-9","9/3/2019 11:16","9/3/2019 11:53",121.1,0.1119,0.81,1.983,0.4084,3.6,2.94,1.52,0.77,0.65,0.65,0.94,1.16,22.2,967032,0.00150274241183332
"10","AO1","Non-Frozen","Storm","2019-10","9/13/2019 2:56","9/13/2019 3:37",37.5,0.0267,0.63,4.617,0.1365,0.96,0.72,0.48,0.37,0.12,1.09,2.15,3.83,22.2,967032,0.000465341374432283
"11","AO1","Non-Frozen","Storm","2019-11","9/15/2019 4:25","9/15/2019 5:00",112.8,0.111,0.77,3.583,0.2149,1.92,1.62,1.02,0.56,0,0.7,2.93,4.62,22.2,967032,0.00139974685429231
