USGS_Station_Number,Field_Name,project,discrete,estimated,frozen,storm,unique_storm_number,n_sub_flow_events,storm_start,storm_end,runoff_volume,peak_discharge,estimated_flow_fraction,suspended_sediment_load_pounds,chloride_load_pounds,nitrate_plus_nitrite_load_pounds,ammonia_plus_ammonium_load_pounds,total_Kjeldahl_nitrogen_unfiltered_load_pounds,orthophosphate_load_pounds,total_phosphorus_unfiltered_load_pounds,total_nitrogen_load_pounds,organic_nitrogen_load_pounds,dissolved_organic_carbon_load_pounds,total_organic_carbon_load_pounds,total_Kjeldahl_nitrogen_filtered_load_pounds,total_phosphorus_filtered_load_pounds,total_dissolved_solids_load_pounds,total_solids_load_pounds,total_suspended_solids_load_pounds,total_volatile_suspended_solids_load_pounds,suspended_sediment_conc_mgL,chloride_conc_mgL,nitrate_plus_nitrite_conc_mgL,ammonia_plus_ammonium_conc_mgL,total_Kjeldahl_nitrogen_unfiltered_conc_mgL,orthophosphate_conc_mgL,total_phosphorus_unfiltered_conc_mgL,total_nitrogen_conc_mgL,organic_nitrogen_conc_mgL,dissolved_organic_carbon_conc_mgL,total_organic_carbon_conc_mgL,total_Kjeldahl_nitrogen_filtered_conc_mgL,total_phosphorus_filtered_conc_mgL,total_dissolved_solids_conc_mgL,total_solids_conc_mgL,total_suspended_solids_conc_mgL,total_volatile_suspended_solids_conc_mgL,remark_suspended_sediment,remark_chloride,remark_nitrate_plus_nitrite,remark_ammonia_plus_ammonium,remark_total_Kjeldahl_nitrogen_unfiltered,remark_orthophosphate,remark_total_phosphorus_unfiltered,remark_total_nitrogen,remark_organic_nitrogen,remark_dissolved_organic_carbon,remark_total_organic_carbon,remark_total_Kjeldahl_nitrogen_filtered,remark_total_phosphorus_filtered,remark_total_dissolved_solids,remark_total_solids,remark_total_suspended_solids,remark_total_volatile_suspended_solids,suspended_sediment_yield_pounds_per_acre,chloride_yield_pounds_per_acre,nitrate_plus_nitrite_yield_pounds_per_acre,ammonia_plus_ammonium_yield_pounds_per_acre,total_Kjeldahl_nitrogen_unfiltered_yield_pounds_per_acre,orthophosphate_yield_pounds_per_acre,total_phosphorus_unfiltered_yield_pounds_per_acre,total_nitrogen_yield_pounds_per_acre,organic_nitrogen_yield_pounds_per_acre,dissolved_organic_carbon_yield_pounds_per_acre,total_organic_carbon_yield_pounds_per_acre,total_Kjeldahl_nitrogen_filtered_yield_pounds_per_acre,total_phosphorus_filtered_yield_pounds_per_acre,total_dissolved_solids_yield_pounds_per_acre,total_solids_yield_pounds_per_acre,total_suspended_solids_yield_pounds_per_acre,total_volatile_suspended_solids_yield_pounds_per_acre,rain,duration,Ievent,I5,I10,I15,I30,I60,energy_m1,erosivity_m1,energy_m2,erosivity_m2,ARFdays1,ARFdays2,ARFdays7,ARFdays14,remark_rain
USGS-451021089064901,AO1,DiscoveryFarms,0,1,1,1,2019-1,1,12/27/2018 16:51,12/28/2018 18:15,3000,0.0506,1,0.375,0.0468,0.0936,0.114,0.208,0.0691,0.0751,0.301,0.0936,NA,NA,NA,NA,NA,NA,NA,NA,4,0.5,0.5,0.61,1.11,0.369,0.401,1.61,0.5,NA,NA,NA,NA,NA,NA,NA,NA,<,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0169,0.00211,0.00422,0.00515,0.00936,0.00311,0.00338,0.0136,0.00422,NA,NA,NA,NA,NA,NA,NA,NA,0.35,19.17,0.01826,0.24,0.12,0.12,0.1,0.08,130.3,0.1303,144,0.144,0,0,0,0,frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,1,1,1,2019-2,1,1/7/2019 14:27,1/8/2019 16:45,1030,0.0244,1,0.321,0.0161,0.0321,0.0431,0.0636,0.0147,0.0172,0.0958,0.0206,NA,NA,NA,NA,NA,NA,NA,NA,5,0.5,0.5,0.67,0.99,0.228,0.268,1.49,0.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0145,0.000724,0.00145,0.00194,0.00287,0.00066,0.000776,0.00431,0.000926,NA,NA,NA,NA,NA,NA,NA,NA,0.26,7.683,0.03384,0.24,0.12,0.16,0.12,0.1,135.5,0.1626,148.6,0.1783,0,0,0,0.35,frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,1,1,1,2019-3,4,3/13/2019 0:30,3/28/2019 22:00,785700,3.145,0.087,191,12.3,23,30.6,54.3,16.4,18.2,77.3,23.7,NA,NA,NA,NA,NA,NA,NA,NA,4.8,0.5,0.47,0.624,1.11,0.334,0.371,1.58,0.48,NA,NA,NA,NA,NA,NA,NA,NA,<,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59,0.552,1.04,1.38,2.44,0.738,0.819,3.48,1.07,NA,NA,NA,NA,NA,NA,NA,NA,1.23,51.87,0.02371,0.6,0.42,0.36,0.24,0.2,645.1,1.548,729.3,1.75,0,0,0,0,runoff_index frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,0,1,1,2019-4,2,4/17/2019 20:54,4/18/2019 4:45,58920,4.81,0,1200,1.86,8.95,1.24,10.4,1.11,5.99,19.3,9.12,NA,NA,NA,NA,NA,NA,NA,NA,326,0.6,2.43,0.337,2.82,0.301,1.63,5.25,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,0.0838,0.403,0.0559,0.467,0.0499,0.27,0.87,0.411,NA,NA,NA,NA,NA,NA,NA,NA,1.44,8.883,0.1621,0.84,0.72,0.64,0.54,0.43,982.1,5.303,1050,5.669,0,0,0,0.57,frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2019-5,1,6/15/2019 2:54,6/15/2019 4:00,946.4,0.7981,1,79.5,0.0414,0.065,0.151,0.933,0.105,0.479,0.998,0.783,NA,NA,NA,NA,NA,NA,NA,NA,1340,0.7,1.1,2.55,15.8,1.78,8.1,16.9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58,0.00186,0.00293,0.00679,0.042,0.00474,0.0216,0.045,0.0353,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1.417,0.6424,2.52,2.28,2.08,1.5,0.9,918.1,13.77,869.4,13.04,0.97,0.97,2.15,2.2,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2019-6,1,7/15/2019 21:50,7/15/2019 22:15,38.3,0.0631,1,3.21,0.00167,0.00263,0.00609,0.0377,0.00425,0.0194,0.0404,0.0317,NA,NA,NA,NA,NA,NA,NA,NA,1340,0.7,1.1,2.55,15.8,1.78,8.1,16.9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.145,0.0000753,0.000118,0.000274,0.0017,0.000192,0.000872,0.00182,0.00143,NA,NA,NA,NA,NA,NA,NA,NA,0.68,2.2,0.3091,3,2.4,1.64,0.82,0.41,686.6,5.63,656.4,5.382,0.82,0.82,0.92,1.74,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2019-7,1,7/20/2019 1:34,7/20/2019 2:30,149.4,0.0938,1,12.5,0.00653,0.0103,0.0238,0.147,0.0166,0.0755,0.158,0.124,NA,NA,NA,NA,NA,NA,NA,NA,1340,0.7,1.1,2.55,15.8,1.78,8.1,16.9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.565,0.000294,0.000462,0.00107,0.00664,0.000748,0.0034,0.0071,0.00557,NA,NA,NA,NA,NA,NA,NA,NA,1.03,0.8833,1.166,3.6,2.4,2.24,1.6,1.03,1051,16.82,998.4,15.98,0.01,0.25,2.03,2.48,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2019-8,1,8/5/2019 22:50,8/5/2019 23:07,15.1,0.0303,1,1.27,0.000659,0.00104,0.0024,0.0149,0.00168,0.00763,0.0159,0.0125,NA,NA,NA,NA,NA,NA,NA,NA,1340,0.7,1.1,2.55,15.8,1.78,8.1,16.9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.057,0.0000297,0.0000466,0.000108,0.00067,0.0000755,0.000344,0.000717,0.000562,NA,NA,NA,NA,NA,NA,NA,NA,0.46,0.75,0.6133,2.16,1.62,1.16,0.8,0.46,426.5,3.412,415.8,3.327,0.58,0.58,0.6,1.02,NA
USGS-451021089064901,AO1,DiscoveryFarms,1,0,0,1,2019-9,1,9/3/2019 11:16,9/3/2019 11:53,121.1,0.1119,0,10.2,0.00529,0.00831,0.0193,0.119,0.0135,0.0612,0.128,0.1,NA,NA,NA,NA,NA,NA,NA,NA,1340,0.7,1.1,2.55,15.8,1.78,8.1,16.9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.458,0.000238,0.000375,0.000868,0.00538,0.000606,0.00276,0.00575,0.00451,NA,NA,NA,NA,NA,NA,NA,NA,0.81,1.983,0.4084,3.6,2.94,2.48,1.52,0.77,803.8,12.22,780.7,11.87,0.65,0.65,0.94,1.16,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2019-10,1,9/13/2019 2:56,9/13/2019 3:37,37.5,0.0267,1,3.14,0.00164,0.00257,0.00596,0.0369,0.00416,0.0189,0.0395,0.031,NA,NA,NA,NA,NA,NA,NA,NA,1340,0.7,1.1,2.55,15.8,1.78,8.1,16.9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142,0.0000737,0.000116,0.000269,0.00166,0.000187,0.000853,0.00178,0.0014,NA,NA,NA,NA,NA,NA,NA,NA,0.63,4.617,0.1365,0.96,0.72,0.6,0.48,0.37,458.7,2.202,477.9,2.294,0.12,1.09,2.15,3.83,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2019-11,1,9/15/2019 4:25,9/15/2019 5:00,112.8,0.111,1,9.47,0.00493,0.00774,0.018,0.111,0.0125,0.057,0.119,0.0933,NA,NA,NA,NA,NA,NA,NA,NA,1340,0.7,1.1,2.55,15.8,1.78,8.1,16.9,13.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.427,0.000222,0.000349,0.000809,0.00501,0.000565,0.00257,0.00536,0.0042,NA,NA,NA,NA,NA,NA,NA,NA,0.77,3.583,0.2149,1.92,1.62,1.48,1.02,0.56,717.2,7.315,685.3,6.99,0,0.7,2.93,4.62,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,0,1,1,2020-1,3,3/26/2020 19:15,3/30/2020 4:30,308900,3.709,0,556,4.82,2.83,3.11,8.23,6.21,7.57,11.1,5.12,NA,NA,NA,NA,NA,NA,NA,NA,28.8,0.5,0.15,0.161,0.43,0.322,0.393,0.57,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.217,0.127,0.14,0.371,0.28,0.341,0.498,0.231,NA,NA,NA,NA,NA,NA,NA,NA,0.83,38.82,0.02138,0.84,0.48,0.36,0.22,0.15,412.4,0.9073,462.2,1.017,0,0,0.59,1.57,runoff_index frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,0,1,1,2020-2,1,3/30/2020 16:15,3/31/2020 23:00,108800,6.622,0,1820,1.7,1.36,1.49,7.33,2.51,5.78,8.69,5.84,NA,NA,NA,NA,NA,NA,NA,NA,268,0.5,0.2,0.22,1.08,0.369,0.852,1.28,0.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,0.0765,0.0612,0.0673,0.33,0.113,0.261,0.391,0.263,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0.48,1.42,2.4,zero frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,0,0,1,2020-3,1,5/26/2020 20:30,5/26/2020 21:45,3021,1.685,0,789,0.0471,0.207,0.145,3.77,0.167,2.7,3.98,3.63,NA,NA,NA,NA,NA,NA,NA,NA,4180,0.5,1.1,0.77,20,0.884,14.3,21.1,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5,0.00212,0.00934,0.00654,0.17,0.00751,0.121,0.179,0.163,NA,NA,NA,NA,NA,NA,NA,NA,1.13,2.233,0.506,4.32,3.18,2.2,1.1,0.57,1142,12.56,1101,12.11,0,0.03,0.1,0.99,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2020-4,1,6/10/2020 5:30,6/10/2020 8:15,3715,0.679,1,503,0.058,0.151,0.103,2.44,0.129,1.75,2.59,2.34,NA,NA,NA,NA,NA,NA,NA,NA,2170,0.5,0.65,0.445,10.5,0.555,7.53,11.2,10.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,0.00261,0.00679,0.00465,0.11,0.00579,0.0787,0.117,0.105,NA,NA,NA,NA,NA,NA,NA,NA,1.85,7.117,0.26,0.72,0.66,0.6,0.54,0.45,1350,7.292,1411,7.622,0,0,0.26,1.38,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,0,0,1,2020-5,1,6/20/2020 10:51,6/20/2020 22:00,20930,2.662,0,204,0.327,0.261,0.157,1.36,0.294,0.991,1.62,1.2,NA,NA,NA,NA,NA,NA,NA,NA,156,0.5,0.2,0.12,1.04,0.225,0.758,1.24,0.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.18,0.0147,0.0118,0.00706,0.0612,0.0132,0.0446,0.073,0.0542,NA,NA,NA,NA,NA,NA,NA,NA,2.77,13.42,0.2065,1.32,1.14,1.08,0.84,0.76,2095,17.6,2144,18.01,0.48,0.48,0.48,2.4,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2020-6,1,7/14/2020 17:30,7/14/2020 18:15,327.4,0.3399,1,0.102,0.00511,0.00204,0.00164,0.0151,0.00959,0.0109,0.0172,0.0135,NA,NA,NA,NA,NA,NA,NA,NA,5,0.5,0.1,0.08,0.74,0.469,0.533,0.84,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0046,0.00023,0.0000921,0.0000737,0.000681,0.000432,0.000491,0.000773,0.000608,NA,NA,NA,NA,NA,NA,NA,NA,1.53,7.417,0.2063,3.84,3.6,3.04,1.76,0.95,1410,24.82,1405,24.72,0,0,1.08,2.28,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2020-7,1,7/18/2020 10:49,7/18/2020 11:45,741.3,0.5574,1,0.231,0.0116,0.00463,0.0037,0.0342,0.0217,0.0247,0.0389,0.0305,NA,NA,NA,NA,NA,NA,NA,NA,5,0.5,0.1,0.08,0.74,0.469,0.533,0.84,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0104,0.000521,0.000208,0.000167,0.00154,0.000978,0.00111,0.00175,0.00138,NA,NA,NA,NA,NA,NA,NA,NA,1.09,0.5667,1.924,6.24,4.86,3.76,2.14,1.09,1154,24.7,1122,24.02,0,0,1.74,3.84,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,1,0,1,2020-8,1,7/26/2020 11:28,7/26/2020 22:45,135700,9.82,1,42.4,2.12,0.847,0.678,6.27,3.97,4.52,7.12,5.59,NA,NA,NA,NA,NA,NA,NA,NA,5,0.5,0.1,0.08,0.74,0.469,0.533,0.84,0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.91,0.0954,0.0382,0.0305,0.282,0.179,0.203,0.321,0.252,NA,NA,NA,NA,NA,NA,NA,NA,4.58,6.633,0.6905,4.8,4.62,3.88,3.06,1.84,4696,143.7,4515,138.2,0.07,0.07,0.46,3.77,NA
USGS-451021089064901,AO1,DiscoveryFarms,0,0,1,1,2021-1,2,3/9/2021,3/11/2021 11:00,261400,4.504,0,97.4,25.1,15,41.6,81.8,34,36.5,96.8,40.2,NA,NA,NA,NA,NA,NA,NA,NA,7.2,1.5,0.92,2.55,5.01,2.09,2.23,5.93,2.46,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,1.13,0.676,1.88,3.69,1.53,1.64,4.36,1.81,NA,NA,NA,NA,NA,NA,NA,NA,0.86,15.97,0.05386,0.6,0.48,0.48,0.36,0.26,506.3,1.823,564.8,2.033,0,0,0,0.04,runoff_index frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,0,1,1,2022-1,1,12/16/2021 4:30,12/16/2021 8:15,5300,0.91,0,9.93,0.0827,0.0165,0.0232,0.519,0.168,0.256,0.536,0.496,NA,NA,NA,NA,NA,NA,NA,NA,30,0.5,0.1,0.07,1.57,0.509,0.775,1.62,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.447,0.00373,0.000745,0.00104,0.0234,0.00759,0.0116,0.0241,0.0224,NA,NA,NA,NA,NA,NA,NA,NA,0.54,2.133,0.2531,2.4,1.32,1.04,0.58,0.51,506.8,2.939,496,2.877,0.06,0.06,0.06,0.06,frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,1,1,1,2022-2,1,3/6/2022 5:01,3/6/2022 21:44,1524,0.0453,1,1.05,0.0238,0.00951,0.0342,0.225,0.0415,0.0599,0.235,0.191,NA,NA,NA,NA,NA,NA,NA,NA,11,0.5,0.1,0.36,2.37,0.436,0.63,2.47,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0471,0.00107,0.000428,0.00154,0.0102,0.00187,0.0027,0.0106,0.00861,NA,NA,NA,NA,NA,NA,NA,NA,0.89,19.9,0.04472,0.96,0.66,0.52,0.36,0.32,503.4,1.812,546.6,1.968,0,0,0,0,frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,0,1,1,2022-3,1,3/16/2022 20:45,3/20/2022 21:15,272700,1.995,0,187,4.26,1.7,6.13,40.3,7.42,10.7,42,34.2,NA,NA,NA,NA,NA,NA,NA,NA,11,0.5,0.1,0.36,2.37,0.436,0.63,2.47,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.43,0.192,0.0767,0.276,1.82,0.334,0.483,1.89,1.54,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0.89,zero frozen
USGS-451021089064901,AO1,DiscoveryFarms,0,1,1,1,2022-4,1,3/23/2022 6:45,3/23/2022 13:30,6481,0.6326,1,4.45,0.101,0.0405,0.146,0.959,0.176,0.255,0.999,0.813,NA,NA,NA,NA,NA,NA,NA,NA,11,0.5,0.1,0.36,2.37,0.436,0.63,2.47,2.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,<,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.00456,0.00182,0.00656,0.0432,0.00795,0.0115,0.045,0.0366,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,0.37,0.37,0.37,zero frozen
