"Site ID","Field ID","Percentage of basin","Field year","Previous Water Year Crop","Residue left in fall from previous crop?","Residue left in spring from previous crop?","Crop grown this water year","Notes"
"AO1","AO1","100","2019","Alfalfa","No","No","Potato","Fall alfalfa termination with tillage"
"AO1","AO1","100","2020","Potato","No","No","Alfalfa/grass - new seeding",
"AO1","AO1","100","2021","Alfalfa/grass - new seeding","Yes","Yes","alfalfa/grass",
"AO1","AO1","100","2022","alfalfa/grass","Yes","Yes","alfalfa/grass",
"AO1","AO1","100","2023","alfalfa/grass","No","No","Potato","Fall alfalfa termination with tillage"
"AO3","AO3","100","2020","Oats under Red Clover","Yes","Yes","Red clover",
"AO3","AO3","100","2021","Red clover","No","No","Potato","Fall termination with tillage"
"AO3","AO3","100","2022","Potato","No","No","Green bean",
"AO3","AO3","100","2023","Green bean","No","No","Oats under Red Clover",
"AR1","AR1","100","2017","Corn","Yes","Yes","Alfalfa - new seeding","Corn residue unknown, assumed no removal based on tillage data"
"AR1","AR1","100","2018","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"AR1","AR1","100","2019","Alfalfa","Yes","Yes","Alfalfa",
"AR1","AR1","100","2020","Alfalfa","Yes","Yes","Alfalfa",
"AR1","AR1","100","2021","Alfalfa","Yes","Yes","Corn","Spring alfalfa termination"
"AR2","AR2","100","2017","Pea/GreenBean","No","No","Seed corn",
"AR2","AR2","100","2018","Seed Corn","Yes","Yes","Corn",
"AR2","AR2","100","2019","Corn","Yes","Yes","Corn",
"AR2","AR2","100","2020","Corn","Yes","Yes","Corn",
"AR2","AR2","100","2021","Corn","Yes","Yes","Corn",
"H3","23A","16","2005","Alfalfa","Yes","Yes","Corn","From site camera photos, looks like they usually spring terminate alfalfa with tillage"
"H3","25A","16","2005","Alfalfa","Yes","Yes","Corn",
"H3","26A","16","2005","Alfalfa","Yes","Yes","Alfalfa",
"H3","27A","4","2005","Alfalfa","No","No","Corn","Fall termination"
"H3","21A","16","2005","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"H3","22A","16","2005","Corn","Yes","Yes","Alfalfa - new seeding",
"H3","24A","16","2005","Corn","Yes","Yes","Corn Silage",
"H3","21A","16","2006","Alfalfa","Yes","Yes","Alfalfa",
"H3","26A","16","2006","Alfalfa","Yes","Yes","Corn",
"H3","22A","16","2006","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"H3","23A","16","2006","Corn","Yes","Yes","Alfalfa - new seeding",
"H3","24A","16","2006","Corn Silage","No","No","Alfalfa - new seeding",
"H3","25A","16","2006","Corn","Yes","Yes","Alfalfa - new seeding",
"H3","27A","4","2006","Corn","Yes","Yes","Corn",
"H3","21A","16","2007","Alfalfa","Yes","Yes","Alfalfa",
"H3","22A","16","2007","Alfalfa","Yes","Yes","Alfalfa",
"H3","23A","16","2007","Alfalfa - new seeding","Yes","Yes","Corn",
"H3","24A","16","2007","Alfalfa - new seeding","Yes","Yes","Corn",
"H3","25A","16","2007","Alfalfa - new seeding","Yes","Yes","Corn",
"H3","26A","16","2007","Corn","No","No","Alfalfa - new seeding",
"H3","27A","4","2007","Corn","Yes","Yes","Alfalfa - new seeding",
"JF2","North Hay","25","2011","Pasture","Yes","Yes","Pasture",
"JF2","Pasture","40","2011","Pasture","Yes","Yes","Pasture",
"JF2","South Hay","35","2011","Pasture","Yes","Yes","Pasture",
"JF2","North Hay","25","2012","Pasture","Yes","Yes","Pasture",
"JF2","Pasture","40","2012","Pasture","Yes","Yes","Pasture",
"JF2","South Hay","35","2012","Pasture","Yes","Yes","Pasture",
"JF2","North Hay","25","2013","Pasture","Yes","Yes","Pasture",
"JF2","Pasture","40","2013","Pasture","Yes","Yes","Pasture",
"JF2","South Hay","35","2013","Pasture","Yes","Yes","Pasture",
"JF2","North Hay","25","2014","Pasture","Yes","Yes","Pasture",
"JF2","Pasture","40","2014","Pasture","Yes","Yes","Pasture",
"JF2","South Hay","35","2014","Pasture","Yes","Yes","Pasture",
"JF2","North Hay","25","2015","Pasture","Yes","Yes","Pasture",
"JF2","Pasture","40","2015","Pasture","Yes","Yes","Pasture",
"JF2","South Hay","35","2015","Pasture","Yes","Yes","Pasture",
"JF2","North Hay","25","2016","Pasture","Yes","Yes","Pasture",
"JF2","Pasture","40","2016","Pasture","Yes","Yes","Pasture",
"JF2","South Hay","35","2016","Pasture","Yes","Yes","Pasture",
"JF2","North Hay","25","2017","Pasture","Yes","Yes","Pasture",
"JF2","Pasture","40","2017","Pasture","Yes","Yes","Pasture",
"JF2","South Hay","35","2017","Pasture","Yes","Yes","Pasture",
"JF4","35","10","2011","Alfalfa","Yes","Yes","Alfalfa",
"JF4","37","25","2011","Alfalfa","Yes","Yes","Alfalfa",
"JF4","38","20","2011","Alfalfa","Yes","Yes","Alfalfa",
"JF4","39","20","2011","Alfalfa","Yes","Yes","Alfalfa",
"JF4","36","20","2011","Corn","No","No","Corn",
"JF4","35","10","2012","Alfalfa","Yes","Yes","Corn","spring termination"
"JF4","37","25","2012","Alfalfa","Yes","Yes","Alfalfa",
"JF4","38","20","2012","Alfalfa","Yes","Yes","Corn","spring termination"
"JF4","39","20","2012","Alfalfa","Yes","Yes","Corn","spring termination"
"JF4","36","20","2012","Corn","No","No","Alfalfa - new seeding",
"JF4","37","25","2013","Alfalfa","Yes","Yes","Corn","spring termination"
"JF4","36","20","2013","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"JF4","35","10","2013","Corn","Yes","Yes","Alfalfa - new seeding","fall tillage, terminate alfalfa?"
"JF4","38","20","2013","Corn","No","No","Alfalfa - new seeding",
"JF4","39","20","2013","Corn","No","No","Corn",
"JF4","38","20","2014","Alfalfa - new seeding","Yes","Yes","Corn","spring termination"
"JF4","36","20","2014","Alfalfa","Yes","Yes","Alfalfa",
"JF4","35","10","2014","Alfalfa - new seeding","No","No","Corn",
"JF4","37","25","2014","Corn","Yes","Yes","Alfalfa - new seeding",
"JF4","39","20","2014","Corn","Yes","Yes","Alfalfa - new seeding",
"JF4","36","20","2015","Alfalfa","Yes","Yes","Alfalfa",
"JF4","37","25","2015","Alfalfa - new seeding","Yes","Yes","Alfalfa",
"JF4","39","20","2015","Alfalfa - new seeding","Yes","Yes","Alfalfa",
