SiteID,FieldID,Percentage_of_basin,Water_Year,total_passes,fall_passes_OctDec,spring_passes_JanMay,summer_passes_JunSept
AO1,AO1,100,2019,3,1,2,0
AO1,AO1,100,2020,1,0,1,0
AO1,AO1,100,2021,0,0,0,0
AO1,AO1,100,2022,0,0,0,0
AO1,AO1,100,2023,4,2,2,0
AO3,AO3,100,2020,0,0,0,0
AO3,AO3,100,2021,3,1,2,0
AO3,AO3,100,2022,5,2,0,3
AO3,AO3,100,2023,2,0,1,1
AR1,AR1,100,2017,3,1,2,0
AR1,AR1,100,2018,0,0,0,0
AR1,AR1,100,2019,0,0,0,0
AR1,AR1,100,2020,0,0,0,0
AR1,AR1,100,2021,2,0,2,0
AR2,AR2,100,2017,2,1,1,0
AR2,AR2,100,2018,2,1,1,0
AR2,AR2,100,2019,2,1,1,0
AR2,AR2,100,2020,3,0,3,0
AR2,AR2,100,2021,3,0,3,0
H3,23A,16,2005,4,0,3,1
H3,25A,16,2005,4,0,3,1
H3,26A,16,2005,0,0,0,0
H3,27A,4,2005,4,1,2,1
H3,21A,16,2005,0,0,0,0
H3,22A,16,2005,2,0,2,0
H3,24A,16,2005,4,0,3,1
H3,21A,16,2006,0,0,0,0
H3,26A,16,2006,4,0,3,1
H3,22A,16,2006,0,0,0,0
H3,23A,16,2006,2,0,2,0
H3,24A,16,2006,2,0,2,0
H3,25A,16,2006,2,0,2,0
H3,27A,4,2006,4,1,2,1
H3,21A,16,2007,0,0,0,0
H3,22A,16,2007,0,0,0,0
H3,23A,16,2007,3,0,2,1
H3,24A,16,2007,3,0,2,1
H3,25A,16,2007,3,0,2,1
H3,26A,16,2007,2,0,2,0
H3,27A,4,2007,2,1,1,0
JF2,North Hay,25,2011,0,0,0,0
JF2,Pasture,40,2011,0,0,0,0
JF2,South Hay,35,2011,0,0,0,0
JF2,North Hay,25,2012,0,0,0,0
JF2,Pasture,40,2012,0,0,0,0
JF2,South Hay,35,2012,0,0,0,0
JF2,North Hay,25,2013,0,0,0,0
JF2,Pasture,40,2013,0,0,0,0
JF2,South Hay,35,2013,0,0,0,0
JF2,North Hay,25,2014,0,0,0,0
JF2,Pasture,40,2014,0,0,0,0
JF2,South Hay,35,2014,0,0,0,0
JF2,North Hay,25,2015,0,0,0,0
JF2,Pasture,40,2015,0,0,0,0
JF2,South Hay,35,2015,0,0,0,0
JF2,North Hay,25,2016,0,0,0,0
JF2,Pasture,40,2016,0,0,0,0
JF2,South Hay,35,2016,0,0,0,0
JF2,North Hay,25,2017,0,0,0,0
JF2,Pasture,40,2017,0,0,0,0
JF2,South Hay,35,2017,0,0,0,0
JF4,35,10,2011,0,0,0,0
JF4,37,25,2011,0,0,0,0
JF4,38,20,2011,0,0,0,0
JF4,39,20,2011,0,0,0,0
JF4,36,20,2011,1,1,0,0
JF4,35,10,2012,,,,
JF4,37,25,2012,0,0,0,0
JF4,38,20,2012,,,,
JF4,39,20,2012,,,,
JF4,36,20,2012,1,1,0,0
JF4,37,25,2013,1,1,0,0
JF4,36,20,2013,0,0,0,0
JF4,35,10,2013,1,1,0,0
JF4,38,20,2013,1,1,0,0
JF4,39,20,2013,,,,
JF4,38,20,2014,,,,
JF4,36,20,2014,0,0,0,0
JF4,35,10,2014,,,,
JF4,37,25,2014,,,,
JF4,39,20,2014,,,,
JF4,36,20,2015,0,0,0,0
JF4,37,25,2015,0,0,0,0
JF4,39,20,2015,0,0,0,0
JF4,35,10,2015,,,,
JF4,38,20,2015,,,,
JF4,36,20,2016,0,0,0,0
JF4,37,25,2016,0,0,0,0
JF4,39,20,2016,0,0,0,0
JF4,35,10,2016,,,,
JF4,38,20,2016,,,,
JF4,36,20,2017,,,,
JF4,37,25,2017,,,,
JF4,39,20,2017,,,,
JF4,35,10,2017,,,,
JF4,38,20,2017,,,,
JF5,K12,25,2011,0,0,0,0
JF5,K8,25,2011,0,0,0,0
JF5,K9,25,2011,1,0,1,0
JF5,K12,25,2012,0,0,0,0
JF5,K8,25,2012,0,0,0,0
JF5,K9,25,2012,1,0,1,0
JF5,K12,25,2013,1,0,1,0
JF5,K8,25,2013,1,0,1,0
JF5,K9,25,2013,0,0,0,0
JF5,K9,25,2014,0,0,0,0
JF5,K12,25,2014,1,0,1,0
JF5,K8,25,2014,1,0,1,0
JF5,K9,25,2015,1,0,1,0
JF5,K12,25,2015,1,0,1,0
JF5,K8,25,2015,1,0,1,0
JF5,K12,25,2016,0,0,0,0
JF5,K9,25,2016,0,0,0,0
JF5,K8,25,2016,1,0,1,0
JF5,K12,25,2017,0,0,0,0
JF5,K9,25,2017,0,0,0,0
JF5,K8,25,2017,1,0,1,0
K5,K5,100,2007,0,0,0,0
K5,K5,100,2008,0,0,0,0
K5r1,K5a,38,2009,2,0,2,0
K5r1,K5b,62,2009,0,0,0,0
K5r2,K5c,55,2010,2,0,2,0
K5r2,K5d,45,2010,0,0,0,0
K5,K5,100,2011,0,0,0,0
K7,K7,100,2007,0,0,0,0
K7r,K7a,80,2008,2,1,1,0
K7r,K7b,20,2008,0,0,0,0
K7,K7,100,2009,0,0,0,0
K7r,K7b,20,2010,2,0,2,0
K7r,K7a,80,2010,0,0,0,0
K7,K7,100,2011,0,0,0,0
K8,K8,100,2008,0,0,0,0
K8,K8,100,2009,0,0,0,0
K8,K8,100,2010,0,0,0,0
K8,K8,100,2011,0,0,0,0
KD1,KD1,100,2019,0,0,0,0
KD1,KD1,100,2020,0,0,0,0
KD1,KD1,100,2021,0,0,0,0
KD1,KD1,100,2022,0,0,0,0
KD1,KD1,100,2023,0,0,0,0
KD2,TA4,90,2019,0,0,0,0
KD2,H4,10,2019,0,0,0,0
KD2,TA4,90,2020,2,1,1,0
KD2,H4,10,2020,0,0,0,0
KD2,H4,10,2021,0,0,0,0
KD2,TA4,90,2021,0,0,0,0
KD2,TA4,90,2022,0,0,0,0
KD2,H4,10,2022,0,0,0,0
KD2,H4,90,2023,0,0,0,0
KD2,TA4,10,2023,0,0,0,0
KP3,KP3,100,2006,0,0,0,0
KP3,KP3,100,2007,0,0,0,0
KP3,KP3,100,2008,0,0,0,0
MT1,MT1,100,2022,0,0,0,0
MT1,MT1,100,2023,1,0,1,0
MT2,MT2,100,2022,0,0,0,0
P1,H11,2,2004,0,0,0,0
P1,H12,93,2004,0,0,0,0
P1,H12,95,2005,2,0,2,0
P1,H12,95,2006,3,0,2,1
P1,H12,95,2007,3,1,2,0
P1,H12,95,2008,3,0,2,1
P2,LH8,94,2004,0,0,0,0
P2,LH8,94,2005,3,1,2,0
P2,LH8,94,2006,3,1,2,0
P3,H7,100,2004,0,0,0,0
P3,H7,100,2005,1,0,1,0
P3,H7,100,2006,3,1,2,0
P3,H7,100,2007,3,1,2,0
P3,H7,100,2008,3,1,2,0
R1,A,66,2004,0,0,0,0
R1,C,34,2004,0,0,0,0
R1,A,66,2005,0,0,0,0
R1,C,34,2005,0,0,0,0
R1,A,66,2006,0,0,0,0
R1,C,34,2006,0,0,0,0
R1,A,66,2007,0,0,0,0
R1,C,34,2007,0,0,0,0
R1,A,66,2008,0,0,0,0
R1,C,34,2008,0,0,0,0
R1,A,66,2009,0,0,0,0
R1,C,34,2009,0,0,0,0
R1,A,66,2010,0,0,0,0
R1,C,34,2010,0,0,0,0
R2,A,78,2004,0,0,0,0
R2,C,22,2004,0,0,0,0
