"Calendar_Year","Total_P_Events","NonFrozen_P_Events","Total_P_Depth_mm","NonFrozen_P_Depth_mm","Total_Q_Events","NonFrozen_Q_Events","Total_Q_Depth_mm","NonFrozen_Q_Depth_mm","NonFrozen_P_Event_Percent","NonFrozen_P_Depth_Percent","NonFrozen_Q_Event_Percent","NonFrozen_Q_Depth_Percent"
2004,735,690,4952.1618,4740.5544,119,74,565.375441188929,278.765723785271,93.8775510204082,95.7269691793996,62.1848739495798,49.3063022332653
2005,626,561,3987.0634,3703.5232,117,16,593.084015557242,10.9430528979992,89.6166134185303,92.8884953271623,13.6752136752137,1.84511007057196
2006,808,761,5389.2958,5150.866,45,24,251.048319042981,143.752066651861,94.1831683168317,95.5758635478869,53.3333333333333,57.2607166619783
2007,781,736,5118.9382,4895.7992,67,31,316.299168590863,42.2874124380473,94.2381562099872,95.6409124064049,46.2686567164179,13.369435217437
2008,780,750,5877.179,5735.2184,152,73,772.15989359346,496.148526687446,96.1538461538462,97.5845452384554,48.0263157894737,64.2546357048514
2009,651,624,4333.7988,4119.8292,78,20,532.795532783424,41.7989473244611,95.852534562212,95.0627703344235,25.6410256410256,7.84521354863761
2010,255,249,1865.2998,1856.3844,42,27,198.797494147214,135.19964933546,97.6470588235294,99.522039298991,64.2857142857143,68.0087291418984
2011,303,294,2052.828,1976.374,28,11,108.757189170066,30.5466971694156,97.029702970297,96.2756743380351,39.2857142857143,28.0870601773728
2012,412,403,3017.52,2992.12,70,35,249.737695037901,116.900392351558,97.8155339805825,99.1582491582492,50,46.8092701559596
2013,512,475,3507.486,3329.432,66,44,716.623566297831,171.580221381608,92.7734375,94.9236005503657,66.6666666666667,23.9428661644514
2014,544,533,4447.032,4309.364,86,65,1009.8664406508,564.486764497517,97.9779411764706,96.9042723326479,75.5813953488372,55.8971703360831
2015,716,690,6176.01,6057.392,87,73,438.299844666211,330.692046987558,96.3687150837989,98.0793748714785,83.9080459770115,75.4488168343745
2016,794,764,6976.364,6890.766,100,73,484.093135105328,377.569730898515,96.2216624685139,98.7730284715648,73,77.9952665134084
2017,504,469,4423.918,4324.096,77,68,261.300399598054,182.016302981542,93.0555555555556,97.7435838548545,88.3116883116883,69.6578739494962
2018,536,498,4595.622,4361.688,77,34,535.678775171027,77.8576902666255,92.910447761194,94.9096335599403,44.1558441558442,14.5343989486549
2019,1120,1053,8986.266,8558.784,181,140,2081.11515410302,622.713382540737,94.0178571428571,95.2429407275502,77.3480662983425,29.9221012019938
2020,839,800,7895.082,7729.728,115,79,906.729648626181,539.36163048699,95.3516090584029,97.9056075668372,68.695652173913,59.4842830279341
2021,600,576,4196.334,4128.77,76,52,435.279672216097,187.565670623678,96,98.3899279704619,68.4210526315789,43.0908408078749
2022,818,766,5795.264,5400.802,135,56,1172.15663054745,147.294845349812,93.6430317848411,93.1933730715287,41.4814814814815,12.5661401822228
