"Month_Number","Month","Mean_P_Events","SD_P_Events","Mean_Precipitation_mm","SD_Precipitation_mm","Mean_Q_Events","SD_Q_Events","Mean_Runoff_mm","SD_Runoff_mm","Years","P_Event_Lower","P_Event_Upper","Precipitation_Lower","Precipitation_Upper","Q_Event_Lower","Q_Event_Upper","Runoff_Lower","Runoff_Upper"
1,"Jan",2.45835317460317,2.60397205574298,12.2531338690476,13.6457840656226,0.745297619047619,1.0401379383855,3.96552656282028,6.94613731608644,20,0,5.06232523034616,0,25.8989179346702,0,1.78543555743312,0,10.9116638789067
2,"Feb",1.83865079365079,1.98139159983365,11.5255901785714,15.7662655788046,1.92640873015873,1.64289525841251,14.7730098032842,21.1080358092672,20,0,3.82004239348445,0,27.2918557573761,0.28351347174622,3.56930398857124,0,35.8810456125514
3,"Mar",7.41410714285714,3.98376077641069,42.1805553571429,26.5331831276082,3.28815476190476,1.92589871163374,34.1047260629203,30.6372338963098,20,3.43034636644645,11.3978679192678,15.6473722295346,68.7137384847511,1.36225605027102,5.21405347353851,3.46749216661053,64.7419599592301
4,"Apr",12.6351785714286,2.93417836222213,81.7894161507937,33.8978044571938,1.54015873015873,1.60898340619502,12.0932844097291,23.279900048718,20,9.70100020920644,15.5693569336507,47.8916116935998,115.687220607987,0,3.14914213635375,0,35.3731844584471
5,"May",14.1415674603175,4.9939797465739,99.3176966071428,49.1314240169325,1.34244047619048,1.73838569209101,6.67279622442153,9.39357182482058,20,9.14758771374356,19.1355472068914,50.1862725902104,148.449120624075,0,3.08082616828148,0,16.0663680492421
6,"Jun",13.1657936507937,3.65410282490972,115.26522015873,58.355090596334,1.65261904761905,1.56115583017531,9.15162523473089,20.400063074769,20,9.51169082588393,16.8198964757034,56.9101295623962,173.620310755064,0.0914632174437389,3.21377487779436,0,29.5516883094999
7,"Jul",10.7721626984127,1.8358352168825,108.685967519841,46.1615093230821,1.06099206349206,1.13409921507085,5.46487658221032,10.3375198228955,20,8.93632748153019,12.6079979152952,62.5244581967592,154.847476842923,0,2.19509127856292,0,15.8023964051058
8,"Aug",10.8251984126984,4.11969194110526,96.7390195634921,48.7047122760576,0.775813492063492,0.668908001753734,2.52116380166677,2.99270056847476,20,6.70550647159315,14.9448903538037,48.0343072874344,145.44373183955,0.106905490309758,1.44472149381723,0,5.51386437014154
9,"Sep",9.86910714285714,3.35330533741626,82.4740923015873,61.7027095079496,0.717579365079365,1.22209819171798,3.78555923450115,9.22880798655357,20,6.51580180544089,13.2224124802734,20.7713827936377,144.176801809537,0,1.93967755679735,0,13.0143672210547
10,"Oct",8.68427318295739,3.50063900205102,59.4839427652464,30.1618410615389,0.475292397660819,0.774144682109837,1.83359934051055,3.71934001867601,19,5.18363418090638,12.1849121850084,29.3221017037076,89.6457838267853,0,1.24943707977066,0,5.55293935918656
11,"Nov",6.19636904761905,2.91743914853773,38.8558591468254,22.6189819454593,0.319940476190476,0.378795102202497,1.43454276060978,3.28053754267189,20,3.27892989908132,9.11380819615678,16.2368772013661,61.4748410922846,0,0.698735578392973,0,4.71508030328167
12,"Dec",4.00386904761905,2.25631280465152,24.2319956150794,21.0605300671107,0.41984126984127,0.559691683402293,2.30910023201522,4.13823514592956,20,1.74755624296753,6.26018185227056,3.17146554796863,45.2925256821901,0,0.979532953243563,0,6.44733537794478
