"Grouping","Group","Events","Median_RC","Mean_RC","Q25_RC","Q75_RC"
"Season","Fall",142,0.0318789253155467,0.24121876530154,0.0057339908997594,0.31646213337209
"Season","Spring",382,0.0772017868701922,0.212070119597164,0.0167574402062791,0.255368971191459
"Season","Summer",607,0.0449884255622244,0.144161256261004,0.00833604060229147,0.174869470842562
"Soil infiltration group","Slow-infiltration",201,0.170392568030049,0.306827197415376,0.02890303933523,0.436370475560188
"Soil infiltration group","Moderate-infiltration",388,0.113851976326704,0.235386542238567,0.0243665293279053,0.293673856254416
"Soil infiltration group","High-infiltration",542,0.0210053978411001,0.0918219332847053,0.0032091289198878,0.0840125090386764
"Site-level tile drainage","No",956,0.0465387890550259,0.177289701883521,0.00908324032358648,0.204298595727551
"Site-level tile drainage","Yes",175,0.114154906319978,0.190175873764105,0.0206413195968639,0.269384717092265
"Fall/spring residue","No",179,0.100083102674336,0.298632329212267,0.0127422539413768,0.357241169543069
"Fall/spring residue","Partial",154,0.0473265686333867,0.122384488722061,0.0107557006101401,0.178824962915872
"Fall/spring residue","Yes",183,0.0547674848896016,0.219321715708681,0.0140538653193288,0.28597365831649
