"Field_Name","Events","Median_RC","Mean_RC","Q25_RC","Q75_RC"
"AO1",15,0.00265538589959266,0.0374415499155547,0.00126927973353393,0.0189121442192696
"AO3",54,0.0386944048165639,0.271333842981316,0.00909603105658116,0.121298970332714
"AR1",55,0.0396860439143737,0.116521712914105,0.00960939839082969,0.1928871581278
"AR2",38,0.0289911507314525,0.0778273590874904,0.00379960421620214,0.132462459725394
"H3",9,0.00670772789878187,0.0111307854773882,0.00564175534003484,0.0120999508756891
"JF2",37,0.00552409942590374,0.0587631082017578,0.00150381839104509,0.0644800275482094
"JF4",64,0.0937976833521686,0.137929898851273,0.0321815968122786,0.219120706133693
"JF5",71,0.0386623447320236,0.100377110252456,0.0081752454625286,0.147890999691855
"K5",29,0.144612995988594,0.248815605691918,0.0380847564596411,0.337691725251534
"K7",17,0.22008923524075,0.291779116286953,0.121559662279359,0.419629700813633
"K8",34,0.135436420119937,0.205632706590641,0.0358671405906224,0.300546924969113
"KD1",96,0.211742860283048,0.470581703033543,0.0566571910918109,0.535019511860162
"KD2",49,0.204121040584852,0.230824453391233,0.0185313615065681,0.356760317288256
"KP3",28,0.0232549433467152,0.175958955343704,0.00698985652178461,0.283845253107548
"MT1",14,0.0556528311247819,0.140400703235302,0.0104227440469202,0.201171901794843
"MT2",12,0.100823931138353,0.284048008090624,0.0108456955448812,0.414137331675367
"P1",33,0.0229792380568434,0.118898699314052,0.00248324765873433,0.126521458571829
"P2",26,0.157074174968046,0.152816671513259,0.0464906565081744,0.223246005331567
"P3",42,0.111648019361518,0.197169978105771,0.0337439128126097,0.33415025659518
"R1",38,0.0472433273112928,0.0947978139310138,0.0106983023773017,0.101696318400962
"R2",28,0.0169122757382152,0.0670020941479935,0.00253004856100517,0.0512483564655642
"R3",45,0.0104816981409335,0.0353235457499667,0.00168070338125318,0.0505173306734829
"RE1",26,0.00114361360524076,0.00284773921417592,0.000579745898606141,0.00238766317928061
"RE5",49,0.00554818502334904,0.0440982037772289,0.00108214615534526,0.0379000880406691
"RS1",18,0.0234131542947604,0.0622901478550549,0.00525945391108212,0.0682603162455326
"RS2",17,0.0534356175939472,0.095604810751281,0.0224568095381493,0.133411467143524
"WF1",86,0.0286193155164629,0.0765570355194469,0.00950186749444714,0.099073315401614
"WF2",101,0.273626382822958,0.388072598480607,0.0420841828775425,0.533135420197436
