"Calendar_Year","Events","Median_RC","Mean_RC","Q25_RC","Q75_RC"
2003,3,0.00453995893154426,0.00554214607787975,0.003116358447272,0.00746684013531976
2004,76,0.0577147667036535,0.125899850785522,0.0117381237359582,0.162314964986371
2005,16,0.00611121985564155,0.0140627607874293,0.000930138836416286,0.0108816272956753
2006,34,0.184072090426605,0.207647005617027,0.0490072378727719,0.352732799363953
2007,31,0.0113679460826233,0.0440779813989719,0.00243186704643602,0.0471992570395245
2008,82,0.103614367801472,0.199006521785942,0.013255492903835,0.337446480708881
2009,22,0.0377353914803627,0.131118480120236,0.0084224866302516,0.0966661088323913
2010,49,0.0732033278781115,0.13575542709624,0.0261581401925365,0.161600759686884
2011,54,0.0717231468677588,0.157539782599456,0.0173376478533787,0.227620055528263
2012,34,0.0595165590289403,0.167365219233696,0.0159675430138236,0.276138475203392
2013,39,0.0576099516892815,0.247452918626395,0.0275022647449749,0.166375139768959
2014,65,0.0897274513695819,0.210948214347682,0.0267046261431923,0.35104949843937
2015,71,0.0261740706569037,0.12532663064537,0.00522544863527264,0.151101346705279
2016,73,0.0234551558040943,0.115819195240101,0.0022293348620201,0.131146095723919
2017,121,0.0530596141881407,0.146113597214021,0.0088624921198304,0.188376148407496
2018,37,0.0318437420124393,0.115266064344514,0.0020162311071402,0.13708797652127
2019,126,0.0545313588749856,0.1758906728626,0.00852716430070324,0.29989914989129
2020,70,0.0689550248839371,0.294289671797753,0.0119211067407251,0.364940404695255
2021,55,0.0675237885746009,0.260139779977061,0.0144755066028934,0.17753398716495
2022,52,0.043025671834477,0.11846364654381,0.0113979846676128,0.169119891425666
2023,21,0.323881416173155,0.885256965561589,0.0147063164108619,0.890297566739404
