"Characteristic","Category","Sites","Percent_of_Sites"
"Updated land cover","Cultivated Crops",23,82.1428571428571
"Updated land cover","Pasture/Hay",5,17.8571428571429
"Crop rotation","Corn",2,7.14285714285714
"Crop rotation","Corn-Alfalfa",10,35.7142857142857
"Crop rotation","Corn-Barely-Alfalfa/Brome (Organic)",1,3.57142857142857
"Crop rotation","Corn-Seed Corn-Vegetables-Mint",1,3.57142857142857
"Crop rotation","Corn-Soybean",6,21.4285714285714
"Crop rotation","Corn-Soybean-Alfalfa",1,3.57142857142857
"Crop rotation","Grass Pasture",5,17.8571428571429
"Crop rotation","Potato-Alfalfa",1,3.57142857142857
"Crop rotation","Potato-Alfalfa-Green Bean-Corn",1,3.57142857142857
"Dominant soil series","Antigo silt loam",2,7.14285714285714
"Dominant soil series","Brinkman silt loam",1,3.57142857142857
"Dominant soil series","Brookston silt loam",1,3.57142857142857
"Dominant soil series","Dodgevill silt loam",1,3.57142857142857
"Dominant soil series","Freeon silt loam heavy substratum",1,3.57142857142857
"Dominant soil series","Hortonville silt loam",4,14.2857142857143
"Dominant soil series","Kewaunee loam",3,10.7142857142857
"Dominant soil series","Kidder silt loam",1,3.57142857142857
"Dominant soil series","La Farge silt loam",1,3.57142857142857
"Dominant soil series","Loyal silt loam",2,7.14285714285714
"Dominant soil series","NewGlarus silt loam",1,3.57142857142857
"Dominant soil series","Norden silt loam",1,3.57142857142857
"Dominant soil series","Oshtemo sandy loam",1,3.57142857142857
"Dominant soil series","Pepin silt loam",1,3.57142857142857
"Dominant soil series","Santiago silt loam",1,3.57142857142857
"Dominant soil series","Tama silt loam",3,10.7142857142857
"Dominant soil series","Warsaw silt loam",1,3.57142857142857
"Dominant soil series","Waymor silt loam",1,3.57142857142857
"Dominant soil series","Winnebago silt loam",1,3.57142857142857
"Soil infiltration group","High-infiltration",12,42.8571428571429
"Soil infiltration group","Moderate-infiltration",10,35.7142857142857
"Soil infiltration group","Slow-infiltration",6,21.4285714285714
"Soil drainage class","Moderately well drained",4,14.2857142857143
"Soil drainage class","Poorly drained",1,3.57142857142857
"Soil drainage class","Well drained",23,82.1428571428571
"Farm enterprise","Beef",3,10.7142857142857
"Farm enterprise","Beef and Grain",3,10.7142857142857
"Farm enterprise","Beef and cash crop (grain and specialty)",2,7.14285714285714
"Farm enterprise","Dairy",15,53.5714285714286
"Farm enterprise","Dairy and Grain",1,3.57142857142857
"Farm enterprise","Grain",2,7.14285714285714
"Farm enterprise","Potato",1,3.57142857142857
"Farm enterprise","Potato and vegetable",1,3.57142857142857
"Site-level tile drainage","No",22,78.5714285714286
"Site-level tile drainage","Yes",6,21.4285714285714
