"Field_Name","Monitoring_Years","Mean_Annual_P_Events","SD_Annual_P_Events","Mean_Annual_Precipitation_mm","SD_Annual_Precipitation_mm","Mean_Annual_Q_Events","SD_Annual_Q_Events","Mean_Annual_Runoff_mm","SD_Annual_Runoff_mm","Annual_P_Events_Lower","Annual_P_Events_Upper","Annual_Precipitation_Lower","Annual_Precipitation_Upper","Annual_Q_Events_Lower","Annual_Q_Events_Upper","Annual_Runoff_Lower","Annual_Runoff_Upper","ProjectName","StudyPeriod","UseableYears","Ongoing","State","County","LAT_approx","LONG_approx","FarmEnterprise","CropRotation","LandCover","Tillage","Manure","BasinArea_ac","SoilType","DrainageClass","MeanSlope_per","IncludeAverages","Notes","Monitoring","LandCover_Updated","Tile","Tile_Notes","Approximate_Start_Date","Approximate_End_Date","Clay_Fraction","Hydrologic_Group","Mean_Total_Tillage_Passes","Mean_Previous_Perennial_Fraction","Mean_Current_Perennial_Fraction","Mean_Fall_Residue_Fraction","Mean_Spring_Residue_Fraction","Tillage_Years","Crop_Years"
"AO1",4,102.5,13,759.0155,118.492996410477,7,3.46410161513775,156.327290534336,86.6083582501964,89.5,115.5,640.522503589523,877.508496410477,3.53589838486225,10.4641016151378,69.7189322841395,242.935648784532,"Antigo 1","WY2019-WY2023",5,"Yes","WI","Langlade",45.17238889,-89.1136111,"Potato","Potato-Alfalfa","Cultivated Crops","Yes","No",22.2,"Antigo silt loam","Well drained",1.9,"Yes","","Surface","Cultivated Crops","No","",2018-10-01,,0.125,"High-infiltration",1.6,0.8,0.6,0.4,0.4,5,5
"AO3",2,111.5,0.707106781186548,683.895,75.6137565394023,26.5,3.53553390593274,124.839459981307,36.7365941339181,110.792893218813,112.207106781187,608.281243460598,759.508756539402,22.9644660940673,30.0355339059327,88.1028658473885,161.576054115225,"Antigo 3","WY2021-WY2023",3,"Yes","WI","Langlade",45.227,-89.065,"Potato and vegetable","Potato-Alfalfa-Green Bean-Corn","Cultivated Crops","Yes","No",22.4,"Antigo silt loam","Well drained",2.5,"Yes","","Surface","Cultivated Crops","No","",2020-10-06,,0.125,"High-infiltration",2.5,0.5,0.5,0.25,0.25,4,4
"AR1",4,123.75,15.8823801742686,1060.577,46.5300916970226,20,4.08248290463863,141.342158886159,104.453004753403,107.867619825731,139.632380174269,1014.04690830298,1107.10709169702,15.9175170953614,24.0824829046386,36.8891541327564,245.795163639561,"Arndt","WY2017-WY2021",5,"No","WI","Rock",42.627694,-88.990944,"Beef and cash crop (grain and specialty)","Corn-Alfalfa","Cultivated Crops","Yes","Yes",18.5,"Warsaw silt loam","Well drained",1.9,"Yes","","Surface","Cultivated Crops","No","",2016-10-01,2021-10-01,0.235,"High-infiltration",1,0.8,0.8,1,1,5,5
"AR2",4,123.75,15.8823801742686,1060.577,46.5300916970226,17.25,8.0156097709407,80.0955352902062,56.179884464772,107.867619825731,139.632380174269,1014.04690830298,1107.10709169702,9.2343902290593,25.2656097709407,23.9156508254342,136.275419754978,"Arndt","WY2017-WY2021",5,"No","WI","Rock",42.612806,-88.9985,"Beef and cash crop (grain and specialty)","Corn-Seed Corn-Vegetables-Mint","Cultivated Crops","Yes","Yes",5.8,"Oshtemo sandy loam","Well drained",3.4,"Yes","","Surface","Cultivated Crops","No","",2016-10-01,2021-10-01,0.14,"High-infiltration",2.4,0,0,0.8,0.8,5,5
"H3",2,106,19.7989898732233,711.2,137.361997627874,11.5,13.4350288425444,48.4224645186038,64.6827396452106,86.2010101267767,125.798989873223,573.838002372126,848.561997627874,0,24.9350288425444,0,113.105204163814,"Heisner","WY2005-WY2007",3,"No","WI","Iowa",42.888111,-90.127889,"Dairy","Corn-Barely-Alfalfa/Brome (Organic)","Cultivated Crops","Yes","Yes",15.8,"Dodgevill silt loam","Well drained",6,"Yes","","Surface","Cultivated Crops","No","",2004-07-01,2007-10-01,0.3,"Moderate-infiltration",2,0.653333333333333,0.6,0.88,0.88,3,3
"JF2",6,103.833333333333,13.905634349668,834.940333333333,183.505633694082,9.83333333333333,3.7638632635454,29.0778103764922,20.3638830213664,89.9276989836653,117.738967683001,651.434699639251,1018.44596702742,6.06947006978793,13.5971965968787,8.71392735512578,49.4416933978586,"Jersey Valley","WY2011-WY2017",7,"No","WI","Vernon",43.71225,-90.785444,"Beef","Grass Pasture","Pasture/Hay","No","Yes",16,"Pepin silt loam","Well drained",8.6,"Yes","","Surface","Pasture/Hay","No","",2010-10-01,2017-10-01,0.225,"High-infiltration",0,1,1,1,1,7,7
"JF4",6,101.5,16.3554272337961,802.386,199.451177111593,13.6666666666667,4.7187568984497,81.9205561458743,45.9465187727553,85.1445727662039,117.855427233796,602.934822888407,1001.83717711159,8.94790976821696,18.3854235651164,35.974037373119,127.86707491863,"Jersey Valley","WY2011-WY2017",7,"No","WI","Vernon",43.719583,-90.770306,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",14,"NewGlarus silt loam","Well drained",5.2,"Yes","","Surface","Cultivated Crops","No","",2010-10-01,2017-10-01,0.265,"Moderate-infiltration",0.2,0.628571428571429,0.564285714285714,0.692857142857143,0.692857142857143,1,7
"JF5",6,101.5,16.3554272337961,802.386,199.451177111593,15.8333333333333,5.70672118354022,77.1092298598395,39.2429061592608,85.1445727662039,117.855427233796,602.934822888407,1001.83717711159,10.1266121497931,21.5400545168736,37.8663237005787,116.3521360191,"Jersey Valley","WY2011-WY2017",7,"No","WI","Vernon",43.714056,-90.770222,"Dairy","Corn-Alfalfa","Cultivated Crops","Yes","Yes",33.4,"Brinkman silt loam","Moderately well drained",6.3,"Yes","","Surface","Cultivated Crops","No","",2010-10-01,2017-10-01,0.225,"High-infiltration",0.392857142857143,0.464285714285714,0.464285714285714,0.464285714285714,0.464285714285714,7,7
"K5",4,91.5,5.32290647422377,572.2493,94.9886230736432,14,7.52772652709081,86.2263157894737,41.9969053934364,86.1770935257762,96.8229064742238,477.260676926357,667.237923073643,6.47227347290919,21.5277265270908,44.2294103960373,128.22322118291,"Saxon","WY2007-WY2011",5,"No","WI","Manitowoc",43.910667,-87.777583,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes",15.2,"Kewaunee loam","Well drained",3,"Yes","FY2009 tile blow out; assumed zero flow for Oct 1 to Nov 8 2007; no data reported in 2009 because of backwater conditions","Surface","Pasture/Hay","Yes","Radom tile, WY2009 tile blow out",2006-10-01,2011-10-01,0.475,"Slow-infiltration",0.372,1,1,1,1,5,5
"K7",4,91.5,5.32290647422377,572.2493,94.9886230736432,9,5.47722557505166,86.9130010330578,44.9744463635505,86.1770935257762,96.8229064742238,477.260676926357,667.237923073643,3.52277442494834,14.4772255750517,41.9385546695073,131.887447396608,"Saxon","WY2007-WY2011",5,"No","WI","Manitowoc",43.912306,-87.773556,"Dairy","Grass Pasture","Pasture/Hay","Yes","Yes",12,"Kewaunee loam","Well drained",3,"Yes","","Surface","Pasture/Hay","Yes","",2006-10-01,2011-10-01,0.475,"Slow-infiltration",0.4,1,1,1,0.84,5,5
