"Field_Name","Calendar_Year","Monitored_Months","P_Event_Number","Precipitation_mm","Q_Event_Number","Runoff_mm","Complete_Monitoring_Year"
"AO1",2018,3,24,200.406,1,0.9455736728464,FALSE
"AO1",2019,12,114,837.184,10,266.989219467401,TRUE
"AO1",2020,12,84,877.062,8,183.483748790112,TRUE
"AO1",2021,12,104,698.5,2,84.0614995160449,TRUE
"AO1",2022,12,108,623.316,8,90.7746943637853,TRUE
"AO1",2023,9,75,462.788,6,291.202965775693,FALSE
"AO3",2020,3,11,105.918,0,0,FALSE
"AO3",2021,12,112,737.362,29,98.8627651515152,TRUE
"AO3",2022,12,111,630.428,24,150.816154811098,TRUE
"AO3",2023,9,64,437.896,15,175.302014708776,FALSE
"AR1",2016,3,13,121.158,2,0.1949016454471,FALSE
"AR1",2017,12,122,1056.894,18,36.4660486933214,TRUE
"AR1",2018,12,137,1060.45,26,208.425240116149,TRUE
"AR1",2019,12,134,1119.378,19,251.11770233043,TRUE
"AR1",2020,12,102,1005.586,17,69.3596444047353,TRUE
"AR1",2021,10,58,450.596,2,0.0466356935447845,FALSE
"AR2",2016,3,13,121.158,1,0.0217155884867484,FALSE
"AR2",2017,12,122,1056.894,29,89.2002783319085,TRUE
"AR2",2018,12,137,1060.45,14,90.4976641018334,TRUE
"AR2",2019,12,134,1119.378,15,137.748251163674,TRUE
"AR2",2020,12,102,1005.586,11,2.93594756340838,TRUE
"AR2",2021,10,58,450.596,6,1.72457965232259,FALSE
"H3",2004,6,57,368.808,2,1.1407281096349,FALSE
"H3",2005,12,92,614.0704,21,94.1600683474561,TRUE
"H3",2006,12,120,808.3296,2,2.68486068975137,TRUE
"H3",2007,10,87,758.444,4,21.4426592739826,FALSE
"JF2",2010,3,8,34.036,1,0.173269283746556,FALSE
"JF2",2011,12,101,683.768,8,4.75051721763085,TRUE
"JF2",2012,12,78,610.616,9,14.9514511019284,TRUE
"JF2",2013,12,111,865.378,12,50.707592630854,TRUE
"JF2",2014,12,112,836.168,9,55.1710041322314,TRUE
"JF2",2015,12,104,874.268,5,17.7198674242424,TRUE
"JF2",2016,12,117,1139.444,16,31.1664297520661,TRUE
"JF2",2017,10,108,847.852,13,60.9620991735537,FALSE
"JF4",2010,3,8,39.37,1,0.0555281385281385,FALSE
"JF4",2011,12,101,684.53,8,40.7518059818968,TRUE
"JF4",2012,12,71,542.036,10,30.2394447068084,TRUE
"JF4",2013,12,108,813.816,17,148.650975993703,TRUE
"JF4",2014,12,111,790.956,13,110.575966155057,TRUE
"JF4",2015,12,100,840.74,13,59.2947556080283,TRUE
"JF4",2016,12,118,1142.238,21,102.010388429752,TRUE
"JF4",2017,10,111,931.418,15,128.628158992523,FALSE
"JF5",2010,3,8,39.37,4,8.57445357219445,FALSE
"JF5",2011,12,101,684.53,12,63.2548659705382,TRUE
"JF5",2012,12,71,542.036,16,26.5907048712492,TRUE
"JF5",2013,12,108,813.816,15,127.466050048663,TRUE
"JF5",2014,12,111,790.956,13,101.217309348246,TRUE
"JF5",2015,12,100,840.74,12,42.1631368667624,TRUE
"JF5",2016,12,118,1142.238,27,101.963312053579,TRUE
"JF5",2017,10,111,931.418,21,121.556583197242,FALSE
"K5",2006,3,20,173.1772,2,15.651272292301,FALSE
"K5",2007,12,91,461.645,5,50.106259968102,TRUE
"K5",2008,12,92,675.3098,23,146.870012686675,TRUE
