"Season","Model","Metric","Replications","Mean","SD","Median","Q25","Q75"
"Growing season","Agricultural","AUC",50,0.9337078872903,0.00832593657429579,0.933793274473196,0.928136989786429,0.939496867009954
"Growing season","Agricultural","R2c",50,0.722067932665425,0.0283220493904033,0.720638860736759,0.701199685356824,0.741369410657655
"Growing season","Agricultural","R2m",50,0.599610388303344,0.031210683041889,0.595302629451186,0.580848365044225,0.620451647300408
"Growing season","Agricultural","Random_R2",50,0.122457544362081,0.0221791555939017,0.120624442059976,0.104893777569173,0.13867019528786
"Growing season","Full","AUC",50,0.933648241253119,0.00836188808485919,0.933605694428246,0.928025552454656,0.939501084782811
"Growing season","Full","R2c",50,0.720536503218175,0.0291062218132654,0.720109125630908,0.698252978179204,0.740223104003561
"Growing season","Full","R2m",50,0.611348270730717,0.0302597049693932,0.608032190116263,0.593123570409104,0.632970266523936
"Growing season","Full","Random_R2",50,0.109188232487459,0.0221948482440827,0.110089529632427,0.093198024646865,0.126917670531413
"Growing season","Site","AUC",50,0.930947669954681,0.00905431689194878,0.930671633396216,0.925367346706751,0.936133094399618
"Growing season","Site","R2c",50,0.705055987434286,0.031719646330953,0.702969766838113,0.68072808371811,0.725037140090666
"Growing season","Site","R2m",50,0.612903893079454,0.0305118859641011,0.611328106423747,0.595551147880632,0.63472926066008
"Growing season","Site","Random_R2",50,0.092152094354832,0.0185770450138019,0.0909959711582088,0.0780532447489211,0.102414694787018
"Growing season","Storm","AUC",50,0.931032560268708,0.00902853449067817,0.930788489908083,0.925077696667392,0.936228926453173
"Growing season","Storm","R2c",50,0.705355517630374,0.0311735747575525,0.70273508367545,0.683319132124713,0.725464730066754
"Growing season","Storm","R2m",50,0.599958871113783,0.0321938744458565,0.595837625396169,0.579733191944535,0.621433180241274
"Growing season","Storm","Random_R2",50,0.10539664651659,0.0195559170807394,0.105246572118813,0.0906181485095687,0.116173914522323
"Post-growing season","Agricultural","AUC",50,0.917395205000015,0.0121014318588859,0.918539658530682,0.910035613996505,0.926556919407718
"Post-growing season","Agricultural","R2c",50,0.642198638266919,0.0461689880183331,0.639990617504052,0.614289392517534,0.66590554709591
"Post-growing season","Agricultural","R2m",50,0.426869007457313,0.0301168780318293,0.433203661093602,0.4117553056133,0.444273887155958
"Post-growing season","Agricultural","Random_R2",50,0.215329630809605,0.0418362717723467,0.210575122419988,0.185716753085729,0.230273235541614
"Post-growing season","Full","AUC",50,0.915794830102471,0.0125167861030337,0.917255319072806,0.908220920419951,0.925103120072106
"Post-growing season","Full","R2c",50,0.634127377872653,0.044619780751223,0.632269734632161,0.609577895283694,0.655681628417186
"Post-growing season","Full","R2m",50,0.527852079626662,0.0340761392227926,0.527046457915313,0.506759985365147,0.550895136445539
"Post-growing season","Full","Random_R2",50,0.106275298245992,0.0363887445286286,0.103803173438507,0.0806247739039988,0.126842770500744
"Post-growing season","Site","AUC",50,0.904500833749117,0.0115610913135743,0.904453465876721,0.898155476257566,0.913785203576063
"Post-growing season","Site","R2c",50,0.568086898217753,0.0339392034504243,0.567314833199201,0.54775580097757,0.592900889296857
"Post-growing season","Site","R2m",50,0.495902848805515,0.0355232360834808,0.497579073086945,0.470107567593661,0.523491895712622
"Post-growing season","Site","Random_R2",50,0.0721840494122376,0.0242071347465931,0.0708030146614372,0.0535495813543142,0.0863125133399741
"Post-growing season","Storm","AUC",50,0.907406196727924,0.0112382657567087,0.908147169701313,0.900559310799734,0.916467194062587
"Post-growing season","Storm","R2c",50,0.570168486446164,0.0347412835621244,0.572428855162376,0.547555490591006,0.595572251549987
"Post-growing season","Storm","R2m",50,0.380587355650245,0.0309219276815892,0.382462676645843,0.359757203068848,0.404011949736311
"Post-growing season","Storm","Random_R2",50,0.189581130795919,0.0293544317169322,0.189254745733731,0.168299176852418,0.202201858481632
"Pre-growing season","Agricultural","AUC",50,0.757857113054985,0.0130364934842321,0.75665587833124,0.74932134113372,0.768799243143546
"Pre-growing season","Agricultural","R2c",50,0.258460917379106,0.0259955512874083,0.261187619396352,0.245567483838082,0.273565310093976
"Pre-growing season","Agricultural","R2m",50,0.126863518932005,0.0170734938681028,0.126238777801647,0.115973548126339,0.137539409486483
"Pre-growing season","Agricultural","Random_R2",50,0.131597398447101,0.0225887511617843,0.134356867197887,0.113912423861996,0.14888746842786
"Pre-growing season","Full","AUC",50,0.75673429648073,0.0132001871060783,0.755481723314758,0.748478668828173,0.768298266295511
"Pre-growing season","Full","R2c",50,0.247013234509636,0.0252172599726474,0.248859632470572,0.230743511288237,0.263384602054942
"Pre-growing season","Full","R2m",50,0.177047648484413,0.0216604435983922,0.176288070526065,0.164151182076174,0.189578449391057
"Pre-growing season","Full","Random_R2",50,0.0699655860252232,0.017873432101177,0.071900925238912,0.057497931895308,0.0805511638762288
"Pre-growing season","Site","AUC",50,0.75528002451161,0.0138019024562646,0.753685103770317,0.745862534317067,0.76721305960776
"Pre-growing season","Site","R2c",50,0.242142142380438,0.0270980334223142,0.244193286828562,0.220480828603758,0.261317078594531
"Pre-growing season","Site","R2m",50,0.172904626744914,0.0228632874041153,0.173061120191078,0.159640378024198,0.186396839853331
"Pre-growing season","Site","Random_R2",50,0.0692375156355238,0.0171737067852464,0.07352346290646,0.0573442867283683,0.0805379235629468
"Pre-growing season","Storm","AUC",50,0.75622570255879,0.0137381701742306,0.7541653627932,0.746993896112196,0.767864420575444
"Pre-growing season","Storm","R2c",50,0.248366894998612,0.0277722420106677,0.25050861250411,0.228864900821727,0.268156016393361
"Pre-growing season","Storm","R2m",50,0.11930075454685,0.0185690953196191,0.120444170842231,0.108556878971156,0.13244797934545
"Pre-growing season","Storm","Random_R2",50,0.129066140451761,0.0225737712462295,0.133831557591937,0.109093223823419,0.143396836488946
