"Season","Rep","Model","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",1,"Storm",2246,TRUE,TRUE,TRUE,1940.96125746653,0.774133596191878,,0.140746774766931,0.271786196304021,0.591999787678925,FALSE
"Pre-growing season",1,"Agricultural",2246,TRUE,TRUE,TRUE,1945.67832302183,0.774574050621066,,0.143501151982686,0.27416979617394,0.592263323201616,FALSE
"Pre-growing season",1,"Site",2246,TRUE,TRUE,TRUE,1938.61406956536,0.774084934087804,,0.193208713556464,0.273185652989061,0.362009343310227,FALSE
"Pre-growing season",1,"Full",2246,TRUE,TRUE,TRUE,1942.65593970775,0.774156055624528,,0.196600224172,0.272629325148876,0.34387654766066,FALSE
"Pre-growing season",2,"Storm",2246,TRUE,TRUE,TRUE,1893.38338705093,0.767085183684654,,0.142945402458658,0.279382621205233,0.622883199063657,FALSE
"Pre-growing season",2,"Agricultural",2246,TRUE,TRUE,TRUE,1892.43833495182,0.768804092865675,,0.159933290364958,0.298591062011039,0.650356389434771,FALSE
"Pre-growing season",2,"Site",2246,TRUE,TRUE,TRUE,1889.81043646133,0.767246454340082,,0.188550597833995,0.271367868929557,0.373930670195305,FALSE
"Pre-growing season",2,"Full",2246,TRUE,TRUE,TRUE,1888.69604712774,0.768528752722262,,0.200184772057999,0.282531893724214,0.377593330075051,FALSE
"Pre-growing season",3,"Storm",2246,TRUE,TRUE,TRUE,1794.10626891548,0.770257398928174,,0.13529826536785,0.2713768220592,0.614419800099535,FALSE
"Pre-growing season",3,"Agricultural",2246,TRUE,TRUE,TRUE,1793.54501222575,0.772063380039247,,0.144518895361047,0.273129122317926,0.582098829825424,FALSE
"Pre-growing season",3,"Site",2246,TRUE,TRUE,TRUE,1789.25536927133,0.768708185584283,,0.191720379248826,0.265446568204103,0.330199859076087,FALSE
"Pre-growing season",3,"Full",2246,TRUE,TRUE,TRUE,1787.85229289934,0.770861305240931,,0.196440052832491,0.263589949483889,0.299988172377085,FALSE
"Pre-growing season",4,"Storm",2246,TRUE,TRUE,TRUE,1976.34352764886,0.734728142387661,,0.115592258544464,0.187016403181886,0.289029223146502,FALSE
"Pre-growing season",4,"Agricultural",2246,TRUE,TRUE,TRUE,1977.30306407703,0.73708066248007,,0.122063842133377,0.191763826879948,0.28370885437074,FALSE
"Pre-growing season",4,"Site",2246,TRUE,TRUE,TRUE,1972.81910921122,0.734070868447597,,0.154631826304991,0.19264617403474,0.154903819363012,FALSE
"Pre-growing season",4,"Full",2246,TRUE,TRUE,TRUE,1973.89014489471,0.736557446393128,,0.158022503320347,0.195367872723948,0.152692561702649,FALSE
"Pre-growing season",5,"Storm",2246,TRUE,TRUE,TRUE,2009.60007546583,0.753817361198078,,0.0792268633443771,0.227721077230539,0.632577645069583,FALSE
"Pre-growing season",5,"Agricultural",2246,TRUE,TRUE,TRUE,2009.0287665552,0.756493403817424,,0.0934972751810751,0.252833401895535,0.701576926958953,FALSE
"Pre-growing season",5,"Site",2246,TRUE,TRUE,TRUE,2005.52090808483,0.753038140090293,,0.134780300682187,0.217148745982701,0.34614663005992,FALSE
"Pre-growing season",5,"Full",2246,TRUE,TRUE,TRUE,2005.14887286931,0.755577566021912,,0.144326150740884,0.233769661305946,0.384032503431619,FALSE
"Pre-growing season",6,"Storm",2246,TRUE,TRUE,TRUE,1954.66606220517,0.76930458573237,,0.100671468684056,0.277634057802635,0.805939965866473,FALSE
"Pre-growing season",6,"Agricultural",2246,TRUE,TRUE,TRUE,1958.64625794161,0.770316519661889,,0.104164335325137,0.288358876121308,0.85151873582492,FALSE
"Pre-growing season",6,"Site",2246,TRUE,TRUE,TRUE,1951.07673630656,0.768394738454,,0.165462115557677,0.267486776514685,0.458213818088678,FALSE
"Pre-growing season",6,"Full",2246,TRUE,TRUE,TRUE,1955.18424312968,0.769252266323656,,0.16554408870607,0.271533021149543,0.478662206378276,FALSE
"Pre-growing season",7,"Storm",2246,TRUE,TRUE,TRUE,1951.70043470186,0.766736783415277,,0.130895344138523,0.242975582210221,0.487077028143602,FALSE
"Pre-growing season",7,"Agricultural",2246,TRUE,TRUE,TRUE,1953.92555363321,0.767641542906381,,0.135319115425545,0.24900749384042,0.498033962058275,FALSE
"Pre-growing season",7,"Site",2246,TRUE,TRUE,TRUE,1947.61790456155,0.764724517208171,,0.179232378019465,0.236316738173006,0.245913491612083,FALSE
"Pre-growing season",7,"Full",2246,TRUE,TRUE,TRUE,1949.71440570251,0.766136144761519,,0.181882168231672,0.239446128730226,0.248999901844398,FALSE
"Pre-growing season",8,"Storm",2246,TRUE,TRUE,TRUE,1872.58685314184,0.77496660591026,,0.144350213623639,0.284768285723379,0.645884307945233,FALSE
"Pre-growing season",8,"Agricultural",2246,TRUE,TRUE,TRUE,1875.74117128479,0.776560968066696,,0.150209116134778,0.292030266755119,0.659029422022854,FALSE
"Pre-growing season",8,"Site",2246,TRUE,TRUE,TRUE,1867.37269702336,0.774169095826232,,0.203312958468749,0.276633695326392,0.333462526756686,FALSE
"Pre-growing season",8,"Full",2246,TRUE,TRUE,TRUE,1870.18446836854,0.775539734031703,,0.207876545744878,0.280512923521796,0.3321311979155,FALSE
"Pre-growing season",9,"Storm",2246,TRUE,TRUE,TRUE,1935.4368019482,0.741391038739664,,0.121240018893175,0.22401261591007,0.435713645447499,FALSE
