"Season","Model","Metric","Replications","Mean","SD","Median","Q25","Q75"
"Growing season","Agricultural","R2c",200,0.502637548345481,0.0918630560427278,0.509407371516381,0.437813094644273,0.572786152574337
"Growing season","Agricultural","R2m",200,0.233015274818241,0.062103831227964,0.229863971266003,0.194987968498903,0.269660395778672
"Growing season","Agricultural","RMSE",200,1.43767702572008,0.139775138959904,1.43281092013722,1.34565704304486,1.51641093188436
"Growing season","Agricultural","Random_R2",200,0.26962227352724,0.0829079800239578,0.263791877397078,0.204754843929714,0.322609822050501
"Growing season","Full","R2c",194,0.497446161506485,0.0940041238576688,0.510958048289194,0.432474598129124,0.562301952581507
"Growing season","Full","R2m",200,0.313882840840971,0.0621326202111434,0.311023126776706,0.276860241195553,0.353201960977907
"Growing season","Full","RMSE",200,1.45846515952819,0.152418383930338,1.44906371249281,1.35880983919491,1.54803856797712
"Growing season","Full","Random_R2",194,0.183465703951683,0.0793643983119313,0.185080755431559,0.12469368807294,0.23298825684329
"Growing season","Site","R2c",198,0.465744957277739,0.0880690408116939,0.478422468233747,0.395820763278112,0.526564774489095
"Growing season","Site","R2m",200,0.292796435763751,0.0609199377256148,0.293437105626887,0.255583645565509,0.331083403098014
"Growing season","Site","RMSE",200,1.48668445876239,0.141832917712599,1.47647851637704,1.38922424857618,1.57963674618778
"Growing season","Site","Random_R2",198,0.172713448922229,0.0776221614909419,0.173022691553936,0.116018452605069,0.224151372251524
"Growing season","Storm","R2c",200,0.469709567579121,0.08591986125194,0.479254930776878,0.413523511027753,0.531194411307007
"Growing season","Storm","R2m",200,0.200017554103778,0.0568585106808439,0.195732635144285,0.160611959992518,0.236857353914521
"Growing season","Storm","RMSE",200,1.46763894286029,0.134086549357809,1.46064165127355,1.3735920201919,1.54587388048305
"Growing season","Storm","Random_R2",200,0.269692013475343,0.0839880230119928,0.266420495825375,0.212100335983587,0.32148797892025
"Post-growing season","Agricultural","R2c",200,0.55033274004484,0.10292637090858,0.558816611058555,0.475383819039424,0.614031637614881
"Post-growing season","Agricultural","R2m",200,0.131206957967283,0.0625074228609837,0.118766380294504,0.0840776985621593,0.167292558178126
"Post-growing season","Agricultural","RMSE",200,1.41674723898772,0.119754419251733,1.42167154713642,1.32574652202525,1.50357827506662
"Post-growing season","Agricultural","Random_R2",200,0.419125782077557,0.121727540625141,0.424527553173961,0.337036605426863,0.503893349882963
"Post-growing season","Full","R2c",181,0.543728407278414,0.0881173868934851,0.54428343738002,0.487492014112143,0.594497486573984
"Post-growing season","Full","R2m",200,0.408206495261243,0.0738794789407841,0.413799956443113,0.363270834689907,0.45906380361144
"Post-growing season","Full","RMSE",200,1.47936369262488,0.140707264116195,1.47999277496819,1.38014899780383,1.58200063839147
"Post-growing season","Full","Random_R2",181,0.138824092405636,0.0928222093670337,0.126050533951622,0.0622369222725495,0.195418835920303
"Post-growing season","Site","R2c",200,0.529843464845902,0.0768796269609526,0.532439830477439,0.480037567562946,0.585255939911366
"Post-growing season","Site","R2m",200,0.328907098682434,0.078121112542226,0.333453219731291,0.276072979555044,0.383743606109471
"Post-growing season","Site","RMSE",200,1.45746351194802,0.111577351588766,1.45875540907484,1.38131774665482,1.5440385979909
"Post-growing season","Site","Random_R2",200,0.200936366163468,0.085761944482826,0.201618717259421,0.142386569957741,0.261224911263445
"Post-growing season","Storm","R2c",200,0.52584045242247,0.081926721899159,0.523402028446676,0.463051620913773,0.583907877850983
"Post-growing season","Storm","R2m",200,0.0671379044953154,0.0442253306255984,0.0609707737837052,0.0318266420761744,0.0904916684018167
"Post-growing season","Storm","RMSE",200,1.43237754095587,0.106662635855584,1.43059900096978,1.35983805493282,1.50687901422028
"Post-growing season","Storm","Random_R2",200,0.458702547927155,0.0992943453329612,0.450826914757633,0.389296554487168,0.532581681661177
"Pre-growing season","Agricultural","R2c",157,0.354922867162712,0.0695737230590639,0.351034416760321,0.308737716562848,0.408259267180504
"Pre-growing season","Agricultural","R2m",200,0.282699479768225,0.067235996012039,0.277069063661806,0.239388768735362,0.332008377924854
"Pre-growing season","Agricultural","RMSE",200,1.72601478895033,0.140424267294836,1.71654148697201,1.62506854025343,1.82703179231334
"Pre-growing season","Agricultural","Random_R2",157,0.0771873910369397,0.0527345755593268,0.0720377324124279,0.0334966858917576,0.107551312239019
"Pre-growing season","Full","R2c",115,0.374201013804513,0.0653840369686863,0.373920724379211,0.324264462162594,0.4280280071301
"Pre-growing season","Full","R2m",200,0.323937152743954,0.0657700157497791,0.31976117392167,0.280604537127683,0.372762970025889
"Pre-growing season","Full","RMSE",200,1.73015256538318,0.132361449734296,1.71779539719595,1.63657604787926,1.82932590755972
"Pre-growing season","Full","Random_R2",115,0.0550831201528844,0.0414193660974995,0.0502793198855895,0.0232693203698661,0.0768769993779972
"Pre-growing season","Site","R2c",125,0.361203042965519,0.0638051843345304,0.353968308331485,0.318634574453664,0.405224040532979
"Pre-growing season","Site","R2m",200,0.304109054908214,0.066975625412885,0.298224809324864,0.261095636710085,0.354859241666352
"Pre-growing season","Site","RMSE",200,1.74605547898167,0.136022495566504,1.74417610045436,1.64504645343215,1.84616435140638
"Pre-growing season","Site","Random_R2",125,0.0599466631382157,0.0443268363546927,0.0546857398370261,0.025005463239653,0.086121284144025
"Pre-growing season","Storm","R2c",171,0.336283513095361,0.0718446842797091,0.336274641425358,0.293208435256865,0.389476000403852
"Pre-growing season","Storm","R2m",200,0.263200395777593,0.0681146536109152,0.256411758310024,0.218091339893778,0.31092241377321
"Pre-growing season","Storm","RMSE",200,1.73991690152051,0.138571384703844,1.73744807038367,1.63505874556839,1.84601872744892
"Pre-growing season","Storm","Random_R2",171,0.077340102554889,0.0538436632325687,0.0729186386607611,0.0301409967758153,0.108487378365892
