"Season","Rep","Model","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",1,"Storm",135,TRUE,TRUE,TRUE,537.123348663002,,1.6335939956041,0.376049358228517,0.401507166229122,0.117353736280533,FALSE
"Pre-growing season",1,"Agricultural",135,TRUE,TRUE,TRUE,539.807540931916,,1.59239288096008,0.39671315145051,0.4324200418104,0.16684603694916,FALSE
"Pre-growing season",1,"Site",135,TRUE,TRUE,TRUE,532.047126586919,,1.61209134160555,0.431718644296697,,0,TRUE
"Pre-growing season",1,"Full",135,TRUE,TRUE,TRUE,534.236423250903,,1.58949855129555,0.447600686175381,,0,TRUE
"Pre-growing season",2,"Storm",135,TRUE,TRUE,TRUE,568.976795820907,,1.72794280124443,0.241167376204893,0.347101734302151,0.526607447432152,FALSE
"Pre-growing season",2,"Agricultural",135,TRUE,TRUE,TRUE,574.491969362849,,1.7270479631273,0.244092523241528,0.347777825263094,0.514948587170148,FALSE
"Pre-growing season",2,"Site",135,TRUE,TRUE,TRUE,561.869331199342,,1.80035688677876,0.332243320233502,,0,TRUE
"Pre-growing season",2,"Full",135,TRUE,TRUE,TRUE,567.202628196962,,1.79591680298601,0.33554924602032,,2.96461034033585e-15,TRUE
"Pre-growing season",3,"Storm",135,TRUE,TRUE,TRUE,571.490982607969,,1.72323739711615,0.374983698883713,0.479780794883356,0.655147015158853,FALSE
"Pre-growing season",3,"Agricultural",135,TRUE,TRUE,TRUE,572.728015583219,,1.68619653550423,0.397974281160663,0.504223236981813,0.6691490609577,FALSE
"Pre-growing season",3,"Site",135,TRUE,TRUE,TRUE,574.094030770566,,1.72361234004362,0.414652245348374,0.488923489206163,0.466174115670498,FALSE
"Pre-growing season",3,"Full",135,TRUE,TRUE,TRUE,575.31176763118,,1.69487635151348,0.437043717002073,0.507512402722526,0.443532244978437,FALSE
"Pre-growing season",4,"Storm",135,TRUE,TRUE,TRUE,527.668229973369,,1.40796352074927,0.35847901027128,0.508345525771763,0.681859346617245,FALSE
"Pre-growing season",4,"Agricultural",135,TRUE,TRUE,TRUE,532.829493280063,,1.41560658772981,0.364271505004995,0.501260268928868,0.617733709768841,FALSE
"Pre-growing season",4,"Site",135,TRUE,TRUE,TRUE,524.804172903488,,1.42773614266716,0.430495836178237,0.503340638932275,0.324923560043174,FALSE
"Pre-growing season",4,"Full",135,TRUE,TRUE,TRUE,529.536669634278,,1.42727054016864,0.434721777368812,0.502794267515498,0.302093339876152,FALSE
"Pre-growing season",5,"Storm",135,TRUE,TRUE,TRUE,554.600450284043,,1.55895814826241,0.271872800668804,0.455480548632034,0.920298611039902,FALSE
"Pre-growing season",5,"Agricultural",135,TRUE,TRUE,TRUE,558.668189108779,,1.54598302184472,0.276313733288346,0.460898164334974,0.919663981832225,FALSE
"Pre-growing season",5,"Site",135,TRUE,TRUE,TRUE,544.197567713451,,1.68629521110722,0.453121545027012,,0,TRUE
"Pre-growing season",5,"Full",135,TRUE,TRUE,TRUE,547.542217200206,,1.66979240159207,0.463815764308918,,0,TRUE
"Pre-growing season",6,"Storm",135,TRUE,TRUE,TRUE,525.619070880956,,1.44770935989646,0.365633446459062,0.473529261408805,0.47252786908782,FALSE
"Pre-growing season",6,"Agricultural",135,TRUE,TRUE,TRUE,530.365230344152,,1.43775420766168,0.371616245390622,0.481394413408329,0.482118764066672,FALSE
"Pre-growing season",6,"Site",135,TRUE,TRUE,TRUE,514.749235099123,,1.51072239130241,0.459625830403669,0.460101978078807,0.00201455961014566,FALSE
"Pre-growing season",6,"Full",135,TRUE,TRUE,TRUE,517.880852607115,,1.49607109583545,0.470986003480768,,0,TRUE
"Pre-growing season",7,"Storm",135,TRUE,TRUE,TRUE,548.572866167441,,1.51163502978057,0.242333972684602,0.440327274272187,0.914159644531592,FALSE
"Pre-growing season",7,"Agricultural",135,TRUE,TRUE,TRUE,551.662458246883,,1.48362846601824,0.257258776737721,0.46518918318364,0.972367341264663,FALSE
"Pre-growing season",7,"Site",135,TRUE,TRUE,TRUE,545.103173214293,,1.53958004119388,0.349823780128256,0.436754632692864,0.397074191064526,FALSE
"Pre-growing season",7,"Full",135,TRUE,TRUE,TRUE,549.211907514967,,1.5193591005542,0.357237725146078,0.450659033454809,0.42806688713927,FALSE
"Pre-growing season",8,"Storm",135,TRUE,TRUE,TRUE,580.629150175316,,1.80727934757927,0.271073190501356,0.373826715166204,0.581204086644982,FALSE
"Pre-growing season",8,"Agricultural",135,TRUE,TRUE,TRUE,575.933725858777,,1.78933371224476,0.325233786937918,0.38351748838293,0.321048086851475,FALSE
"Pre-growing season",8,"Site",135,TRUE,TRUE,TRUE,583.094014887087,,1.84279156754317,0.30217485877895,0.350876792790608,0.267978565688311,FALSE
"Pre-growing season",8,"Full",135,TRUE,TRUE,TRUE,574.729249340016,,1.84180826301092,0.370657155425919,0.372340258547524,0.00912050291687175,FALSE
"Pre-growing season",9,"Storm",135,TRUE,TRUE,TRUE,560.981084030995,,1.7299339127695,0.282339105761603,0.342861154189901,0.292698913508695,FALSE
"Pre-growing season",9,"Agricultural",135,TRUE,TRUE,TRUE,564.085577326567,,1.69389237550484,0.307538427791822,0.377497552805602,0.345284723660415,FALSE
"Pre-growing season",9,"Site",135,TRUE,TRUE,TRUE,561.41133039651,,1.78468461227627,0.309504916290818,0.314501902824799,0.0233805436419595,FALSE
"Pre-growing season",9,"Full",135,TRUE,TRUE,TRUE,563.269123135642,,1.74255233429883,0.333652407226648,0.344671811089596,0.0518435172070186,FALSE
"Pre-growing season",10,"Storm",135,TRUE,TRUE,TRUE,509.504850067003,,1.36788738180705,0.299233217466022,0.413295988913632,0.39951218799909,FALSE
"Pre-growing season",10,"Agricultural",135,TRUE,TRUE,TRUE,509.737073469308,,1.38989642342647,0.334776021063954,0.398301757945201,0.217791294287877,FALSE
"Pre-growing season",10,"Site",135,TRUE,TRUE,TRUE,516.323840518342,,1.37934296652012,0.312162619704963,0.407377194157178,0.332652094951481,FALSE
"Pre-growing season",10,"Full",135,TRUE,TRUE,TRUE,514.729409102309,,1.43236852834748,0.35401744088355,0.377229412028288,0.0788301795759855,FALSE
"Pre-growing season",11,"Storm",135,TRUE,TRUE,TRUE,554.687661392672,,1.61004096684685,0.346229951479417,0.459524543854413,0.598285087551639,FALSE
"Pre-growing season",11,"Agricultural",135,TRUE,TRUE,TRUE,559.669180425584,,1.61575313874355,0.348702626152528,0.451942131345845,0.538728518167591,FALSE
"Pre-growing season",11,"Site",135,TRUE,TRUE,TRUE,553.846169702384,,1.64962165548783,0.399558071901113,0.442669553942501,0.221944451103636,FALSE
"Pre-growing season",11,"Full",135,TRUE,TRUE,TRUE,557.622584551443,,1.66055092975744,0.411623329217607,0.441347601910907,0.152737940131057,FALSE
"Pre-growing season",12,"Storm",135,TRUE,TRUE,TRUE,536.836556554395,,1.6881866839669,0.412127891810448,0.41286430888523,0.00357903645186904,FALSE
"Pre-growing season",12,"Agricultural",135,TRUE,TRUE,TRUE,541.012985053421,,1.67891306115844,0.419901723932013,,1.42248806505634e-14,TRUE
"Pre-growing season",12,"Site",135,TRUE,TRUE,TRUE,533.808641599253,,1.62264321804402,0.45828939061769,,0,TRUE
"Pre-growing season",12,"Full",135,TRUE,TRUE,TRUE,534.650589684149,,1.59193863320839,0.47867554541767,,3.69199496141979e-17,TRUE
"Pre-growing season",13,"Storm",135,TRUE,TRUE,TRUE,545.127234887201,,1.50962278084845,0.404637679934266,0.535275028105435,0.721166308887414,FALSE
"Pre-growing season",13,"Agricultural",135,TRUE,TRUE,TRUE,547.804019787471,,1.52943906480452,0.421040522065325,0.519030443350386,0.527316605300697,FALSE
"Pre-growing season",13,"Site",135,TRUE,TRUE,TRUE,546.880946982499,,1.52173015876111,0.43309031351957,0.522947205732906,0.480623034778051,FALSE
"Pre-growing season",13,"Full",135,TRUE,TRUE,TRUE,547.877477903814,,1.60045887204055,0.451185859051209,0.47872967029529,0.141052312086484,FALSE
"Pre-growing season",14,"Storm",135,TRUE,TRUE,TRUE,560.996695325177,,1.78085728692457,0.2723104163577,0.303844227772644,0.148802939035276,FALSE
"Pre-growing season",14,"Agricultural",135,TRUE,TRUE,TRUE,559.744681341088,,1.74078765228485,0.309656152403254,0.335853477312587,0.123359945854825,FALSE
"Pre-growing season",14,"Site",135,TRUE,TRUE,TRUE,562.855713002298,,1.80694609800941,0.301153283354708,,1.48097328234579e-14,TRUE
"Pre-growing season",14,"Full",135,TRUE,TRUE,TRUE,557.886546130891,,1.73500732909211,0.355953180035051,,0,TRUE
"Pre-growing season",15,"Storm",135,TRUE,TRUE,TRUE,552.005229836694,,1.56560231432018,0.218276984013516,0.395301138745862,0.79795726790979,FALSE
"Pre-growing season",15,"Agricultural",135,TRUE,TRUE,TRUE,553.322610005093,,1.51189460576135,0.241629231435776,0.446152157473916,0.948704609702804,FALSE
"Pre-growing season",15,"Site",135,TRUE,TRUE,TRUE,552.693366798917,,1.61046575115437,0.298148614872359,0.374688565186457,0.339752271628095,FALSE
"Pre-growing season",15,"Full",135,TRUE,TRUE,TRUE,553.800430202909,,1.55216976202326,0.318430542792056,0.417464636164858,0.444452422913439,FALSE
"Pre-growing season",16,"Storm",135,TRUE,TRUE,TRUE,572.224941264531,,1.86907832719315,0.2118815129701,0.239244229810751,0.12935782031983,FALSE
"Pre-growing season",16,"Agricultural",135,TRUE,TRUE,TRUE,572.783430712698,,1.87628814552611,0.241289894601229,0.246377247825533,0.0239187675884134,FALSE
"Pre-growing season",16,"Site",135,TRUE,TRUE,TRUE,568.433815878302,,1.84466524480465,0.275493198678132,,3.12680851733447e-15,TRUE
"Pre-growing season",16,"Full",135,TRUE,TRUE,TRUE,570.079219537815,,1.81515286499094,0.298610564549392,,3.0275586605135e-15,TRUE
"Pre-growing season",17,"Storm",135,TRUE,TRUE,TRUE,564.286639900792,,1.59527650054504,0.276194960288661,0.478820272264295,1.11934337880631,FALSE
"Pre-growing season",17,"Agricultural",135,TRUE,TRUE,TRUE,568.83455047664,,1.59270613616791,0.288784122770933,0.481221594583124,1.06228777494679,FALSE
"Pre-growing season",17,"Site",135,TRUE,TRUE,TRUE,563.072769466871,,1.61321349793095,0.350782746224627,0.46457737248864,0.608453803555723,FALSE
"Pre-growing season",17,"Full",135,TRUE,TRUE,TRUE,566.372263091842,,1.62241463264753,0.367976947332482,0.458701691616553,0.480029104583482,FALSE
"Pre-growing season",18,"Storm",135,TRUE,TRUE,TRUE,590.609336332354,,1.96439191642953,0.216546380746253,0.262603833932415,0.252237891535309,FALSE
"Pre-growing season",18,"Agricultural",135,TRUE,TRUE,TRUE,593.159644906812,,1.92568439685921,0.236790931371889,0.289517074024371,0.289762482652142,FALSE
"Pre-growing season",18,"Site",135,TRUE,TRUE,TRUE,579.769093551899,,1.92375755194825,0.321338794168226,,0,TRUE
"Pre-growing season",18,"Full",135,TRUE,TRUE,TRUE,578.629268966053,,1.87355282930133,0.356466818006609,,0,TRUE
"Pre-growing season",19,"Storm",135,TRUE,TRUE,TRUE,572.761569019313,,1.62218442649072,0.126789835043887,0.402902747528685,1.38837437264947,FALSE
"Pre-growing season",19,"Agricultural",135,TRUE,TRUE,TRUE,571.509132444991,,1.57706743630961,0.181229538276491,0.442960404713806,1.33427344682446,FALSE
"Pre-growing season",19,"Site",135,TRUE,TRUE,TRUE,573.816901202237,,1.65924349307403,0.208683336697708,0.367249813842058,0.764947732003743,FALSE
"Pre-growing season",19,"Full",135,TRUE,TRUE,TRUE,571.918977042444,,1.61872859406106,0.257097990717666,0.3986231597261,0.681666787956546,FALSE
"Pre-growing season",20,"Storm",135,TRUE,TRUE,TRUE,563.811283566352,,1.638044072241,0.302197167274861,0.45762044777279,0.853382768100229,FALSE
"Pre-growing season",20,"Agricultural",135,TRUE,TRUE,TRUE,568.631665994409,,1.63762875404903,0.304615275524325,0.452549120127783,0.802331646504825,FALSE
"Pre-growing season",20,"Site",135,TRUE,TRUE,TRUE,554.507378034574,,1.68817086008486,0.396017700466767,0.422289339604257,0.134199501902697,FALSE
"Pre-growing season",20,"Full",135,TRUE,TRUE,TRUE,559.859644317158,,1.69444582709613,0.398849291255088,0.420126435720217,0.108495826838957,FALSE
"Pre-growing season",21,"Storm",135,TRUE,TRUE,TRUE,549.869978732655,,1.43825762250765,0.264329718539661,0.562872256396367,1.6408414960194,FALSE
"Pre-growing season",21,"Agricultural",135,TRUE,TRUE,TRUE,552.294917269834,,1.40230291553791,0.27973678263806,0.595478247871837,1.79210772136421,FALSE
"Pre-growing season",21,"Site",135,TRUE,TRUE,TRUE,546.7284274195,,1.46127990621655,0.386145194450572,0.545140132142472,0.841616400192629,FALSE
"Pre-growing season",21,"Full",135,TRUE,TRUE,TRUE,547.886075861081,,1.42661585380686,0.404433425993318,0.567446377199686,0.867890779767193,FALSE
"Pre-growing season",22,"Storm",135,TRUE,TRUE,TRUE,522.390389632467,,1.46675608943492,0.296456332764028,0.382449653392693,0.323701954582314,FALSE
"Pre-growing season",22,"Agricultural",135,TRUE,TRUE,TRUE,527.595475574071,,1.45675713131656,0.30254193273676,0.392691573178205,0.341384398412271,FALSE
"Pre-growing season",22,"Site",135,TRUE,TRUE,TRUE,525.228878202702,,1.48970201075539,0.341101015520186,0.384560489498116,0.164675696317112,FALSE
"Pre-growing season",22,"Full",135,TRUE,TRUE,TRUE,529.631593133828,,1.47589496027912,0.347824603029564,0.394118884915347,0.175399858743181,FALSE
"Pre-growing season",23,"Storm",135,TRUE,TRUE,TRUE,562.009706299653,,1.71820767363196,0.382883327108178,0.446748290338584,0.364865491080839,FALSE
"Pre-growing season",23,"Agricultural",135,TRUE,TRUE,TRUE,565.942844326075,,1.70568019734457,0.394645975136125,0.4569439825545,0.357233197100116,FALSE
"Pre-growing season",23,"Site",135,TRUE,TRUE,TRUE,558.18562551691,,1.76368004362671,0.455043096747499,0.458935748767855,0.0225329167580728,FALSE
"Pre-growing season",23,"Full",135,TRUE,TRUE,TRUE,559.59555426972,,1.74602416481859,0.473667852938352,,0,TRUE
"Pre-growing season",24,"Storm",135,TRUE,TRUE,TRUE,565.842256275541,,1.71229780158403,0.292167739811851,0.383128889482551,0.46983482780332,FALSE
"Pre-growing season",24,"Agricultural",135,TRUE,TRUE,TRUE,564.897122432778,,1.6170995092194,0.339459525132734,0.462914296966351,0.66837743971702,FALSE
"Pre-growing season",24,"Site",135,TRUE,TRUE,TRUE,560.015144374259,,1.70605115302916,0.387462994506532,0.421247649637385,0.177559970736395,FALSE
"Pre-growing season",24,"Full",135,TRUE,TRUE,TRUE,559.470058209288,,1.65549991484537,0.418099309179128,0.454872066173905,0.194192705109957,FALSE
"Pre-growing season",25,"Storm",135,TRUE,TRUE,TRUE,539.963846782702,,1.459416828173,0.224482449221047,0.442596326235098,0.942081291109183,FALSE
"Pre-growing season",25,"Agricultural",135,TRUE,TRUE,TRUE,544.976179334379,,1.45204449138333,0.235676002192839,0.453342141293763,0.949725563792179,FALSE
"Pre-growing season",25,"Site",135,TRUE,TRUE,TRUE,543.963188941503,,1.46496593590661,0.271052776172002,0.442972743470359,0.740522234734528,FALSE
"Pre-growing season",25,"Full",135,TRUE,TRUE,TRUE,546.844581936899,,1.46338243169562,0.286134299795014,0.437140912337974,0.638108839334038,FALSE
"Pre-growing season",26,"Storm",135,TRUE,TRUE,TRUE,562.245310414411,,1.59507181326087,0.167378944577132,0.385263737017987,1.0160063882887,FALSE
"Pre-growing season",26,"Agricultural",135,TRUE,TRUE,TRUE,565.055592195338,,1.56831166429289,0.188458479448291,0.410987129536015,1.05003785008689,FALSE
"Pre-growing season",26,"Site",135,TRUE,TRUE,TRUE,562.621670182342,,1.64822051573948,0.242809889535606,0.340928853361316,0.437650742976196,FALSE
"Pre-growing season",26,"Full",135,TRUE,TRUE,TRUE,564.943401208893,,1.61389963427339,0.262861133366129,0.368825372015699,0.475765762692313,FALSE
"Pre-growing season",27,"Storm",135,TRUE,TRUE,TRUE,584.584771156993,,1.91563470416309,0.243561039197648,0.290504294847861,0.254764954480664,FALSE
"Pre-growing season",27,"Agricultural",135,TRUE,TRUE,TRUE,583.88799294557,,1.86834439993183,0.276606949113559,0.321696715381227,0.243518116836253,FALSE
"Pre-growing season",27,"Site",135,TRUE,TRUE,TRUE,586.709055108783,,1.92976411114525,0.270556684202027,0.288440170723895,0.0956652216082827,FALSE
"Pre-growing season",27,"Full",135,TRUE,TRUE,TRUE,581.727610327852,,1.89517631309424,0.323278079014058,,0,TRUE
"Pre-growing season",28,"Storm",135,TRUE,TRUE,TRUE,557.2321901776,,1.56203430717114,0.240897523974187,0.443900044909536,1.00499229556218,FALSE
"Pre-growing season",28,"Agricultural",135,TRUE,TRUE,TRUE,560.122818444984,,1.53832136701205,0.261390439550344,0.465777313624635,1.02377446612088,FALSE
"Pre-growing season",28,"Site",135,TRUE,TRUE,TRUE,555.203906626853,,1.61159875750845,0.368711681870466,0.444754432402654,0.383470156280619,FALSE
"Pre-growing season",28,"Full",135,TRUE,TRUE,TRUE,556.680877354903,,1.58842230842358,0.388419381030646,0.45957701811321,0.357535799820279,FALSE
"Pre-growing season",29,"Storm",135,TRUE,TRUE,TRUE,526.338687519403,,1.48872622532359,0.297517866395406,0.384652174666446,0.338886698173768,FALSE
"Pre-growing season",29,"Agricultural",135,TRUE,TRUE,TRUE,530.779293211761,,1.48129182072845,0.304494746394008,0.3897850133722,0.330980473380861,FALSE
"Pre-growing season",29,"Site",135,TRUE,TRUE,TRUE,528.952430452909,,1.51898988686738,0.327384907489099,0.366692296431172,0.149731356482295,FALSE
"Pre-growing season",29,"Full",135,TRUE,TRUE,TRUE,532.449925383448,,1.52695307734388,0.338459404672183,0.363958815843891,0.0964955125298657,FALSE
"Pre-growing season",30,"Storm",135,TRUE,TRUE,TRUE,532.786832086565,,1.46024025465742,0.396741005054363,0.512961422168168,0.568251110006156,FALSE
"Pre-growing season",30,"Agricultural",135,TRUE,TRUE,TRUE,532.572872367241,,1.40796860808931,0.419247233267742,0.546790151742917,0.628650812297973,FALSE
"Pre-growing season",30,"Site",135,TRUE,TRUE,TRUE,530.417596772148,,1.49395245733569,0.45729008683415,0.504440958855377,0.226418149364831,FALSE
"Pre-growing season",30,"Full",135,TRUE,TRUE,TRUE,526.656211306754,,1.45238321954814,0.49480389324867,0.532827477576738,0.181838995599394,FALSE
"Pre-growing season",31,"Storm",135,TRUE,TRUE,TRUE,593.845230846219,,1.81136105693991,0.192004561781422,0.383966376640735,1.14521116546464,FALSE
"Pre-growing season",31,"Agricultural",135,TRUE,TRUE,TRUE,599.522467422122,,1.82028172538987,0.196176187073247,0.375777226011689,1.06380539366052,FALSE
"Pre-growing season",31,"Site",135,TRUE,TRUE,TRUE,599.95166698292,,1.83184784737321,0.203581222333947,0.359870290525281,0.907098163053278,FALSE
"Pre-growing season",31,"Full",135,TRUE,TRUE,TRUE,605.836162917618,,1.83783952741691,0.206987104798122,0.356259757569073,0.865036125826481,FALSE
"Pre-growing season",32,"Storm",135,TRUE,TRUE,TRUE,570.453690858822,,1.71999632540279,0.305113657465352,0.409442071689048,0.573296236108321,FALSE
"Pre-growing season",32,"Agricultural",135,TRUE,TRUE,TRUE,571.117084352846,,1.70548350892435,0.337898718066366,0.42393848727886,0.472567388004561,FALSE
"Pre-growing season",32,"Site",135,TRUE,TRUE,TRUE,571.171713822005,,1.74070901258742,0.358983496766521,0.413460194711223,0.299497628328483,FALSE
"Pre-growing season",32,"Full",135,TRUE,TRUE,TRUE,567.979888252208,,1.74185650774911,0.406726268708719,0.428876212723935,0.121498852378968,FALSE
"Pre-growing season",33,"Storm",135,TRUE,TRUE,TRUE,551.598598490833,,1.59548759489002,0.451604076483491,0.544335466913768,0.569516575730984,FALSE
"Pre-growing season",33,"Agricultural",135,TRUE,TRUE,TRUE,555.816256200008,,1.57189238088839,0.461765301690526,0.561977462655223,0.62501222762487,FALSE
"Pre-growing season",33,"Site",135,TRUE,TRUE,TRUE,546.102440910043,,1.69823423459371,0.512121988142394,,0,TRUE
"Pre-growing season",33,"Full",135,TRUE,TRUE,TRUE,550.086051815735,,1.68559887816088,0.519380831043741,,0,TRUE
"Pre-growing season",34,"Storm",135,TRUE,TRUE,TRUE,540.616078422801,,1.44731447535644,0.282630848522534,0.487307954509004,0.954271739644695,FALSE
"Pre-growing season",34,"Agricultural",135,TRUE,TRUE,TRUE,543.515360646742,,1.44628018462409,0.30653723527486,0.487004588643049,0.834473377697069,FALSE
"Pre-growing season",34,"Site",135,TRUE,TRUE,TRUE,542.798069911522,,1.43387038971919,0.333788893569308,0.504960260762786,0.805489174287638,FALSE
"Pre-growing season",34,"Full",135,TRUE,TRUE,TRUE,546.036699080051,,1.43799648814428,0.352336687196324,0.499784532067253,0.685109241004493,FALSE
"Pre-growing season",35,"Storm",135,TRUE,TRUE,TRUE,557.941717402655,,1.69879763627144,0.271468617799203,0.340290159498561,0.321571409711145,FALSE
"Pre-growing season",35,"Agricultural",135,TRUE,TRUE,TRUE,559.950955728994,,1.68790508087176,0.292431082781674,0.350015866195484,0.267775200329701,FALSE
"Pre-growing season",35,"Site",135,TRUE,TRUE,TRUE,558.467944458419,,1.72287314613264,0.309458338967982,0.333719801102166,0.111382222580388,FALSE
"Pre-growing season",35,"Full",135,TRUE,TRUE,TRUE,557.456757682252,,1.72384023699935,0.340205113231395,0.343472381157438,0.0148601986987329,FALSE
"Pre-growing season",36,"Storm",135,TRUE,TRUE,TRUE,559.262299802699,,1.73867242878354,0.333726648093056,0.378844644879674,0.230946496735872,FALSE
"Pre-growing season",36,"Agricultural",135,TRUE,TRUE,TRUE,563.240129600602,,1.72409173239126,0.344897067884919,0.39016596969282,0.232261148724736,FALSE
"Pre-growing season",36,"Site",135,TRUE,TRUE,TRUE,561.354073135255,,1.75028601924123,0.360155605692487,0.378821014552776,0.0944095701819071,FALSE
"Pre-growing season",36,"Full",135,TRUE,TRUE,TRUE,564.025799128173,,1.73230108806099,0.375408170026389,0.392114406609421,0.0844261834512547,FALSE
"Pre-growing season",37,"Storm",135,TRUE,TRUE,TRUE,558.621368118328,,1.78325688006068,0.302959086269684,0.324201971018271,0.102589964778067,FALSE
"Pre-growing season",37,"Agricultural",135,TRUE,TRUE,TRUE,560.973959642382,,1.77364849851532,0.32142886854181,0.335443873694556,0.0675793521046216,FALSE
"Pre-growing season",37,"Site",135,TRUE,TRUE,TRUE,560.743939964144,,1.79286840826267,0.331472798446725,,0,TRUE
"Pre-growing season",37,"Full",135,TRUE,TRUE,TRUE,563.22297069408,,1.76964006547842,0.348767055982511,,0,TRUE
"Pre-growing season",38,"Storm",135,TRUE,TRUE,TRUE,571.227192999812,,1.71061474279952,0.243678719316445,0.375629449225404,0.681238177637326,FALSE
"Pre-growing season",38,"Agricultural",135,TRUE,TRUE,TRUE,575.285197535325,,1.68387579962573,0.256142169640583,0.399240357337589,0.748319476805072,FALSE
"Pre-growing season",38,"Site",135,TRUE,TRUE,TRUE,566.980679401622,,1.74923521800178,0.337058162193672,0.374992869848513,0.194158425515318,FALSE
"Pre-growing season",38,"Full",135,TRUE,TRUE,TRUE,571.818010972318,,1.70527579133956,0.341852224929022,0.400516257736161,0.302800738451607,FALSE
"Pre-growing season",39,"Storm",135,TRUE,TRUE,TRUE,563.184145222133,,1.68430460547509,0.373055088107571,0.464934021274849,0.531269714908995,FALSE
"Pre-growing season",39,"Agricultural",135,TRUE,TRUE,TRUE,566.048530572558,,1.67541961008148,0.390865232959618,0.472838481691369,0.473843365244455,FALSE
"Pre-growing season",39,"Site",135,TRUE,TRUE,TRUE,556.001312540576,,1.76165113339401,0.457790448208624,,0,TRUE
"Pre-growing season",39,"Full",135,TRUE,TRUE,TRUE,557.508328793043,,1.73257862369698,0.475608391363355,,0,TRUE
"Pre-growing season",40,"Storm",135,TRUE,TRUE,TRUE,543.361890200287,,1.73036810540549,0.216343170154956,0.216920168408956,0.00220782192201676,FALSE
"Pre-growing season",40,"Agricultural",135,TRUE,TRUE,TRUE,546.652336019182,,1.71434842563015,0.231971645679371,,8.07753245536608e-15,TRUE
"Pre-growing season",40,"Site",135,TRUE,TRUE,TRUE,545.370162231574,,1.69363462029724,0.250522276225674,,0,TRUE
"Pre-growing season",40,"Full",135,TRUE,TRUE,TRUE,547.769145832592,,1.67119641266208,0.270357132926401,,0,TRUE
"Pre-growing season",41,"Storm",135,TRUE,TRUE,TRUE,554.943574483525,,1.68645988979281,0.24870169866566,0.316739341448248,0.301437631120433,FALSE
"Pre-growing season",41,"Agricultural",135,TRUE,TRUE,TRUE,558.674759526281,,1.65894451125337,0.263786780630025,0.340345353149422,0.34213271775791,FALSE
"Pre-growing season",41,"Site",135,TRUE,TRUE,TRUE,556.969950169333,,1.70217681767915,0.285418267073066,0.316929798327636,0.138535068659974,FALSE
"Pre-growing season",41,"Full",135,TRUE,TRUE,TRUE,556.864562827616,,1.69648057227136,0.315224436841181,0.329010901093647,0.0602165101546693,FALSE
"Pre-growing season",42,"Storm",135,TRUE,TRUE,TRUE,540.094656452039,,1.49489563847376,0.330036297307554,0.470717855361129,0.663844037879851,FALSE
"Pre-growing season",42,"Agricultural",135,TRUE,TRUE,TRUE,544.553410084124,,1.48702426993926,0.341067056997905,0.478835854143177,0.6531061689767,FALSE
"Pre-growing season",42,"Site",135,TRUE,TRUE,TRUE,530.194031036373,,1.60106493009205,0.408789996399847,,0,TRUE
"Pre-growing season",42,"Full",135,TRUE,TRUE,TRUE,534.064677442155,,1.58848779978138,0.418082166382645,,0,TRUE
"Pre-growing season",43,"Storm",135,TRUE,TRUE,TRUE,538.968129365051,,1.57385836978133,0.386163182400654,0.450739166968714,0.312519369892984,FALSE
"Pre-growing season",43,"Agricultural",135,TRUE,TRUE,TRUE,544.453644170763,,1.55817635125036,0.388954639767982,0.461760514758304,0.3546452158053,FALSE
"Pre-growing season",43,"Site",135,TRUE,TRUE,TRUE,536.294842606177,,1.62645264627982,0.431740599287261,0.435741332286289,0.0188840923161831,FALSE
"Pre-growing season",43,"Full",135,TRUE,TRUE,TRUE,541.821683377899,,1.59930070949364,0.434727187803636,0.448178295747885,0.0636880525959159,FALSE
"Pre-growing season",44,"Storm",135,TRUE,TRUE,TRUE,551.640890252757,,1.64188981891862,0.295531805397799,0.374761083174521,0.367980098525195,FALSE
"Pre-growing season",44,"Agricultural",135,TRUE,TRUE,TRUE,553.608990787116,,1.6605174206251,0.309718956194045,0.358634067936588,0.221767628902832,FALSE
"Pre-growing season",44,"Site",135,TRUE,TRUE,TRUE,549.243931441548,,1.71328759279457,0.341906278872356,0.343774984744292,0.00838232111735258,FALSE
"Pre-growing season",44,"Full",135,TRUE,TRUE,TRUE,550.343945897786,,1.68720966945383,0.36529839616818,,0,TRUE
