"Season","Rep","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC_Storm","AIC_Agricultural","AIC_Site","AIC_Full","AUC_Storm","AUC_Agricultural","AUC_Site","AUC_Full","RMSE_Storm","RMSE_Agricultural","RMSE_Site","RMSE_Full","R2m_Storm","R2m_Agricultural","R2m_Site","R2m_Full","R2c_Storm","R2c_Agricultural","R2c_Site","R2c_Full","REvar_Storm","REvar_Agricultural","REvar_Site","REvar_Full","Singular_Storm","Singular_Agricultural","Singular_Site","Singular_Full"
"Pre-growing season",1,135,TRUE,TRUE,TRUE,537.123348663002,539.807540931916,532.047126586919,534.236423250903,,,,,1.6335939956041,1.59239288096008,1.61209134160555,1.58949855129555,0.376049358228517,0.39671315145051,0.431718644296697,0.447600686175381,0.401507166229122,0.4324200418104,,,0.117353736280533,0.16684603694916,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",2,135,TRUE,TRUE,TRUE,568.976795820907,574.491969362849,561.869331199342,567.202628196962,,,,,1.72794280124443,1.7270479631273,1.80035688677876,1.79591680298601,0.241167376204893,0.244092523241528,0.332243320233502,0.33554924602032,0.347101734302151,0.347777825263094,,,0.526607447432152,0.514948587170148,0,2.96461034033585e-15,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",3,135,TRUE,TRUE,TRUE,571.490982607969,572.728015583219,574.094030770566,575.31176763118,,,,,1.72323739711615,1.68619653550423,1.72361234004362,1.69487635151348,0.374983698883713,0.397974281160663,0.414652245348374,0.437043717002073,0.479780794883356,0.504223236981813,0.488923489206163,0.507512402722526,0.655147015158853,0.6691490609577,0.466174115670498,0.443532244978437,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",4,135,TRUE,TRUE,TRUE,527.668229973369,532.829493280063,524.804172903488,529.536669634278,,,,,1.40796352074927,1.41560658772981,1.42773614266716,1.42727054016864,0.35847901027128,0.364271505004995,0.430495836178237,0.434721777368812,0.508345525771763,0.501260268928868,0.503340638932275,0.502794267515498,0.681859346617245,0.617733709768841,0.324923560043174,0.302093339876152,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",5,135,TRUE,TRUE,TRUE,554.600450284043,558.668189108779,544.197567713451,547.542217200206,,,,,1.55895814826241,1.54598302184472,1.68629521110722,1.66979240159207,0.271872800668804,0.276313733288346,0.453121545027012,0.463815764308918,0.455480548632034,0.460898164334974,,,0.920298611039902,0.919663981832225,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",6,135,TRUE,TRUE,TRUE,525.619070880956,530.365230344152,514.749235099123,517.880852607115,,,,,1.44770935989646,1.43775420766168,1.51072239130241,1.49607109583545,0.365633446459062,0.371616245390622,0.459625830403669,0.470986003480768,0.473529261408805,0.481394413408329,0.460101978078807,,0.47252786908782,0.482118764066672,0.00201455961014566,0,FALSE,FALSE,FALSE,TRUE
"Pre-growing season",7,135,TRUE,TRUE,TRUE,548.572866167441,551.662458246883,545.103173214293,549.211907514967,,,,,1.51163502978057,1.48362846601824,1.53958004119388,1.5193591005542,0.242333972684602,0.257258776737721,0.349823780128256,0.357237725146078,0.440327274272187,0.46518918318364,0.436754632692864,0.450659033454809,0.914159644531592,0.972367341264663,0.397074191064526,0.42806688713927,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",8,135,TRUE,TRUE,TRUE,580.629150175316,575.933725858777,583.094014887087,574.729249340016,,,,,1.80727934757927,1.78933371224476,1.84279156754317,1.84180826301092,0.271073190501356,0.325233786937918,0.30217485877895,0.370657155425919,0.373826715166204,0.38351748838293,0.350876792790608,0.372340258547524,0.581204086644982,0.321048086851475,0.267978565688311,0.00912050291687175,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",9,135,TRUE,TRUE,TRUE,560.981084030995,564.085577326567,561.41133039651,563.269123135642,,,,,1.7299339127695,1.69389237550484,1.78468461227627,1.74255233429883,0.282339105761603,0.307538427791822,0.309504916290818,0.333652407226648,0.342861154189901,0.377497552805602,0.314501902824799,0.344671811089596,0.292698913508695,0.345284723660415,0.0233805436419595,0.0518435172070186,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",10,135,TRUE,TRUE,TRUE,509.504850067003,509.737073469308,516.323840518342,514.729409102309,,,,,1.36788738180705,1.38989642342647,1.37934296652012,1.43236852834748,0.299233217466022,0.334776021063954,0.312162619704963,0.35401744088355,0.413295988913632,0.398301757945201,0.407377194157178,0.377229412028288,0.39951218799909,0.217791294287877,0.332652094951481,0.0788301795759855,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",11,135,TRUE,TRUE,TRUE,554.687661392672,559.669180425584,553.846169702384,557.622584551443,,,,,1.61004096684685,1.61575313874355,1.64962165548783,1.66055092975744,0.346229951479417,0.348702626152528,0.399558071901113,0.411623329217607,0.459524543854413,0.451942131345845,0.442669553942501,0.441347601910907,0.598285087551639,0.538728518167591,0.221944451103636,0.152737940131057,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",12,135,TRUE,TRUE,TRUE,536.836556554395,541.012985053421,533.808641599253,534.650589684149,,,,,1.6881866839669,1.67891306115844,1.62264321804402,1.59193863320839,0.412127891810448,0.419901723932013,0.45828939061769,0.47867554541767,0.41286430888523,,,,0.00357903645186904,1.42248806505634e-14,0,3.69199496141979e-17,FALSE,TRUE,TRUE,TRUE
"Pre-growing season",13,135,TRUE,TRUE,TRUE,545.127234887201,547.804019787471,546.880946982499,547.877477903814,,,,,1.50962278084845,1.52943906480452,1.52173015876111,1.60045887204055,0.404637679934266,0.421040522065325,0.43309031351957,0.451185859051209,0.535275028105435,0.519030443350386,0.522947205732906,0.47872967029529,0.721166308887414,0.527316605300697,0.480623034778051,0.141052312086484,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",14,135,TRUE,TRUE,TRUE,560.996695325177,559.744681341088,562.855713002298,557.886546130891,,,,,1.78085728692457,1.74078765228485,1.80694609800941,1.73500732909211,0.2723104163577,0.309656152403254,0.301153283354708,0.355953180035051,0.303844227772644,0.335853477312587,,,0.148802939035276,0.123359945854825,1.48097328234579e-14,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",15,135,TRUE,TRUE,TRUE,552.005229836694,553.322610005093,552.693366798917,553.800430202909,,,,,1.56560231432018,1.51189460576135,1.61046575115437,1.55216976202326,0.218276984013516,0.241629231435776,0.298148614872359,0.318430542792056,0.395301138745862,0.446152157473916,0.374688565186457,0.417464636164858,0.79795726790979,0.948704609702804,0.339752271628095,0.444452422913439,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",16,135,TRUE,TRUE,TRUE,572.224941264531,572.783430712698,568.433815878302,570.079219537815,,,,,1.86907832719315,1.87628814552611,1.84466524480465,1.81515286499094,0.2118815129701,0.241289894601229,0.275493198678132,0.298610564549392,0.239244229810751,0.246377247825533,,,0.12935782031983,0.0239187675884134,3.12680851733447e-15,3.0275586605135e-15,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",17,135,TRUE,TRUE,TRUE,564.286639900792,568.83455047664,563.072769466871,566.372263091842,,,,,1.59527650054504,1.59270613616791,1.61321349793095,1.62241463264753,0.276194960288661,0.288784122770933,0.350782746224627,0.367976947332482,0.478820272264295,0.481221594583124,0.46457737248864,0.458701691616553,1.11934337880631,1.06228777494679,0.608453803555723,0.480029104583482,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",18,135,TRUE,TRUE,TRUE,590.609336332354,593.159644906812,579.769093551899,578.629268966053,,,,,1.96439191642953,1.92568439685921,1.92375755194825,1.87355282930133,0.216546380746253,0.236790931371889,0.321338794168226,0.356466818006609,0.262603833932415,0.289517074024371,,,0.252237891535309,0.289762482652142,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",19,135,TRUE,TRUE,TRUE,572.761569019313,571.509132444991,573.816901202237,571.918977042444,,,,,1.62218442649072,1.57706743630961,1.65924349307403,1.61872859406106,0.126789835043887,0.181229538276491,0.208683336697708,0.257097990717666,0.402902747528685,0.442960404713806,0.367249813842058,0.3986231597261,1.38837437264947,1.33427344682446,0.764947732003743,0.681666787956546,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",20,135,TRUE,TRUE,TRUE,563.811283566352,568.631665994409,554.507378034574,559.859644317158,,,,,1.638044072241,1.63762875404903,1.68817086008486,1.69444582709613,0.302197167274861,0.304615275524325,0.396017700466767,0.398849291255088,0.45762044777279,0.452549120127783,0.422289339604257,0.420126435720217,0.853382768100229,0.802331646504825,0.134199501902697,0.108495826838957,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",21,135,TRUE,TRUE,TRUE,549.869978732655,552.294917269834,546.7284274195,547.886075861081,,,,,1.43825762250765,1.40230291553791,1.46127990621655,1.42661585380686,0.264329718539661,0.27973678263806,0.386145194450572,0.404433425993318,0.562872256396367,0.595478247871837,0.545140132142472,0.567446377199686,1.6408414960194,1.79210772136421,0.841616400192629,0.867890779767193,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",22,135,TRUE,TRUE,TRUE,522.390389632467,527.595475574071,525.228878202702,529.631593133828,,,,,1.46675608943492,1.45675713131656,1.48970201075539,1.47589496027912,0.296456332764028,0.30254193273676,0.341101015520186,0.347824603029564,0.382449653392693,0.392691573178205,0.384560489498116,0.394118884915347,0.323701954582314,0.341384398412271,0.164675696317112,0.175399858743181,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",23,135,TRUE,TRUE,TRUE,562.009706299653,565.942844326075,558.18562551691,559.59555426972,,,,,1.71820767363196,1.70568019734457,1.76368004362671,1.74602416481859,0.382883327108178,0.394645975136125,0.455043096747499,0.473667852938352,0.446748290338584,0.4569439825545,0.458935748767855,,0.364865491080839,0.357233197100116,0.0225329167580728,0,FALSE,FALSE,FALSE,TRUE
"Pre-growing season",24,135,TRUE,TRUE,TRUE,565.842256275541,564.897122432778,560.015144374259,559.470058209288,,,,,1.71229780158403,1.6170995092194,1.70605115302916,1.65549991484537,0.292167739811851,0.339459525132734,0.387462994506532,0.418099309179128,0.383128889482551,0.462914296966351,0.421247649637385,0.454872066173905,0.46983482780332,0.66837743971702,0.177559970736395,0.194192705109957,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",25,135,TRUE,TRUE,TRUE,539.963846782702,544.976179334379,543.963188941503,546.844581936899,,,,,1.459416828173,1.45204449138333,1.46496593590661,1.46338243169562,0.224482449221047,0.235676002192839,0.271052776172002,0.286134299795014,0.442596326235098,0.453342141293763,0.442972743470359,0.437140912337974,0.942081291109183,0.949725563792179,0.740522234734528,0.638108839334038,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",26,135,TRUE,TRUE,TRUE,562.245310414411,565.055592195338,562.621670182342,564.943401208893,,,,,1.59507181326087,1.56831166429289,1.64822051573948,1.61389963427339,0.167378944577132,0.188458479448291,0.242809889535606,0.262861133366129,0.385263737017987,0.410987129536015,0.340928853361316,0.368825372015699,1.0160063882887,1.05003785008689,0.437650742976196,0.475765762692313,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",27,135,TRUE,TRUE,TRUE,584.584771156993,583.88799294557,586.709055108783,581.727610327852,,,,,1.91563470416309,1.86834439993183,1.92976411114525,1.89517631309424,0.243561039197648,0.276606949113559,0.270556684202027,0.323278079014058,0.290504294847861,0.321696715381227,0.288440170723895,,0.254764954480664,0.243518116836253,0.0956652216082827,0,FALSE,FALSE,FALSE,TRUE
"Pre-growing season",28,135,TRUE,TRUE,TRUE,557.2321901776,560.122818444984,555.203906626853,556.680877354903,,,,,1.56203430717114,1.53832136701205,1.61159875750845,1.58842230842358,0.240897523974187,0.261390439550344,0.368711681870466,0.388419381030646,0.443900044909536,0.465777313624635,0.444754432402654,0.45957701811321,1.00499229556218,1.02377446612088,0.383470156280619,0.357535799820279,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",29,135,TRUE,TRUE,TRUE,526.338687519403,530.779293211761,528.952430452909,532.449925383448,,,,,1.48872622532359,1.48129182072845,1.51898988686738,1.52695307734388,0.297517866395406,0.304494746394008,0.327384907489099,0.338459404672183,0.384652174666446,0.3897850133722,0.366692296431172,0.363958815843891,0.338886698173768,0.330980473380861,0.149731356482295,0.0964955125298657,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",30,135,TRUE,TRUE,TRUE,532.786832086565,532.572872367241,530.417596772148,526.656211306754,,,,,1.46024025465742,1.40796860808931,1.49395245733569,1.45238321954814,0.396741005054363,0.419247233267742,0.45729008683415,0.49480389324867,0.512961422168168,0.546790151742917,0.504440958855377,0.532827477576738,0.568251110006156,0.628650812297973,0.226418149364831,0.181838995599394,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",31,135,TRUE,TRUE,TRUE,593.845230846219,599.522467422122,599.95166698292,605.836162917618,,,,,1.81136105693991,1.82028172538987,1.83184784737321,1.83783952741691,0.192004561781422,0.196176187073247,0.203581222333947,0.206987104798122,0.383966376640735,0.375777226011689,0.359870290525281,0.356259757569073,1.14521116546464,1.06380539366052,0.907098163053278,0.865036125826481,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",32,135,TRUE,TRUE,TRUE,570.453690858822,571.117084352846,571.171713822005,567.979888252208,,,,,1.71999632540279,1.70548350892435,1.74070901258742,1.74185650774911,0.305113657465352,0.337898718066366,0.358983496766521,0.406726268708719,0.409442071689048,0.42393848727886,0.413460194711223,0.428876212723935,0.573296236108321,0.472567388004561,0.299497628328483,0.121498852378968,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",33,135,TRUE,TRUE,TRUE,551.598598490833,555.816256200008,546.102440910043,550.086051815735,,,,,1.59548759489002,1.57189238088839,1.69823423459371,1.68559887816088,0.451604076483491,0.461765301690526,0.512121988142394,0.519380831043741,0.544335466913768,0.561977462655223,,,0.569516575730984,0.62501222762487,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",34,135,TRUE,TRUE,TRUE,540.616078422801,543.515360646742,542.798069911522,546.036699080051,,,,,1.44731447535644,1.44628018462409,1.43387038971919,1.43799648814428,0.282630848522534,0.30653723527486,0.333788893569308,0.352336687196324,0.487307954509004,0.487004588643049,0.504960260762786,0.499784532067253,0.954271739644695,0.834473377697069,0.805489174287638,0.685109241004493,FALSE,FALSE,FALSE,FALSE
