"Analysis","Season","Model","Replications","Singular_Replications","Singular_Percent","Missing_Conditional_R2"
"Runoff coefficient","Growing season","Agricultural",200,0,0,0
"Runoff coefficient","Growing season","Full",200,6,3,6
"Runoff coefficient","Growing season","Site",200,2,1,2
"Runoff coefficient","Growing season","Storm",200,0,0,0
"Runoff coefficient","Post-growing season","Agricultural",200,0,0,0
"Runoff coefficient","Post-growing season","Full",200,19,9.5,19
"Runoff coefficient","Post-growing season","Site",200,0,0,0
"Runoff coefficient","Post-growing season","Storm",200,0,0,0
"Runoff coefficient","Pre-growing season","Agricultural",200,43,21.5,43
"Runoff coefficient","Pre-growing season","Full",200,85,42.5,85
"Runoff coefficient","Pre-growing season","Site",200,75,37.5,75
"Runoff coefficient","Pre-growing season","Storm",200,29,14.5,29
"Runoff occurrence","Growing season","Agricultural",50,0,0,0
"Runoff occurrence","Growing season","Full",50,0,0,0
"Runoff occurrence","Growing season","Site",50,0,0,0
"Runoff occurrence","Growing season","Storm",50,0,0,0
"Runoff occurrence","Post-growing season","Agricultural",50,0,0,0
"Runoff occurrence","Post-growing season","Full",50,0,0,0
"Runoff occurrence","Post-growing season","Site",50,0,0,0
"Runoff occurrence","Post-growing season","Storm",50,0,0,0
"Runoff occurrence","Pre-growing season","Agricultural",50,0,0,0
"Runoff occurrence","Pre-growing season","Full",50,0,0,0
"Runoff occurrence","Pre-growing season","Site",50,0,0,0
"Runoff occurrence","Pre-growing season","Storm",50,0,0,0
