"Season","Rep","n","Dropped","Variable_Group","AIC_Dropped","AIC_Full","Delta_AIC","Chisq","P_Value"
"Pre-growing season",1,209,"Tillage_Passes","Agricultural",235.916872447497,237.557403647474,-1.64053119997612,0.359468800023876,0.548801398444093
"Pre-growing season",1,209,"PerennialFrac","Agricultural",235.642144760326,237.557403647474,-1.91525888714744,0.084741112852555,0.77097234033258
"Pre-growing season",1,209,"Residue_Frac","Agricultural",237.158369261023,237.557403647474,-0.399034386450069,1.60096561354993,0.205766422889655
"Pre-growing season",1,209,"MeanSlope_per","Site",235.806002956706,237.557403647474,-1.75140069076735,0.248599309232645,0.618063078191715
"Pre-growing season",1,209,"Hydrologic_Group","Site",233.891820083942,237.557403647474,-3.66558356353181,0.334416436468189,0.846023435490573
"Pre-growing season",1,209,"Tile","Site",236.08114858215,237.557403647474,-1.47625506532358,0.523744934676415,0.469248556601473
"Pre-growing season",2,209,"Tillage_Passes","Agricultural",224.318497191044,225.706142248285,-1.38764505724146,0.612354942758543,0.433902507909677
"Pre-growing season",2,209,"PerennialFrac","Agricultural",226.528270572834,225.706142248285,0.822128324548544,2.82212832454854,0.0929730488438975
"Pre-growing season",2,209,"Residue_Frac","Agricultural",229.185363759029,225.706142248285,3.47922151074357,5.47922151074357,0.019243827509186
"Pre-growing season",2,209,"MeanSlope_per","Site",223.792432472541,225.706142248285,-1.91370977574383,0.0862902242561745,0.76894743326554
"Pre-growing season",2,209,"Hydrologic_Group","Site",223.506952860522,225.706142248285,-2.19918938776283,1.80081061223717,0.406404907959583
"Pre-growing season",2,209,"Tile","Site",225.061972037004,225.706142248285,-0.644170211281619,1.35582978871838,0.244261525155448
"Pre-growing season",3,209,"Tillage_Passes","Agricultural",228.810137085804,230.809341912951,-1.99920482714685,0.000795172853145232,0.977503586786889
"Pre-growing season",3,209,"PerennialFrac","Agricultural",231.538635754427,230.809341912951,0.72929384147605,2.72929384147605,0.0985228384568827
"Pre-growing season",3,209,"Residue_Frac","Agricultural",228.837576730652,230.809341912951,-1.9717651822983,0.0282348177017013,0.866557953216642
"Pre-growing season",3,209,"MeanSlope_per","Site",229.519230356502,230.809341912951,-1.29011155644906,0.709888443550938,0.399480848417944
"Pre-growing season",3,209,"Hydrologic_Group","Site",227.019107299096,230.809341912951,-3.79023461385518,0.209765386144824,0.900430143084729
"Pre-growing season",3,209,"Tile","Site",229.544920384154,230.809341912951,-1.26442152879702,0.735578471202984,0.391080943315816
"Pre-growing season",4,209,"Tillage_Passes","Agricultural",242.169559496409,243.552063656284,-1.38250415987486,0.617495840125144,0.431979372381215
"Pre-growing season",4,209,"PerennialFrac","Agricultural",244.175996926342,243.552063656284,0.623933270058217,2.62393327005822,0.105263226112349
"Pre-growing season",4,209,"Residue_Frac","Agricultural",242.494742329454,243.552063656284,-1.05732132683059,0.942678673169411,0.331589906251532
"Pre-growing season",4,209,"MeanSlope_per","Site",242.017968399737,243.552063656284,-1.53409525654715,0.465904743452853,0.494877235660147
"Pre-growing season",4,209,"Hydrologic_Group","Site",241.810217575905,243.552063656284,-1.74184608037896,2.25815391962104,0.323331566755503
"Pre-growing season",4,209,"Tile","Site",242.224419938852,243.552063656284,-1.32764371743193,0.672356282568074,0.412231303996438
"Pre-growing season",5,209,"Tillage_Passes","Agricultural",215.272189641068,216.228774195101,-0.956584554032986,1.04341544596701,0.307028457853094
"Pre-growing season",5,209,"PerennialFrac","Agricultural",214.228777300325,216.228774195101,-1.99999689477568,3.10522432300786e-06,0.998593996744143
"Pre-growing season",5,209,"Residue_Frac","Agricultural",214.228781539925,216.228774195101,-1.99999265517516,7.34482483721877e-06,0.997837628785759
"Pre-growing season",5,209,"MeanSlope_per","Site",216.484745955689,216.228774195101,0.255971760588011,2.25597176058801,0.13309988053529
"Pre-growing season",5,209,"Hydrologic_Group","Site",212.29229627489,216.228774195101,-3.93647792021028,0.0635220797897205,0.968738044167881
"Pre-growing season",5,209,"Tile","Site",214.286675636081,216.228774195101,-1.94209855901943,0.0579014409805723,0.809844080475771
"Pre-growing season",6,209,"Tillage_Passes","Agricultural",219.461184774851,220.505011606395,-1.04382683154421,0.956173168455791,0.328152932215522
"Pre-growing season",6,209,"PerennialFrac","Agricultural",220.101899591405,220.505011606395,-0.403112014990086,1.59688798500991,0.206344786752781
"Pre-growing season",6,209,"Residue_Frac","Agricultural",218.550128781483,220.505011606395,-1.95488282491243,0.0451171750875687,0.831788714551217
"Pre-growing season",6,209,"MeanSlope_per","Site",220.061256901607,220.505011606395,-0.443754704788006,1.55624529521199,0.212215829176384
"Pre-growing season",6,209,"Hydrologic_Group","Site",218.35930839799,220.505011606395,-2.14570320840517,1.85429679159483,0.395680427101818
"Pre-growing season",6,209,"Tile","Site",218.518599538853,220.505011606395,-1.98641206754218,0.0135879324578241,0.90720296194253
"Pre-growing season",7,209,"Tillage_Passes","Agricultural",242.932361095135,244.401971513385,-1.46961041825077,0.530389581749233,0.466443117285783
"Pre-growing season",7,209,"PerennialFrac","Agricultural",243.944781606108,244.401971513385,-0.457189907277666,1.54281009272233,0.214200012696358
"Pre-growing season",7,209,"Residue_Frac","Agricultural",243.138285607242,244.401971513385,-1.26368590614305,0.736314093856947,0.390844169637553
"Pre-growing season",7,209,"MeanSlope_per","Site",242.503967685358,244.401971513385,-1.89800382802753,0.101996171972473,0.749447173767317
"Pre-growing season",7,209,"Hydrologic_Group","Site",242.203369015336,244.401971513385,-2.19860249804978,1.80139750195022,0.406285668025704
"Pre-growing season",7,209,"Tile","Site",244.736366281777,244.401971513385,0.334394768391775,2.33439476839177,0.12654416534068
"Pre-growing season",8,209,"Tillage_Passes","Agricultural",256.343278269397,257.957119901906,-1.61384163250949,0.386158367490481,0.534325670865662
"Pre-growing season",8,209,"PerennialFrac","Agricultural",256.028947989526,257.957119901906,-1.92817191237992,0.0718280876200481,0.788693448670075
"Pre-growing season",8,209,"Residue_Frac","Agricultural",256.171689343149,257.957119901906,-1.78543055875696,0.214569441243043,0.643209255859842
"Pre-growing season",8,209,"MeanSlope_per","Site",256.376594701586,257.957119901906,-1.58052520032027,0.419474799679705,0.517199225390488
"Pre-growing season",8,209,"Hydrologic_Group","Site",257.431154644922,257.957119901906,-0.525965256983682,3.47403474301629,0.176044694262682
"Pre-growing season",8,209,"Tile","Site",255.992625033942,257.957119901906,-1.96449486796402,0.0355051320359507,0.850541108606145
"Pre-growing season",9,209,"Tillage_Passes","Agricultural",246.707715918009,248.296780936522,-1.58906501851322,0.410934981486776,0.521495326804926
"Pre-growing season",9,209,"PerennialFrac","Agricultural",246.453781319301,248.296780936522,-1.84299961722115,0.157000382778847,0.691933341996576
"Pre-growing season",9,209,"Residue_Frac","Agricultural",246.353982517496,248.296780936522,-1.94279841902616,0.0572015809738389,0.810974911752356
"Pre-growing season",9,209,"MeanSlope_per","Site",249.824125620934,248.296780936522,1.5273446844115,3.5273446844115,0.0603643886138629
"Pre-growing season",9,209,"Hydrologic_Group","Site",244.848994525938,248.296780936522,-3.44778641058429,0.552213589415715,0.758731897883001
"Pre-growing season",9,209,"Tile","Site",246.488489555506,248.296780936522,-1.8082913810168,0.191708618983199,0.661498337249847
"Pre-growing season",10,209,"Tillage_Passes","Agricultural",237.292874477284,239.006107117343,-1.7132326400592,0.286767359940796,0.592299568319082
"Pre-growing season",10,209,"PerennialFrac","Agricultural",238.811619105483,239.006107117343,-0.194488011859903,1.8055119881401,0.179047548243782
"Pre-growing season",10,209,"Residue_Frac","Agricultural",237.754295366138,239.006107117343,-1.25181175120483,0.748188248795174,0.387050448822349
"Pre-growing season",10,209,"MeanSlope_per","Site",237.848620240798,239.006107117343,-1.15748687654491,0.842513123455092,0.358679004075241
"Pre-growing season",10,209,"Hydrologic_Group","Site",235.857093693797,239.006107117343,-3.14901342354614,0.850986576453863,0.653447367720613
"Pre-growing season",10,209,"Tile","Site",237.619383396953,239.006107117343,-1.38672372039011,0.613276279609892,0.433556893034707
"Pre-growing season",11,209,"Tillage_Passes","Agricultural",237.080743711058,238.391733713855,-1.31099000279784,0.689009997202163,0.406501321600858
"Pre-growing season",11,209,"PerennialFrac","Agricultural",237.277643313496,238.391733713855,-1.1140904003598,0.8859095996402,0.346588179989276
"Pre-growing season",11,209,"Residue_Frac","Agricultural",236.644993703792,238.391733713855,-1.74674001006386,0.25325998993614,0.61478891509389
