"Season","Dropped","Variable_Group","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"Post-growing season","Hydrologic_Group","Site",48,6.36669544445657,6.65059745222698,10.5720279085053,6.22397606216964,79.1666666666667
"Post-growing season","MeanSlope_per","Site",48,6.59043056356677,5.81464033221804,8.65068874942666,5.70710261998501,77.0833333333333
"Post-growing season","PerennialFrac","Agricultural",48,-1.15512926881252,1.87668746900098,0.857324630838403,1.86887738058314,2.08333333333333
"Post-growing season","Residue_Frac","Agricultural",48,-0.363130051135598,2.71016382216191,1.87759867735346,2.19024292988264,16.6666666666667
"Post-growing season","Tile","Site",48,1.27458794910825,4.66089952411997,3.68731106986055,3.86509077061296,43.75
"Post-growing season","Tillage_Passes","Agricultural",48,-0.572109512772476,2.27845259609072,1.44532102762992,2.26467827063663,10.4166666666667
"Pre-growing season","Hydrologic_Group","Site",50,-1.97373089583136,1.99945721964741,2.02626910416864,1.99945721964741,6
"Pre-growing season","MeanSlope_per","Site",50,-0.7904837189835,1.7049053450217,1.2095162810165,1.7049053450217,10
"Pre-growing season","PerennialFrac","Agricultural",50,-0.00979956551365717,2.51854436707545,1.99020043448634,2.51854436707545,16
"Pre-growing season","Residue_Frac","Agricultural",50,-1.12777654383916,1.01022357080409,0.872223456160839,1.01022357080409,2
"Pre-growing season","Tile","Site",50,-0.505408694403032,2.27391653166114,1.49459130559697,2.27391653166114,12
"Pre-growing season","Tillage_Passes","Agricultural",50,-1.20894594723479,1.03021368217746,0.791054052765208,1.03021368217746,2
