"Season","Rep","Comparison","Smaller_Model","Larger_Model","Delta_AIC","Chisq","P_Value"
"Pre-growing season",1,"Storm_Agricultural","Storm","Agricultural",-0.898715209374473,5.10128479062553,0.164529046532494
"Pre-growing season",1,"Storm_Site","Storm","Site",-4.64229822955966,3.35770177044034,0.499842136796553
"Pre-growing season",1,"Agricultural_Full","Agricultural","Full",-5.55034574810713,2.44965425189287,0.653673093485727
"Pre-growing season",1,"Site_Full","Site","Full",-1.80676272792195,4.19323727207805,0.241339835220295
"Pre-growing season",2,"Storm_Agricultural","Storm","Agricultural",-0.737669283218736,5.26233071678126,0.153565454418148
"Pre-growing season",2,"Storm_Site","Storm","Site",-6.07107840210327,1.92892159789673,0.74883022215207
"Pre-growing season",2,"Agricultural_Full","Agricultural","Full",-4.8802815973996,3.1197184026004,0.537994498981883
"Pre-growing season",2,"Site_Full","Site","Full",0.45312752148493,6.45312752148493,0.0915294810779027
"Pre-growing season",3,"Storm_Agricultural","Storm","Agricultural",-2.45814025638754,3.54185974361246,0.315373496634763
"Pre-growing season",3,"Storm_Site","Storm","Site",-5.97184742189572,2.02815257810428,0.730580674803029
"Pre-growing season",3,"Agricultural_Full","Agricultural","Full",-5.71048559185058,2.28951440814942,0.682678771693649
"Pre-growing season",3,"Site_Full","Site","Full",-2.19677842634241,3.80322157365759,0.283511630017954
"Pre-growing season",4,"Storm_Agricultural","Storm","Agricultural",-2.2179831631401,3.7820168368599,0.285984814971118
"Pre-growing season",4,"Storm_Site","Storm","Site",-5.6954820028343,2.3045179971657,0.679946601552709
"Pre-growing season",4,"Agricultural_Full","Agricultural","Full",-5.66699844931756,2.33300155068244,0.674767254804738
"Pre-growing season",4,"Site_Full","Site","Full",-2.18949960962337,3.81050039037663,0.282667119433814
"Pre-growing season",5,"Storm_Agricultural","Storm","Agricultural",-4.44003246123043,1.55996753876957,0.668500582140837
"Pre-growing season",5,"Storm_Site","Storm","Site",-3.92560492873167,4.07439507126833,0.396031189814445
"Pre-growing season",5,"Agricultural_Full","Agricultural","Full",-4.12832328190933,3.87167671809067,0.423650987829227
"Pre-growing season",5,"Site_Full","Site","Full",-4.64275081440809,1.35724918559191,0.715585629187222
"Pre-growing season",6,"Storm_Agricultural","Storm","Agricultural",-3.96212257825587,2.03787742174413,0.564582439658207
"Pre-growing season",6,"Storm_Site","Storm","Site",-7.00853757832076,0.991462421679245,0.911087790370041
"Pre-growing season",6,"Agricultural_Full","Agricultural","Full",-5.34609563603345,2.65390436396655,0.617304507847152
"Pre-growing season",6,"Site_Full","Site","Full",-2.29968063596857,3.70031936403143,0.2956954999065
"Pre-growing season",7,"Storm_Agricultural","Storm","Agricultural",-2.44804341961589,3.55195658038411,0.314085783231082
"Pre-growing season",7,"Storm_Site","Storm","Site",-2.84786507108717,5.15213492891283,0.272040659222011
"Pre-growing season",7,"Agricultural_Full","Agricultural","Full",-1.33440627413339,6.66559372586661,0.154651109955748
"Pre-growing season",7,"Site_Full","Site","Full",-0.934584622662101,5.0654153773379,0.167069300910741
"Pre-growing season",8,"Storm_Agricultural","Storm","Agricultural",-5.36334972971682,0.636650270283184,0.887993224961153
"Pre-growing season",8,"Storm_Site","Storm","Site",-1.26899938297933,6.73100061702067,0.150805024111876
"Pre-growing season",8,"Agricultural_Full","Agricultural","Full",-1.3893029521011,6.61069704789887,0.15794783931114
"Pre-growing season",8,"Site_Full","Site","Full",-5.48365329883859,0.516346701161382,0.91528571272621
"Pre-growing season",9,"Storm_Agricultural","Storm","Agricultural",-4.67213814741976,1.32786185258024,0.722527876156513
"Pre-growing season",9,"Storm_Site","Storm","Site",-1.97030143989736,6.02969856010264,0.196941318043116
"Pre-growing season",9,"Agricultural_Full","Agricultural","Full",-2.49970592503865,5.50029407496135,0.239703631307429
"Pre-growing season",9,"Site_Full","Site","Full",-5.20154263256106,0.798457367438942,0.849835975100022
"Pre-growing season",10,"Storm_Agricultural","Storm","Agricultural",-2.93118751603595,3.06881248396405,0.381136849866371
"Pre-growing season",10,"Storm_Site","Storm","Site",-4.4659322344416,3.5340677655584,0.472717208694804
"Pre-growing season",10,"Agricultural_Full","Agricultural","Full",-5.08298272820323,2.91701727179677,0.571807023879325
"Pre-growing season",10,"Site_Full","Site","Full",-3.54823800979759,2.45176199020241,0.484071879780228
"Pre-growing season",11,"Storm_Agricultural","Storm","Agricultural",-4.43333075467302,1.56666924532698,0.666970732401657
"Pre-growing season",11,"Storm_Site","Storm","Site",-0.686898897272926,7.31310110272707,0.120238789331218
"Pre-growing season",11,"Agricultural_Full","Agricultural","Full",-0.682359144673484,7.31764085532652,0.120024650234033
"Pre-growing season",11,"Site_Full","Site","Full",-4.42879100207358,1.57120899792642,0.665935460485679
