"Season","Model","Metric","Replications","Mean","SD","Median","Q25","Q75"
"Post-growing season","Agricultural","AUC",50,0.974313156920897,0.0394138604101864,0.98800107055018,0.967777777777778,0.994804004512126
"Post-growing season","Agricultural","R2c",48,0.900365844965025,0.156953918734449,0.970028099191193,0.917532339352647,0.99553962320053
"Post-growing season","Agricultural","R2m",50,0.240201150561592,0.216337193594516,0.187980350953025,0.12345901484609,0.24526702925968
"Post-growing season","Agricultural","Random_R2",48,0.664378427661185,0.270561195800498,0.763597438149392,0.498900129030552,0.866767529156848
"Post-growing season","Full","AUC",48,0.970056644736959,0.0230366029686013,0.970561666556266,0.956170502168958,0.989245164003364
"Post-growing season","Full","R2c",18,0.972807651147351,0.0337049988137324,0.97993959938754,0.973751405971757,0.996680136276177
"Post-growing season","Full","R2m",48,0.872710832586117,0.201742717643956,0.965722479606749,0.859624230472642,0.987114643491622
"Post-growing season","Full","Random_R2",18,0.23770032642295,0.283397353547676,0.0524708688601038,0.0150559767599826,0.443175430280153
"Post-growing season","Site","AUC",49,0.948404494277339,0.0443219823889943,0.959770114942529,0.908415841584158,0.986225895316804
"Post-growing season","Site","R2c",33,0.932875077507836,0.085690467544031,0.965735397735899,0.934306298164868,0.979600254554344
"Post-growing season","Site","R2m",49,0.751238342607748,0.255594787998503,0.843351222742115,0.610866936117301,0.951140797468769
"Post-growing season","Site","Random_R2",33,0.251325855469326,0.28296420008215,0.149994647248136,0.0555602800563951,0.330240065941488
"Post-growing season","Storm","AUC",50,0.958847000589664,0.0605303417869958,0.974879996999925,0.951150497512438,0.992070895522388
"Post-growing season","Storm","R2c",49,0.825590328968041,0.224601556251633,0.941730827568112,0.609915925515538,0.979499808925766
"Post-growing season","Storm","R2m",50,0.108294391623952,0.0688448907443503,0.0940158985016836,0.0662170481247972,0.141723122140474
"Post-growing season","Storm","Random_R2",49,0.716805572924217,0.249280602039266,0.84049582871422,0.460851039483944,0.884112283464434
"Pre-growing season","Agricultural","AUC",50,0.826340751167773,0.0445278203005403,0.833535836859902,0.797497474352653,0.85756164619801
"Pre-growing season","Agricultural","R2c",41,0.417703121254626,0.0896423549369332,0.422572894882485,0.342825552442814,0.482976231758479
"Pre-growing season","Agricultural","R2m",50,0.324036613804899,0.0858118167273381,0.32946044096852,0.271411535386683,0.38495029897491
"Pre-growing season","Agricultural","Random_R2",41,0.0892495031516817,0.0707310471287174,0.0756378768826429,0.0474291675725707,0.109124681276286
"Pre-growing season","Full","AUC",50,0.824605487530443,0.0396019634212944,0.819982482618506,0.807976606275414,0.853136063401173
"Pre-growing season","Full","R2c",33,0.42941793456289,0.0927154810544953,0.437555626661417,0.35024405794892,0.498794080698059
"Pre-growing season","Full","R2m",50,0.364853544490599,0.0882296173892561,0.382333923793118,0.312417319496298,0.418271350669867
"Pre-growing season","Full","Random_R2",33,0.0650316566057361,0.059060126967737,0.0505359061337632,0.0182047006251229,0.0788960742065066
"Pre-growing season","Site","AUC",50,0.817693103579006,0.0391926473511253,0.813232964716412,0.7915121982571,0.841943426518712
"Pre-growing season","Site","R2c",34,0.404221335247905,0.0870649017722427,0.421015344813188,0.339124747919216,0.45317560435641
"Pre-growing season","Site","R2m",50,0.337651998905686,0.0845618079360707,0.338306644809997,0.273157216636753,0.391241165330808
"Pre-growing season","Site","Random_R2",34,0.0676154935830181,0.0605842214269399,0.0495139964844179,0.0266730751972336,0.0914774112361149
"Pre-growing season","Storm","AUC",50,0.820689930580713,0.0426700356777049,0.81986682978784,0.795916280661122,0.852655764706124
"Pre-growing season","Storm","R2c",43,0.389255853578928,0.0858948735878622,0.383512345100528,0.324437895305432,0.441270855878348
"Pre-growing season","Storm","R2m",50,0.297571028564992,0.0814192995222823,0.296745656736635,0.240114209689289,0.349165987735159
"Pre-growing season","Storm","Random_R2",43,0.0890160951217303,0.0700699319065605,0.071174894207601,0.0442692011716709,0.10283343565911
