"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",1,"Storm",209,TRUE,TRUE,231.108342689992,0.859489051094891,,0.21566268049854,0.420634666703404,1.16391293534755,FALSE
"Pre-growing season",1,"Agricultural",209,TRUE,TRUE,232.007057899366,0.861516626115166,,0.271124290586036,0.453993703304721,1.10184856323505,FALSE
"Pre-growing season",1,"Site",209,TRUE,TRUE,235.750640919552,0.862935928629359,,0.26534806519758,0.444570935352797,1.06155699599152,FALSE
"Pre-growing season",1,"Full",209,TRUE,TRUE,237.557403647474,0.866991078669911,,0.3045019447054,0.479459193147561,1.10574669426876,FALSE
"Pre-growing season",2,"Storm",209,TRUE,TRUE,220.088191367667,0.852723535457348,,0.345310208146967,0.448593978223579,0.61622465204207,FALSE
"Pre-growing season",2,"Agricultural",209,TRUE,TRUE,220.825860650886,0.865159301130524,,0.385754518887929,0.494879200164214,0.710732584457711,FALSE
"Pre-growing season",2,"Site",209,TRUE,TRUE,226.15926976977,0.856115107913669,,0.365885605519403,0.453932440351038,0.530451719878105,FALSE
"Pre-growing season",2,"Full",209,TRUE,TRUE,225.706142248285,0.861151079136691,,0.416069357180015,0.494965431386522,0.513940424154182,FALSE
"Pre-growing season",3,"Storm",209,TRUE,TRUE,222.640716064713,0.843770384866275,,0.247456795027236,0.429846144204865,1.05241225975453,FALSE
"Pre-growing season",3,"Agricultural",209,TRUE,TRUE,225.0988563211,0.863883452924549,,0.272273269788623,0.482976231758479,1.34072165118775,FALSE
"Pre-growing season",3,"Site",209,TRUE,TRUE,228.612563486608,0.84116112198304,,0.274673252680567,0.429934347690463,0.896017023313868,FALSE
"Pre-growing season",3,"Full",209,TRUE,TRUE,230.809341912951,0.862796260056534,,0.300474718171696,0.498794080698059,1.30174949246245,FALSE
"Pre-growing season",4,"Storm",209,TRUE,TRUE,235.667082043826,0.811802701115678,,0.306427614047737,0.374221253251653,0.356407331573965,FALSE
"Pre-growing season",4,"Agricultural",209,TRUE,TRUE,237.885065206967,0.833235466823253,,0.323558660571023,0.404271547363922,0.445731193572551,FALSE
"Pre-growing season",4,"Site",209,TRUE,TRUE,241.362564046661,0.79291446467019,,0.323326485992465,0.359154918330066,0.183930283931682,FALSE
"Pre-growing season",4,"Full",209,TRUE,TRUE,243.552063656284,0.814053630847524,,0.343877241947315,0.386301681031561,0.227425765916736,FALSE
"Pre-growing season",5,"Storm",209,TRUE,TRUE,207.660418451961,0.914876957494407,,0.264393922458071,0.613985466824491,2.97944761861569,FALSE
"Pre-growing season",5,"Agricultural",209,TRUE,TRUE,212.100450913191,0.911856823266219,,0.276289675879606,0.599525550654977,2.65535892696822,FALSE
"Pre-growing season",5,"Site",209,TRUE,TRUE,211.586023380692,0.910850111856823,,0.324536778602238,0.610550270301616,2.41609275959126,FALSE
"Pre-growing season",5,"Full",209,TRUE,TRUE,216.228774195101,0.908612975391499,,0.333903914236531,0.597506153256922,2.15460835772178,FALSE
"Pre-growing season",6,"Storm",209,TRUE,TRUE,211.196793392106,0.871046228710462,,0.413532555402516,0.491590048059642,0.505101949143293,FALSE
"Pre-growing season",6,"Agricultural",209,TRUE,TRUE,215.158915970362,0.874797242497972,,0.421182406913068,0.510480745799216,0.600139334607386,FALSE
"Pre-growing season",6,"Site",209,TRUE,TRUE,218.205330970427,0.869221411192214,,0.426054034672357,0.493947890142113,0.441381089482008,FALSE
"Pre-growing season",6,"Full",209,TRUE,TRUE,220.505011606395,0.871755879967559,,0.443745695871402,0.514333891631708,0.4781594841509,FALSE
"Pre-growing season",7,"Storm",209,TRUE,TRUE,240.619521819636,0.782815734989648,,0.213537531842709,0.280119115775155,0.304278994025871,FALSE
"Pre-growing season",7,"Agricultural",209,TRUE,TRUE,243.067565239252,0.782505175983437,,0.244964317246357,0.29224866880229,0.219793696669019,FALSE
"Pre-growing season",7,"Site",209,TRUE,TRUE,243.467386890723,0.778053830227743,,0.248316156236491,0.284184192147316,0.164848424785819,FALSE
"Pre-growing season",7,"Full",209,TRUE,TRUE,244.401971513385,0.776190476190476,,0.298018820814388,0.315490566823255,0.0839721669982696,FALSE
"Pre-growing season",8,"Storm",209,TRUE,TRUE,251.204467220088,0.686538461538462,,0.117852488570225,,0,TRUE
"Pre-growing season",8,"Agricultural",209,TRUE,TRUE,256.567816949805,0.682478632478632,,0.123022006629655,,0,TRUE
"Pre-growing season",8,"Site",209,TRUE,TRUE,252.473466603068,0.709989316239316,,0.16154723755498,,0,TRUE
"Pre-growing season",8,"Full",209,TRUE,TRUE,257.957119901906,0.708440170940171,,0.164606338723116,,0,TRUE
"Pre-growing season",9,"Storm",209,TRUE,TRUE,241.124936864064,0.788218111002921,,0.287171142377674,0.298670980332911,0.0539446527530884,FALSE
"Pre-growing season",9,"Agricultural",209,TRUE,TRUE,245.797075011484,0.788802336903603,,0.299859587030585,0.305940948455516,0.0288259005006135,FALSE
"Pre-growing season",9,"Site",209,TRUE,TRUE,243.095238303961,0.78763388510224,,0.32848624482973,,0,TRUE
"Pre-growing season",9,"Full",209,TRUE,TRUE,248.296780936522,0.788607594936709,,0.33623765726035,,0,TRUE
"Pre-growing season",10,"Storm",209,TRUE,TRUE,230.991936873104,0.852452452452452,,0.263484355974892,0.407863175361403,0.802157976528989,FALSE
"Pre-growing season",10,"Agricultural",209,TRUE,TRUE,233.92312438914,0.852052052052052,,0.288072427720782,0.422572894882485,0.766311101368405,FALSE
"Pre-growing season",10,"Site",209,TRUE,TRUE,235.457869107545,0.841041041041041,,0.312523574238021,0.417120814212449,0.590364410078443,FALSE
"Pre-growing season",10,"Full",209,TRUE,TRUE,239.006107117343,0.845245245245245,,0.330634172370459,0.427087971137111,0.553872606875078,FALSE
"Pre-growing season",11,"Storm",209,TRUE,TRUE,233.276043814509,0.804360465116279,,0.32474932278888,0.345601011408927,0.104827952244472,FALSE
"Pre-growing season",11,"Agricultural",209,TRUE,TRUE,237.709374569182,0.79437984496124,,0.341917305286842,0.342825552442814,0.00454675830300005,FALSE
"Pre-growing season",11,"Site",209,TRUE,TRUE,233.962942711782,0.810077519379845,,0.37458080257373,0.379284955977702,0.024932607206459,FALSE
"Pre-growing season",11,"Full",209,TRUE,TRUE,238.391733713855,0.811385658914729,,0.388454988678763,,0,TRUE
"Pre-growing season",12,"Storm",209,TRUE,TRUE,204.353009518106,0.866266266266266,,0.466410114326611,0.516302115241619,0.339340131740767,FALSE
