"Season","Rep","n","Use_Hydrologic_Group","Use_Tile","AIC_Storm","AIC_Agricultural","AIC_Site","AIC_Full","AUC_Storm","AUC_Agricultural","AUC_Site","AUC_Full","RMSE_Storm","RMSE_Agricultural","RMSE_Site","RMSE_Full","R2m_Storm","R2m_Agricultural","R2m_Site","R2m_Full","R2c_Storm","R2c_Agricultural","R2c_Site","R2c_Full","REvar_Storm","REvar_Agricultural","REvar_Site","REvar_Full","Singular_Storm","Singular_Agricultural","Singular_Site","Singular_Full"
"Pre-growing season",1,209,TRUE,TRUE,231.108342689992,232.007057899366,235.750640919552,237.557403647474,0.859489051094891,0.861516626115166,0.862935928629359,0.866991078669911,,,,,0.21566268049854,0.271124290586036,0.26534806519758,0.3045019447054,0.420634666703404,0.453993703304721,0.444570935352797,0.479459193147561,1.16391293534755,1.10184856323505,1.06155699599152,1.10574669426876,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",2,209,TRUE,TRUE,220.088191367667,220.825860650886,226.15926976977,225.706142248285,0.852723535457348,0.865159301130524,0.856115107913669,0.861151079136691,,,,,0.345310208146967,0.385754518887929,0.365885605519403,0.416069357180015,0.448593978223579,0.494879200164214,0.453932440351038,0.494965431386522,0.61622465204207,0.710732584457711,0.530451719878105,0.513940424154182,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",3,209,TRUE,TRUE,222.640716064713,225.0988563211,228.612563486608,230.809341912951,0.843770384866275,0.863883452924549,0.84116112198304,0.862796260056534,,,,,0.247456795027236,0.272273269788623,0.274673252680567,0.300474718171696,0.429846144204865,0.482976231758479,0.429934347690463,0.498794080698059,1.05241225975453,1.34072165118775,0.896017023313868,1.30174949246245,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",4,209,TRUE,TRUE,235.667082043826,237.885065206967,241.362564046661,243.552063656284,0.811802701115678,0.833235466823253,0.79291446467019,0.814053630847524,,,,,0.306427614047737,0.323558660571023,0.323326485992465,0.343877241947315,0.374221253251653,0.404271547363922,0.359154918330066,0.386301681031561,0.356407331573965,0.445731193572551,0.183930283931682,0.227425765916736,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",5,209,TRUE,TRUE,207.660418451961,212.100450913191,211.586023380692,216.228774195101,0.914876957494407,0.911856823266219,0.910850111856823,0.908612975391499,,,,,0.264393922458071,0.276289675879606,0.324536778602238,0.333903914236531,0.613985466824491,0.599525550654977,0.610550270301616,0.597506153256922,2.97944761861569,2.65535892696822,2.41609275959126,2.15460835772178,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",6,209,TRUE,TRUE,211.196793392106,215.158915970362,218.205330970427,220.505011606395,0.871046228710462,0.874797242497972,0.869221411192214,0.871755879967559,,,,,0.413532555402516,0.421182406913068,0.426054034672357,0.443745695871402,0.491590048059642,0.510480745799216,0.493947890142113,0.514333891631708,0.505101949143293,0.600139334607386,0.441381089482008,0.4781594841509,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",7,209,TRUE,TRUE,240.619521819636,243.067565239252,243.467386890723,244.401971513385,0.782815734989648,0.782505175983437,0.778053830227743,0.776190476190476,,,,,0.213537531842709,0.244964317246357,0.248316156236491,0.298018820814388,0.280119115775155,0.29224866880229,0.284184192147316,0.315490566823255,0.304278994025871,0.219793696669019,0.164848424785819,0.0839721669982696,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",8,209,TRUE,TRUE,251.204467220088,256.567816949805,252.473466603068,257.957119901906,0.686538461538462,0.682478632478632,0.709989316239316,0.708440170940171,,,,,0.117852488570225,0.123022006629655,0.16154723755498,0.164606338723116,,,,,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"Pre-growing season",9,209,TRUE,TRUE,241.124936864064,245.797075011484,243.095238303961,248.296780936522,0.788218111002921,0.788802336903603,0.78763388510224,0.788607594936709,,,,,0.287171142377674,0.299859587030585,0.32848624482973,0.33623765726035,0.298670980332911,0.305940948455516,,,0.0539446527530884,0.0288259005006135,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",10,209,TRUE,TRUE,230.991936873104,233.92312438914,235.457869107545,239.006107117343,0.852452452452452,0.852052052052052,0.841041041041041,0.845245245245245,,,,,0.263484355974892,0.288072427720782,0.312523574238021,0.330634172370459,0.407863175361403,0.422572894882485,0.417120814212449,0.427087971137111,0.802157976528989,0.766311101368405,0.590364410078443,0.553872606875078,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",11,209,TRUE,TRUE,233.276043814509,237.709374569182,233.962942711782,238.391733713855,0.804360465116279,0.79437984496124,0.810077519379845,0.811385658914729,,,,,0.32474932278888,0.341917305286842,0.37458080257373,0.388454988678763,0.345601011408927,0.342825552442814,0.379284955977702,,0.104827952244472,0.00454675830300005,0.024932607206459,0,FALSE,FALSE,FALSE,TRUE
"Pre-growing season",12,209,TRUE,TRUE,204.353009518106,203.205270366804,201.992271216775,200.752005982652,0.866266266266266,0.889289289289289,0.861461461461462,0.880580580580581,,,,,0.466410114326611,0.515739233374521,0.517352686636923,0.571750697635465,0.516302115241619,0.579729981787327,0.523091935550369,0.586400592086029,0.339340131740767,0.500918730653171,0.0395912200257861,0.116528747364534,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",13,209,TRUE,TRUE,233.816812501849,235.716181848329,236.912311648086,236.485216399039,0.815526662898059,0.836254004145468,0.813265498398342,0.819719238741285,,,,,0.344910481489204,0.374798665474813,0.376981410071,0.418690588703736,0.37333720051817,0.429944713269946,,,0.149235214147493,0.318255491289604,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",14,209,TRUE,TRUE,213.917544179783,219.688093973478,213.950821316477,218.584666797522,0.833836206896552,0.833836206896552,0.813200431034483,0.811422413793103,,,,,0.363701724431082,0.362971618687281,0.433034017773617,0.438056624657666,0.423009805695243,0.421901871965492,,,0.338161321539868,0.335363068947831,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",15,209,TRUE,TRUE,247.255796841546,247.34975981432,250.152002405358,252.087912593224,0.77735368956743,0.811900567625758,0.775396359365825,0.818066157760814,,,,,0.237666681243307,0.301247654910777,0.272651871288815,0.326558529343928,0.274915006228044,0.367515215243851,0.294547845658307,0.382598114748399,0.169003742255621,0.344690560614258,0.102111628536518,0.298610760109032,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",16,209,TRUE,TRUE,231.679615096476,233.288119772372,237.098257864747,240.018964032685,0.810941828254848,0.806588840522359,0.811337554412347,0.80787495053423,,,,,0.310063668486988,0.335362221366018,0.32414238358601,0.339653419531532,0.347019084237639,0.33881846845046,0.351146445723855,0.346080173218625,0.186189889644213,0.0171973907357,0.136918111833049,0.0323329730837964,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",17,209,TRUE,TRUE,228.636019075433,226.605284529862,228.975793388817,226.592023115565,0.788196651833015,0.836617927527018,0.783587624496715,0.813731722822632,,,,,0.266631627817706,0.337832425737282,0.313795174250618,0.383455245016045,0.283197944731442,0.421844790070006,,0.397419518184584,0.076033540510423,0.478054327813098,0,0.0762398031363363,FALSE,FALSE,TRUE,FALSE
"Pre-growing season",18,209,TRUE,TRUE,217.831639454564,206.366207229987,223.420644039691,211.61610585838,0.809935897435897,0.816452991452991,0.809615384615385,0.820245726495726,,,,,0.3236850482462,0.438076298601743,0.335585372297706,0.45510516693178,0.366092553922648,0.439267051216634,0.363402204553318,,0.220087494503847,0.00698624735954223,0.143754362130494,0,FALSE,FALSE,FALSE,TRUE
"Pre-growing season",19,209,TRUE,TRUE,217.711914301979,219.232741503967,214.514851118446,214.916226151806,0.882909396678579,0.88932100063065,0.869981080512928,0.887429051923481,,,,,0.216739617091703,0.260582183906901,0.371535714290492,0.417013636568259,0.445489205691751,0.502086516473877,0.467463057584392,0.532828238675852,1.35715298936657,1.59569369810015,0.592612990229822,0.81557748227452,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",20,209,TRUE,TRUE,244.019223291142,248.371260778448,239.674506671907,241.525739013388,0.831449126413155,0.839876670092497,0.811921891058582,0.809763617677287,,,,,0.133291061699064,0.152247820033265,0.269406286492708,0.306678606633244,0.356553603878683,0.376114884059494,0.34789691059179,0.35024405794892,1.14151594816967,1.18049477589125,0.395986167236009,0.220582192078328,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",21,209,TRUE,TRUE,244.103264707371,248.295156523102,247.015252546611,250.21961813299,0.760173247381144,0.758964544721998,0.760626510878324,0.778505237711523,,,,,0.225873880226392,0.237831414933523,0.262819257716701,0.278006795673391,0.228623879276086,,,,0.0117285640535426,0,0,0,FALSE,TRUE,TRUE,TRUE
"Pre-growing season",22,209,TRUE,TRUE,223.783015278804,228.803051084423,230.97533739654,235.536581541447,0.839313271604938,0.837384259259259,0.839409722222222,0.836323302469136,,,,,0.381263651825299,0.392424011249872,0.388897745592706,0.404482548283113,0.437052506064946,0.438452975522379,0.437601192613086,0.437555626661417,0.326030359413278,0.269664366805328,0.284900885721989,0.193452138198434,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",23,209,TRUE,TRUE,224.5176150909,225.92434606488,221.042909451439,219.262835431013,0.831831831831832,0.825225225225225,0.823173173173173,0.837087087087087,,,,,0.36503769011817,0.383693916335161,0.429182296810341,0.462633445972015,0.4090716429136,0.400846160218319,,,0.245149680777967,0.0941805206374915,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",24,209,TRUE,TRUE,218.415798588105,224.254210603484,221.276150070375,227.09453253332,0.795910973084886,0.793892339544513,0.811904761904762,0.809213250517598,,,,,0.343788457335217,0.34328810837452,0.373273763807168,0.373684670331523,,,,,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"Pre-growing season",25,209,TRUE,TRUE,206.275449622262,209.296670167248,207.642336728667,212.998085692355,0.822486441385065,0.830986649979141,0.836722987067167,0.837661660408844,,,,,0.401574761798539,0.426117878302009,0.445126231273764,0.450260361328592,,,,,0,0,1.07616682372624e-16,0,TRUE,TRUE,TRUE,TRUE
"Pre-growing season",26,209,TRUE,TRUE,199.313036842329,204.772893583904,202.291686017628,207.450759276597,0.833107344632768,0.83638418079096,0.832768361581921,0.842485875706215,,,,,0.389724513364352,0.392720318788301,0.425484893444307,0.431305322332579,0.413545327677856,0.423341297038065,0.430880046074908,0.447005512145685,0.133628977016058,0.174694286324093,0.0311873456437961,0.0934033797688246,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",27,209,TRUE,TRUE,222.429808166239,226.705888815278,225.621389806693,229.904991481999,0.837328767123288,0.841458501208703,0.835213537469782,0.843473005640612,,,,,0.335390681346536,0.348581209878468,0.368433474776105,0.381212602570191,0.40594992813454,0.414546308101112,0.412813869495916,0.426599714560685,0.390759345952999,0.370680854150826,0.248653091012614,0.260407288258733,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",28,209,TRUE,TRUE,210.272412497953,214.857276074461,218.034703816363,222.613483886669,0.817247218190614,0.809143686502177,0.815312046444122,0.807692307692308,,,,,0.256318545475165,0.26765877556148,0.257410807769786,0.269555201721977,0.338526298668769,0.326302050320957,0.336200693695025,0.325798709745032,0.408863824865787,0.286372611017624,0.390492024473332,0.27444878472774,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",29,209,TRUE,TRUE,237.524879429826,241.003867048783,243.076905218187,246.320112906444,0.790362953692115,0.790571547768043,0.781184814351272,0.771068001668753,,,,,0.231944069298012,0.252570673251079,0.245227009159963,0.268308651242844,0.310349491942095,0.313043775657142,0.290871528191231,0.292965404100777,0.374020606744932,0.289608748711435,0.21175915875419,0.114729132037133,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",30,209,TRUE,TRUE,215.455147157099,217.339396810733,219.590611195765,218.690805289256,0.874465811965812,0.887179487179487,0.873076923076923,0.875641025641026,,,,,0.28841067721467,0.315603524079973,0.3421774345365,0.384753230504634,0.48525805799902,0.528565132819055,0.480549323011201,0.503554161969637,1.25810988458914,1.48613447809011,0.876358982013871,0.787275003111748,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",31,209,TRUE,TRUE,240.881691783393,244.747442611557,247.84239583847,251.783566860512,0.78739224137931,0.783081896551724,0.790409482758621,0.783512931034483,,,,,0.173417584954697,0.183332255328504,0.181291562812491,0.192384375295745,0.277101986207833,0.258970132211147,0.286767824907104,0.26967610085287,0.471861868667627,0.335801094764464,0.486521788618537,0.348173714711714,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",32,209,TRUE,TRUE,229.028168966936,230.344104791473,236.430169916352,237.115317664696,0.858236374770361,0.860073484384568,0.859256991222698,0.862625025515411,,,,,0.278948760447292,0.30832047549341,0.286301104406859,0.3167403366783,0.434905813779234,0.439232575706315,0.443806215445619,0.444650489233197,0.907951545941948,0.768025259934066,0.931637605615988,0.757734591834919,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",33,209,TRUE,TRUE,204.275524521158,206.223714164587,211.363989301766,213.525989531766,0.867556685738504,0.859398177579996,0.866497139224412,0.860881542699725,,,,,0.424948015681338,0.445883376058631,0.431386739644165,0.45105940181989,0.505814805771948,0.493312543631201,0.514092498026383,0.501595307953653,0.538342870042858,0.307952575189027,0.559964680252313,0.33357725127813,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",34,209,TRUE,TRUE,244.657036446379,246.561135115069,249.369036990496,249.109146937557,0.801194029850746,0.797213930348259,0.791044776119403,0.786467661691542,,,,,0.234006328058241,0.267343035588311,0.257388957625347,0.310976313768965,0.305181222265842,0.315059043902277,0.307789740334196,0.328842285229847,0.337003005497921,0.229186725982432,0.239539831477296,0.0875750794383923,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",35,209,TRUE,TRUE,216.737382340419,220.464392389775,221.638255045082,226.211926683674,0.775385953468145,0.781202435312024,0.789791258969341,0.791748206131768,,,,,0.295548216240565,0.309611454893558,0.317592519770092,0.324904690458067,,,,,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"Pre-growing season",36,209,TRUE,TRUE,241.433376598406,245.337579664724,247.395396090746,251.271428498058,0.71082974137931,0.718803879310345,0.719127155172414,0.726346982758621,,,,,0.169445548646098,0.180471583307263,0.18096007884444,0.194730043469231,,,,,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"Pre-growing season",37,209,TRUE,TRUE,206.022753884204,207.623974802166,209.477123084728,211.700579469249,0.811608514373491,0.818630678077683,0.817204301075269,0.828505595786702,,,,,0.368690237430075,0.390194206158426,0.399587936969368,0.416410698532687,0.377914267712358,,,,0.0487808057875603,0,0,0,FALSE,TRUE,TRUE,TRUE
"Pre-growing season",38,209,TRUE,TRUE,204.661645006579,207.217768784558,205.792915610299,209.087306637665,0.861521252796421,0.865659955257271,0.842505592841163,0.855592841163311,,,,,0.349948907737257,0.383361235573265,0.418911440091113,0.440263708373658,0.449821494026858,0.475799674941526,0.445474186308143,0.475298024774046,0.597201881747173,0.580141334273978,0.157590377517453,0.219664279064016,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",39,209,TRUE,TRUE,231.741596167569,230.041986685251,230.956702509919,230.071749509297,0.783088235294118,0.798348106365834,0.798751007252216,0.818896051571313,,,,,0.293215114270603,0.339326602237133,0.347630407577108,0.39527781945451,,,,,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"Pre-growing season",40,209,TRUE,TRUE,248.889517586592,254.511673807217,253.946967248346,259.268527958079,0.782528263103803,0.782014388489209,0.777903391572456,0.779445015416238,,,,,0.159231591388986,0.162868596476683,0.180042709900418,0.185323003476749,0.242127469608544,0.241749592444504,0.238846323471738,0.240506062659646,0.359844825129687,0.342245876036377,0.254161728964998,0.239034150241465,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",41,209,TRUE,TRUE,212.790312463618,216.502278307151,214.826331801914,218.852216380007,0.853680253264741,0.85199841709537,0.842204194697269,0.845765730114761,,,,,0.426517762479255,0.43890287981792,0.458295874947797,0.468861738655666,0.481801176075602,0.485262780665124,0.479000612498031,0.487066439280789,0.350975595303776,0.296302569057711,0.130740760770675,0.116761836340167,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",42,209,TRUE,TRUE,208.854694146854,208.953006672431,201.721193613746,203.981285572114,0.89667754945266,0.902246975225658,0.886594968311888,0.885634722488957,,,,,0.44800570547668,0.486030894393348,0.538878627912474,0.561225958600915,0.559878714776671,0.596090569547423,0.55328989102598,0.566984819261295,0.836240965101271,0.896443090443978,0.106134055019108,0.0437534133114258,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",43,209,TRUE,TRUE,220.618790537747,221.379391937606,227.038396307911,227.464618482768,0.799327122153209,0.805745341614907,0.811180124223603,0.808281573498965,,,,,0.346817227728867,0.385369093188159,0.358526077400556,0.396513396024956,,,,,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"Pre-growing season",44,209,TRUE,TRUE,229.390905632807,232.423426846603,236.555223874099,239.49549052736,0.795932203389831,0.808361581920904,0.794237288135593,0.809717514124294,,,,,0.196461592345492,0.213486734200176,0.207870471427562,0.223974695992672,0.286932314096012,0.304482868987696,0.300491408131837,0.32067452397929,0.417403214874653,0.4304211510812,0.435606755540665,0.468302299643776,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",45,209,TRUE,TRUE,232.865642182093,237.151089541032,237.485447367728,241.071091928064,0.825273631840796,0.83910447761194,0.795721393034826,0.82089552238806,,,,,0.297943097232705,0.310089718399222,0.327732195939166,0.343213344187769,0.359424855097051,0.398316410401929,0.329864908481416,0.378872254917063,0.315758233223676,0.482403355482986,0.0104700427121112,0.188871154153588,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",46,209,TRUE,TRUE,218.533581192213,218.719306723136,222.786849378976,222.043200370312,0.810511301294711,0.845841562431424,0.801953039280228,0.842879087118718,,,,,0.30328532584969,0.357638672573157,0.341027917322288,0.408093559217835,0.347789775397602,0.439387465332024,0.359141000762894,0.462776084034447,0.22448861556047,0.479730173041589,0.0929840356227708,0.334866506344763,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",47,209,TRUE,TRUE,219.506174256249,225.335195887516,213.74259585889,219.713984073333,0.827047413793103,0.82510775862069,0.814978448275862,0.814762931034483,,,,,0.285547434512394,0.290088288557208,0.392022305243508,0.392038939762901,0.383512345100528,0.377582453051987,,,0.522786847397422,0.462461678767248,0,0,FALSE,FALSE,TRUE,TRUE
"Pre-growing season",48,209,TRUE,TRUE,229.402156778025,231.504726085481,231.923309532297,232.908293003792,0.850201651622815,0.848377184559247,0.840407144228923,0.828596120606875,,,,,0.328847584703429,0.365926937506876,0.381340028567512,0.413025530425412,0.431230685945038,0.43515973569929,0.424909875413928,0.423902849004172,0.592203014263247,0.403241041716179,0.249246239158125,0.0621161616759739,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",49,209,TRUE,TRUE,216.946999665317,215.22119071451,220.415811836269,218.633803835487,0.853623188405797,0.876811594202899,0.843167701863354,0.867494824016563,,,,,0.357670195816977,0.41428931081021,0.400580550424072,0.453651649411495,0.45880824643307,0.537368867221302,0.450905096372527,0.526957806236731,0.61481138179411,0.875244837316303,0.301516402656125,0.509822575074116,FALSE,FALSE,FALSE,FALSE
"Pre-growing season",50,209,TRUE,TRUE,242.185526169046,245.242497105872,240.741766403871,244.752957833813,0.796143250688705,0.767020857929949,0.782565918929555,0.78901023219205,,,,,0.258049627279297,0.281928920296002,0.317436368785162,0.332317825980596,0.31033703863152,0.296017021853163,,,0.249424281187767,0.0658368139797764,0,0,FALSE,FALSE,TRUE,TRUE
"Post-growing season",1,209,TRUE,TRUE,74.0636632301855,76.2647934698069,73.6201015623157,73.4619288959877,0.981175390266299,0.988062442607897,0.975665748393021,0.971533516988062,,,,,0.154486657500785,0.265610749969726,0.610866936117301,0.858387181601242,0.9469345306288,0.921452843097855,0.849359422955881,0.895586455775685,49.1289163426168,27.4692819958719,5.20848265435459,1.17207693323985,FALSE,FALSE,FALSE,FALSE
"Post-growing season",2,209,TRUE,TRUE,62.556070978927,63.0130208345433,63.1287424961082,55.0072251417396,0.651477832512315,0.786535303776683,0.849753694581281,0.951559934318555,,,,,0.0842665350502507,0.313917848754048,0.919608589371606,0.956064497941602,,,,,0,0,0,0,TRUE,TRUE,TRUE,TRUE
"Post-growing season",3,209,TRUE,TRUE,84.1222664957297,85.5902048334453,78.0703202200107,79.0902982569727,0.917085427135678,0.966834170854271,0.875125628140703,0.934170854271357,,,,,0.0926487145418386,0.128740331003068,0.968449047542206,0.971782215230227,0.453794273824531,0.897006320799326,,0.974547887787967,2.17522667773795,24.540280701196,0,0.357483023025736,FALSE,FALSE,TRUE,FALSE
