"Season","Dropped","Variable_Group","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"Post-growing season","Hydrologic_Group","Site",188,6.28386623226012,118.370444944218,40.1049422360334,77.7427356682983,44.6327683615819
"Post-growing season","MeanSlope_per","Site",193,2.43767398776172,118.59495207812,38.01725369732,73.0628257863459,47.1204188481675
"Post-growing season","PerennialFrac","Agricultural",186,31.4453855882828,127.981065453002,57.4214154837075,95.9451316592011,53.3333333333333
"Post-growing season","Residue_Frac","Agricultural",189,11.8535126170224,95.6570356909472,35.6456859759453,67.8562587583447,50.8196721311475
"Post-growing season","Tile","Site",169,-1.60734623159389,114.22964337887,34.0655579125928,66.2781328413256,47.4683544303797
"Post-growing season","Tillage_Passes","Agricultural",188,10.72098867568,84.4431919016166,30.021917262447,56.0262513630703,42.4731182795699
"Pre-growing season","Hydrologic_Group","Site",32,4.91183766909732,30.3379596137031,8.74286924851851,30.3544088080036,21.875
"Pre-growing season","MeanSlope_per","Site",198,1.81494411016891,17.4305123282791,4.43949900711331,16.1616189972832,19.6969696969697
"Pre-growing season","PerennialFrac","Agricultural",199,2.64703338855612,24.0744336035885,5.60703652099189,22.6113399421504,20.1030927835052
"Pre-growing season","Residue_Frac","Agricultural",200,5.65307453290534,28.790334166372,7.94358185579656,28.391989771439,20.5128205128205
"Pre-growing season","Tile","Site",119,3.245338117301,19.9706621497559,5.34478303254838,19.9351412347766,17.6470588235294
"Pre-growing season","Tillage_Passes","Agricultural",200,3.5464398545766,26.2503704815305,6.17703037721163,25.4433377287705,15.5
