"Season","Rep","Comparison","Smaller_Model","Larger_Model","Delta_AIC","Chisq","P_Value"
"Pre-growing season",1,"Storm_Agricultural","Storm","Agricultural",-0.0535312190999946,5.94646878090001,0.114243880017091
"Pre-growing season",1,"Storm_Site","Storm","Site",-2.62717529671538,1.37282470328462,0.50337877943836
"Pre-growing season",1,"Agricultural_Full","Agricultural","Full",-3.93430431658317,0.0656956834168341,0.967685789804165
"Pre-growing season",1,"Site_Full","Site","Full",-1.36066023896778,4.63933976103222,0.200193180535129
"Pre-growing season",2,"Storm_Agricultural","Storm","Agricultural",-0.729177839335904,5.2708221606641,0.153006941203398
"Pre-growing season",2,"Storm_Site","Storm","Site",-0.920736298994349,1.07926370100565,0.298862329494186
"Pre-growing season",2,"Agricultural_Full","Agricultural","Full",0.383547659584991,2.38354765958499,0.122618802455097
"Pre-growing season",2,"Site_Full","Site","Full",0.575106119243436,6.57510611924344,0.0867471015886355
"Pre-growing season",3,"Storm_Agricultural","Storm","Agricultural",23.6336635510575,29.6336635510575,1.64793916727456e-06
"Pre-growing season",3,"Storm_Site","Storm","Site",-3.35173517238536,0.648264827614632,0.723154480401851
"Pre-growing season",3,"Agricultural_Full","Agricultural","Full",0.0915644092057448,4.09156440920574,0.129279027767181
"Pre-growing season",3,"Site_Full","Site","Full",27.0769631326486,33.0769631326486,3.10250117385822e-07
"Pre-growing season",4,"Storm_Agricultural","Storm","Agricultural",-0.664947999621333,5.33505200037867,0.14884402234634
"Pre-growing season",4,"Storm_Site","Storm","Site",-1.50790138876302,0.492098611236983,0.48299265262565
"Pre-growing season",4,"Agricultural_Full","Agricultural","Full",-0.772075352863695,1.22792464713631,0.267811024747445
"Pre-growing season",4,"Site_Full","Site","Full",0.0708780362779891,6.07087803627799,0.10821231552699
"Pre-growing season",5,"Storm_Agricultural","Storm","Agricultural",-3.53422515992727,2.46577484007273,0.481508100761438
"Pre-growing season",5,"Storm_Site","Storm","Site",-2.45379257172419,1.54620742827581,0.461578235911695
"Pre-growing season",5,"Agricultural_Full","Agricultural","Full",0.158755198107542,4.15875519810754,0.125007993083805
"Pre-growing season",5,"Site_Full","Site","Full",-0.921677390095539,5.07832260990446,0.166150999432264
"Pre-growing season",6,"Storm_Agricultural","Storm","Agricultural",-1.06149444317752,4.93850555682248,0.176355849226019
"Pre-growing season",6,"Storm_Site","Storm","Site",-2.06909087441572,1.93090912558428,0.380810058307113
"Pre-growing season",6,"Agricultural_Full","Agricultural","Full",-2.35899211677297,1.64100788322703,0.440209758583374
"Pre-growing season",6,"Site_Full","Site","Full",-1.35139568553477,4.64860431446523,0.199411995630869
"Pre-growing season",7,"Storm_Agricultural","Storm","Agricultural",-4.23697868903031,1.76302131096969,0.623014779430531
"Pre-growing season",7,"Storm_Site","Storm","Site",0.224436011470928,4.22443601147094,0.1209693579262
"Pre-growing season",7,"Agricultural_Full","Agricultural","Full",10.1669643974357,14.1669643974357,0.000838847024629514
"Pre-growing season",7,"Site_Full","Site","Full",5.70554969693444,11.7055496969344,0.00846299682173187
"Pre-growing season",8,"Storm_Agricultural","Storm","Agricultural",-3.69982576751968,2.30017423248032,0.512487529480851
"Pre-growing season",8,"Storm_Site","Storm","Site",7.1779939840066,11.1779939840066,0.00373877600689831
"Pre-growing season",8,"Agricultural_Full","Agricultural","Full",5.75361124845411,9.75361124845411,0.00762132054654294
"Pre-growing season",8,"Site_Full","Site","Full",-5.12420850307218,0.875791496927818,0.831265595351767
"Pre-growing season",9,"Storm_Agricultural","Storm","Agricultural",-3.13375379059387,2.86624620940613,0.41271039218123
"Pre-growing season",9,"Storm_Site","Storm","Site",-2.84277576506405,5.15722423493595,0.271542376502324
"Pre-growing season",9,"Agricultural_Full","Agricultural","Full",0.824002218826763,8.82400221882676,0.0656523295738
"Pre-growing season",9,"Site_Full","Site","Full",0.533024193296939,6.53302419329693,0.0883691703678218
