"Season","Model","Metric","Replications","Mean","SD","Median","Q25","Q75"
"Post-growing season","Agricultural","R2c",185,0.986641243636229,0.0590398449342664,0.999999999999997,0.999999999888046,0.999999999999999
"Post-growing season","Agricultural","R2m",200,0.672477829422547,0.142723253372746,0.68869707053406,0.558103462999572,0.766157869768836
"Post-growing season","Agricultural","RMSE",200,0.14252988153572,0.379843621641079,4.95115795269552e-14,1.3195356238719e-14,1.53511252270443e-09
"Post-growing season","Agricultural","Random_R2",185,0.304807604724736,0.135683384518307,0.288362540045588,0.208219437653524,0.375412483809781
"Post-growing season","Full","R2c",157,0.99478397431494,0.0354920296412521,0.999999999999986,0.999999999992951,0.999999999999996
"Post-growing season","Full","R2m",193,0.850017855079993,0.145909311677801,0.89765265913408,0.769544754070467,0.972887053759736
"Post-growing season","Full","RMSE",193,0.161171967704623,0.339105199773455,4.49347036328449e-13,6.6533754685904e-14,1.16284984736347e-08
"Post-growing season","Full","Random_R2",157,0.137381056991828,0.146967587677717,0.0937883384681677,0.0207713975352759,0.216233659822509
"Post-growing season","Site","R2c",153,0.985774394324474,0.0581550567349324,0.999999999980035,0.99447075505499,0.999999999999996
"Post-growing season","Site","R2m",200,0.683721951187311,0.160215800696044,0.686624413397349,0.575103523389543,0.80445377529526
"Post-growing season","Site","RMSE",200,0.344924759042984,0.4881083749831,0.113864953838177,6.55692473984816e-14,0.50621636470837
"Post-growing season","Site","Random_R2",153,0.287410095679436,0.169700947780769,0.267856967477929,0.160959026407568,0.39699460361276
"Post-growing season","Storm","R2c",182,0.94842540865015,0.124302677857248,0.99999999970619,0.990539071218188,0.999999999999999
"Post-growing season","Storm","R2m",200,0.530739038584589,0.17183868561479,0.535102189496776,0.418738331200169,0.647314403595572
"Post-growing season","Storm","RMSE",200,0.315433277093153,0.474076049399066,0.105549425997367,1.57499972795317e-14,0.308640504485551
"Post-growing season","Storm","Random_R2",182,0.412490595907169,0.184732013629657,0.391498196733776,0.283971908197101,0.528416083083978
"Pre-growing season","Agricultural","R2c",95,0.799996058396466,0.203270521741709,0.881223897206354,0.629690594278075,0.976498471966613
"Pre-growing season","Agricultural","R2m",199,0.389053638774232,0.146579020109573,0.376996598302543,0.290841786860503,0.492240891309643
"Pre-growing season","Agricultural","RMSE",199,0.944877997076434,0.554916676534191,0.982996612058438,0.505108014507915,1.4048895641835
"Pre-growing season","Agricultural","Random_R2",95,0.398304315782078,0.211431552897465,0.432726341027537,0.218624340030748,0.570960406383233
"Pre-growing season","Full","R2c",79,0.840618085201051,0.181996620826102,0.911942813857326,0.740938411427145,0.997878483747946
"Pre-growing season","Full","R2m",200,0.486878950465318,0.156456510877741,0.501533842306005,0.401248798468892,0.599237722826665
"Pre-growing season","Full","RMSE",200,0.908573559976842,0.526413507874263,0.958169080878008,0.551094191356087,1.33481444685707
"Pre-growing season","Full","Random_R2",79,0.353240702758022,0.20599533692605,0.355771288318467,0.198339393198346,0.479858695193245
"Pre-growing season","Site","R2c",89,0.740630337043898,0.216651612121924,0.777889388551362,0.58891666700173,0.93446030154079
"Pre-growing season","Site","R2m",200,0.354707965709246,0.157658110352243,0.351831261838708,0.245949351230596,0.473889348429254
"Pre-growing season","Site","RMSE",200,1.04786097608822,0.525413278804296,1.11281662778448,0.654055453735965,1.43856597894305
"Pre-growing season","Site","Random_R2",89,0.362720716509561,0.247359731620171,0.377091839995732,0.116672879658272,0.528698107398303
"Pre-growing season","Storm","R2c",108,0.674204728238234,0.26226610434088,0.736897725958333,0.432817887830859,0.905024903667433
"Pre-growing season","Storm","R2m",200,0.244390570839313,0.14336428145697,0.226239290708324,0.12361963337421,0.331306669186164
"Pre-growing season","Storm","RMSE",200,1.07221678277368,0.562214306907837,1.11392791848851,0.635569558678534,1.50862097266923
"Pre-growing season","Storm","Random_R2",108,0.419983352530737,0.27155288602113,0.459303768200912,0.145827805645411,0.61500012496922
