"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",1,"Storm",21,FALSE,TRUE,90.6530623781842,,1.57420979384407,0.233388988878277,,0,TRUE
"Pre-growing season",1,"Agricultural",21,FALSE,TRUE,90.7065935972842,,1.36638810431968,0.427847113966523,,0,TRUE
"Pre-growing season",1,"Site",21,FALSE,TRUE,93.2802376748996,,1.52358654682253,0.283639000640083,,0,TRUE
"Pre-growing season",1,"Full",21,FALSE,TRUE,94.6408979138673,,1.36425249403755,0.429685181385223,,0,TRUE
"Pre-growing season",2,"Storm",21,FALSE,FALSE,57.2545037564505,,0.63853299896522,0.116108270324794,0.210446733931596,0.0541213064946871,FALSE
"Pre-growing season",2,"Agricultural",21,FALSE,FALSE,57.9836815957864,,0.175036609394488,0.306126070094504,0.916522245956432,0.567485288015064,FALSE
"Pre-growing season",2,"Site",21,FALSE,FALSE,58.1752400554448,,0.692707737945857,0.159884243184863,,2.30543470149598e-16,TRUE
"Pre-growing season",2,"Full",21,FALSE,FALSE,57.6001339362014,,0.17151745779098,0.330514463207737,0.912282883149868,0.487321405484921,FALSE
"Pre-growing season",3,"Storm",21,FALSE,TRUE,70.9731862563129,,0.179184934623874,0.0414509973352421,0.949190906985305,1.80487153048382,FALSE
"Pre-growing season",3,"Agricultural",21,FALSE,TRUE,47.3395227052554,,0.00944413350092496,0.281950011159151,0.99991529756246,2.64540200008713,FALSE
"Pre-growing season",3,"Site",21,FALSE,TRUE,74.3249214286982,,0.178147902139692,0.0805272515934456,0.950108042307181,1.73628936722506,FALSE
"Pre-growing season",3,"Full",21,FALSE,TRUE,47.2479582960497,,0.00944071663705368,0.307062911094842,0.999892747305294,2.01444060453701,FALSE
"Pre-growing season",4,"Storm",21,FALSE,FALSE,79.670923941964,,1.21200248939828,0.13299183773074,,0,TRUE
"Pre-growing season",4,"Agricultural",21,FALSE,FALSE,80.3358719415853,,1.06742466689376,0.333979968067896,,0,TRUE
"Pre-growing season",4,"Site",21,FALSE,FALSE,81.178825330727,,1.19788476789748,0.15392196463174,,0,TRUE
"Pre-growing season",4,"Full",21,FALSE,FALSE,81.107947294449,,1.03666890102847,0.372993083780402,,0,TRUE
