"Analysis","Season","Model","Replications","Singular_Replications","Singular_Percent","Missing_Conditional_R2"
"Runoff coefficient","Post-growing season","Agricultural",200,15,7.5,15
"Runoff coefficient","Post-growing season","Full",200,36,18,43
"Runoff coefficient","Post-growing season","Site",200,47,23.5,47
"Runoff coefficient","Post-growing season","Storm",200,18,9,18
"Runoff coefficient","Pre-growing season","Agricultural",200,104,52,105
"Runoff coefficient","Pre-growing season","Full",200,121,60.5,121
"Runoff coefficient","Pre-growing season","Site",200,111,55.5,111
"Runoff coefficient","Pre-growing season","Storm",200,92,46,92
"Runoff occurrence","Post-growing season","Agricultural",50,2,4,2
"Runoff occurrence","Post-growing season","Full",50,30,60,32
"Runoff occurrence","Post-growing season","Site",50,16,32,17
"Runoff occurrence","Post-growing season","Storm",50,1,2,1
"Runoff occurrence","Pre-growing season","Agricultural",50,9,18,9
"Runoff occurrence","Pre-growing season","Full",50,17,34,17
"Runoff occurrence","Pre-growing season","Site",50,16,32,16
"Runoff occurrence","Pre-growing season","Storm",50,7,14,7
