"Season","Rep","Comparison","Smaller_Model","Larger_Model","Delta_AIC","Chisq","P_Value"
"Pre-growing season",1,"Storm_Agricultural","Storm","Agricultural",-0.958054790380857,5.04194520961914,0.168751350583231
"Pre-growing season",1,"Storm_Site","Storm","Site",-2.97471887148481,5.02528112851519,0.284713316468842
"Pre-growing season",1,"Agricultural_Full","Agricultural","Full",-2.45413282701202,5.54586717298798,0.235727041306298
"Pre-growing season",1,"Site_Full","Site","Full",-0.437468745908063,5.56253125409194,0.134946027231527
"Pre-growing season",2,"Storm_Agricultural","Storm","Agricultural",3.67938479336294,9.67938479336294,0.0214976261394867
"Pre-growing season",2,"Storm_Site","Storm","Site",6.2285992037414,14.2285992037414,0.00660009184787283
"Pre-growing season",2,"Agricultural_Full","Agricultural","Full",4.70292089095096,12.702920890951,0.0128224023798141
"Pre-growing season",2,"Site_Full","Site","Full",2.15370648057251,8.15370648057251,0.0429396030917678
"Pre-growing season",3,"Storm_Agricultural","Storm","Agricultural",5.59206278632632,11.5920627863263,0.00891959927957404
"Pre-growing season",3,"Storm_Site","Storm","Site",3.68180086967504,11.681800869675,0.0198811930029187
"Pre-growing season",3,"Agricultural_Full","Agricultural","Full",2.63154328104315,10.6315432810432,0.0310324545709399
"Pre-growing season",3,"Site_Full","Site","Full",4.54180519769443,10.5418051976944,0.0144799735554047
"Pre-growing season",4,"Storm_Agricultural","Storm","Agricultural",-2.61071122510589,3.38928877489411,0.335407393864367
"Pre-growing season",4,"Storm_Site","Storm","Site",5.46076061931399,13.460760619314,0.00923068287338692
"Pre-growing season",4,"Agricultural_Full","Agricultural","Full",6.0524448678857,14.0524448678857,0.0071295408160177
"Pre-growing season",4,"Site_Full","Site","Full",-2.01902697653418,3.98097302346582,0.263526043011767
"Pre-growing season",5,"Storm_Agricultural","Storm","Agricultural",-0.66850274935473,5.33149725064527,0.149071589843649
"Pre-growing season",5,"Storm_Site","Storm","Site",5.25555118027114,13.2555511802711,0.0100923322961366
"Pre-growing season",5,"Agricultural_Full","Agricultural","Full",5.19117872533388,13.1911787253339,0.0103784718690996
"Pre-growing season",5,"Site_Full","Site","Full",-0.732875204291986,5.26712479570801,0.153249894264535
"Pre-growing season",6,"Storm_Agricultural","Storm","Agricultural",-5.63704067768663,0.362959322313372,0.947783312012199
"Pre-growing season",6,"Storm_Site","Storm","Site",1.38797244811713,9.38797244811713,0.052100764606383
