"Season","Model","Metric","Replications","Mean","SD","Median","Q25","Q75"
"Growing season","Agricultural","AUC",50,0.938239425660117,0.00873859375386391,0.9394049482696,0.932254732853069,0.943573264535891
"Growing season","Agricultural","R2c",50,0.751153782278333,0.0289433103928237,0.754136701647223,0.734209407393245,0.769268354486818
"Growing season","Agricultural","R2m",50,0.635805663503289,0.0362299068931289,0.638931541159785,0.617928799296387,0.654794950068452
"Growing season","Agricultural","Random_R2",50,0.115348118775044,0.0229276128734496,0.116945376392828,0.0979751162732834,0.125568542525505
"Growing season","Full","AUC",50,0.938119239588208,0.00876813928284729,0.939413124157588,0.93210717956964,0.94352372507157
"Growing season","Full","R2c",50,0.7496436562521,0.0293807367421173,0.752632697334739,0.732589419939831,0.767958161683952
"Growing season","Full","R2m",50,0.647213549895627,0.0349397354077892,0.653942826538344,0.625982761594228,0.667549932525747
"Growing season","Full","Random_R2",50,0.102430106356473,0.022199944681149,0.0997934094497742,0.0853643538997204,0.116801913042076
"Growing season","Site","AUC",50,0.935472467225239,0.0094691744317988,0.936407298008921,0.9295985452491,0.94142940131077
"Growing season","Site","R2c",50,0.735911373695092,0.0319440369798066,0.737192118505696,0.720855636027915,0.75352089253159
"Growing season","Site","R2m",50,0.649663031223944,0.0347651066579912,0.655734019662837,0.626967572269846,0.669299723660321
"Growing season","Site","Random_R2",50,0.0862483424711479,0.0195909566537378,0.0841210145616531,0.0700993113141986,0.10094573890428
"Growing season","Storm","AUC",50,0.935568306762598,0.00944067183840321,0.936621642341035,0.929998676812359,0.94163386151627
"Growing season","Storm","R2c",50,0.736320428269968,0.0317137446393804,0.740312190493359,0.720638430930024,0.753354266176409
"Growing season","Storm","R2m",50,0.637418617148581,0.0366336586155548,0.643335976326751,0.615866944875465,0.658737718296627
"Growing season","Storm","Random_R2",50,0.0989018111213876,0.0203875044228293,0.0975537301892264,0.086769010357391,0.11174042693626
"Post-growing season","Agricultural","AUC",50,0.923550723434754,0.0131069094549821,0.926239259975439,0.912569831181646,0.931936253909978
"Post-growing season","Agricultural","R2c",50,0.680789014509339,0.0402019147735974,0.685571604499069,0.641867563968025,0.711007607940214
"Post-growing season","Agricultural","R2m",50,0.46637001775378,0.0374307327450562,0.464691697036372,0.444464680571497,0.489468899418775
"Post-growing season","Agricultural","Random_R2",50,0.214418996755559,0.0352289934905941,0.212846103140239,0.185451881363452,0.233561963301008
"Post-growing season","Full","AUC",50,0.922167048572997,0.0133364100808154,0.924555224014566,0.911962133882589,0.931385086862329
"Post-growing season","Full","R2c",50,0.67502430411835,0.0417492101798608,0.677528150615936,0.636707371767076,0.707784321534424
"Post-growing season","Full","R2m",50,0.550532623341699,0.0365866616586722,0.546875173064895,0.520717001787546,0.583937381241435
"Post-growing season","Full","Random_R2",50,0.124491680776651,0.0331273814833731,0.124156897897415,0.09867355139813,0.144146708035084
"Post-growing season","Site","AUC",50,0.911201802485043,0.0141373442031507,0.914102553759184,0.901787658101171,0.92029415473971
"Post-growing season","Site","R2c",50,0.610951658928432,0.0410421144717502,0.614461191200363,0.579940128667014,0.640890485618101
"Post-growing season","Site","R2m",50,0.525119633844694,0.0384606098961001,0.522327806963347,0.495080320819741,0.548693552727417
"Post-growing season","Site","Random_R2",50,0.0858320250837377,0.0257047183975742,0.0873493893312635,0.0740095915679043,0.100961787450946
"Post-growing season","Storm","AUC",50,0.913499224642163,0.0136560279951326,0.916120496451304,0.904866663667263,0.92240460865949
"Post-growing season","Storm","R2c",50,0.614804564062963,0.0407233640991349,0.617611743054727,0.58685352377003,0.640889811443872
"Post-growing season","Storm","R2m",50,0.426448231816096,0.0391737638001632,0.428162414454666,0.396211634453936,0.456134501089649
"Post-growing season","Storm","Random_R2",50,0.188356332246868,0.0319851734911899,0.184340309030744,0.165982950352084,0.208487784024016
"Pre-growing season","Agricultural","AUC",50,0.782523612453069,0.012899058024467,0.782435368501451,0.773844610307877,0.791044225866543
"Pre-growing season","Agricultural","R2c",50,0.329429519208716,0.0309945207732138,0.327194955047717,0.303620697801771,0.352944585162018
"Pre-growing season","Agricultural","R2m",50,0.167233735422875,0.0239125474573155,0.17047706902836,0.147104068023793,0.184252666909026
"Pre-growing season","Agricultural","Random_R2",50,0.162195783785842,0.0258166268749853,0.162895166988008,0.144266037929982,0.180437353353724
"Pre-growing season","Full","AUC",50,0.781023491221485,0.0133128900166213,0.781028184064123,0.771560861628752,0.789714948198425
"Pre-growing season","Full","R2c",50,0.316316928169378,0.0309636422443414,0.317222890689595,0.293695531678565,0.341161710126931
"Pre-growing season","Full","R2m",50,0.225109510860773,0.0269802619658998,0.229996413096478,0.205432769168639,0.240159141429539
"Pre-growing season","Full","Random_R2",50,0.0912074173086047,0.0224444884428658,0.090779640466384,0.07267160726203,0.106707711019899
"Pre-growing season","Site","AUC",50,0.778451591564995,0.0134973424840599,0.777192787393169,0.768439848842064,0.788217713490881
"Pre-growing season","Site","R2c",50,0.302645053711827,0.0285294650762634,0.304578682447073,0.283100468648441,0.323567759746273
"Pre-growing season","Site","R2m",50,0.218771862855248,0.0264613728230677,0.220831563295142,0.199202317697198,0.234490573035978
"Pre-growing season","Site","Random_R2",50,0.0838731908565786,0.0194910017306587,0.0849298245939235,0.0695402495582461,0.0962872697399139
"Pre-growing season","Storm","AUC",50,0.779870576646154,0.0130844311213796,0.778923525760948,0.770073070016001,0.788927610002296
"Pre-growing season","Storm","R2c",50,0.307714983528694,0.0273663310936362,0.30760146711247,0.288391164507338,0.328561414830781
"Pre-growing season","Storm","R2m",50,0.156521347221315,0.0227697596065496,0.157217059481879,0.139159915417858,0.173434603156728
"Pre-growing season","Storm","Random_R2",50,0.151193636307379,0.0235616061209362,0.151995357273496,0.134732528658472,0.164668547763554
