"Season","Dropped","Variable_Group","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"Growing season","Hydrologic_Group","Site",200,0.833435239640626,2.76282805354587,4.83343523964063,2.76282805354587,30
"Growing season","MeanSlope_per","Site",200,-0.945237975684937,1.47064259989227,1.05476202431506,1.47064259989227,6
"Growing season","PerennialFrac","Agricultural",200,-0.801621200191278,1.56574555613995,1.19837879980872,1.56574555613995,5
"Growing season","Tile","Site",200,-1.110837519461,1.16649144040394,0.889162480539001,1.16649144040394,4
"Growing season","Tillage_Passes","Agricultural",200,-0.469618530829677,2.08064011923146,1.53038146917032,2.08064011923146,11
"Post-growing season","Hydrologic_Group","Site",197,10.9993863031605,4.98357731415631,14.9993863031605,4.98357731415631,96.4467005076142
"Post-growing season","MeanSlope_per","Site",200,0.3565779315411,2.19819921582482,2.3565779315411,2.19819921582482,20.5
"Post-growing season","PerennialFrac","Agricultural",200,1.28046849348031,3.80025953228262,3.28046849348031,3.80025953228262,28
"Post-growing season","Residue_Frac","Agricultural",200,-0.396782301820676,1.96578726797487,1.60321769817932,1.96578726797487,13
"Post-growing season","Tile","Site",146,1.15452266178141,2.2273635499596,3.15452266178141,2.2273635499596,30.1369863013699
"Post-growing season","Tillage_Passes","Agricultural",200,-0.706663060734348,1.75971157662841,1.29333693926565,1.75971157662841,8
"Pre-growing season","Hydrologic_Group","Site",200,8.97868060963834,5.51488448680541,12.9786806096383,5.51488448680541,89.5
"Pre-growing season","MeanSlope_per","Site",200,-0.620748484699963,1.88206822927651,1.37925151530004,1.88206822927651,10.5
"Pre-growing season","PerennialFrac","Agricultural",200,0.199028009207813,2.72321651807769,2.19902800920781,2.72321651807769,21
"Pre-growing season","Residue_Frac","Agricultural",200,0.431457024339836,2.96772290218318,2.43145702433984,2.96772290218318,24.5
"Pre-growing season","Tile","Site",200,0.319215894300209,2.34938542796986,2.31921589430021,2.34938542796986,23.5
"Pre-growing season","Tillage_Passes","Agricultural",200,2.3196547934064,3.76560802611586,4.3196547934064,3.76560802611586,46
