"Season","Comparison","Smaller_Model","Larger_Model","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"Growing season","Agricultural_Full","Agricultural","Full",200,-1.38812354687953,3.07044244229229,6.61187645312047,3.07044244229229,18.5
"Growing season","Site_Full","Site","Full",200,-1.01844352228051,2.69865605578372,2.98155647771949,2.69865605578372,12
"Growing season","Storm_Agricultural","Storm","Agricultural",200,-0.652479619575738,2.70561923807778,3.34752038042426,2.70561923807778,15
"Growing season","Storm_Site","Storm","Site",200,-1.02215964417476,3.08138018702551,6.97784035582524,3.08138018702551,20.5
"Post-growing season","Agricultural_Full","Agricultural","Full",200,9.20690400808273,5.40566592552705,16.6069040080827,5.91209849451261,93
"Post-growing season","Site_Full","Site","Full",200,-0.435024424953841,4.45035852744408,5.56497557504616,4.45035852744408,21.5
"Post-growing season","Storm_Agricultural","Storm","Agricultural",200,-2.09463225165442,3.2566722626056,3.90536774834558,3.2566722626056,11.5
"Post-growing season","Storm_Site","Storm","Site",200,7.54729618138216,4.38703517251865,14.9472961813822,4.81809338750074,94.5
"Pre-growing season","Agricultural_Full","Agricultural","Full",200,7.21914798332697,5.45696548831336,15.219147983327,5.45696548831336,84
"Pre-growing season","Site_Full","Site","Full",200,2.65224525246534,4.8483099495308,8.65224525246534,4.8483099495308,48.5
"Pre-growing season","Storm_Agricultural","Storm","Agricultural",200,0.369213029219449,4.06592773208813,6.36921302921945,4.06592773208813,31.5
"Pre-growing season","Storm_Site","Storm","Site",200,4.93611576008108,4.80924463358329,12.9361157600811,4.80924463358329,74.5
