"Season","Rep","Comparison","Smaller_Model","Larger_Model","Delta_AIC","Chisq","P_Value"
"Pre-growing season",1,"Storm_Agricultural","Storm","Agricultural",3.10621505415992,9.10621505415992,0.0279115291738901
"Pre-growing season",1,"Storm_Site","Storm","Site",1.7047648694604,9.7047648694604,0.0457056387448474
"Pre-growing season",1,"Agricultural_Full","Agricultural","Full",0.781894750394372,8.78189475039437,0.066788375010125
"Pre-growing season",1,"Site_Full","Site","Full",2.18334493509388,8.18334493509388,0.0423706616341176
"Pre-growing season",2,"Storm_Agricultural","Storm","Agricultural",-3.40533187967293,2.59466812032707,0.458425061105412
"Pre-growing season",2,"Storm_Site","Storm","Site",-2.44760109298954,5.55239890701046,0.235161824896728
"Pre-growing season",2,"Agricultural_Full","Agricultural","Full",-2.05678969686397,5.94321030313603,0.203429693904835
"Pre-growing season",2,"Site_Full","Site","Full",-3.01452048354736,2.98547951645264,0.393869371579
"Pre-growing season",3,"Storm_Agricultural","Storm","Agricultural",-0.672026669371064,5.32797333062894,0.149297508266697
"Pre-growing season",3,"Storm_Site","Storm","Site",8.67484635773917,16.6748463577392,0.00223527088793169
"Pre-growing season",3,"Agricultural_Full","Agricultural","Full",9.81355402464936,17.8135540246494,0.00134204871246827
"Pre-growing season",3,"Site_Full","Site","Full",0.466680997539129,6.46668099753913,0.0909858253520509
"Pre-growing season",4,"Storm_Agricultural","Storm","Agricultural",-0.774444527057653,5.22555547294235,0.156006581559921
"Pre-growing season",4,"Storm_Site","Storm","Site",20.2350499181507,28.2350499181507,1.11768006896547e-05
"Pre-growing season",4,"Agricultural_Full","Agricultural","Full",26.4638966063063,34.4638966063063,5.98539780764548e-07
"Pre-growing season",4,"Site_Full","Site","Full",5.45440216109796,11.454402161098,0.00950619518744902
"Pre-growing season",5,"Storm_Agricultural","Storm","Agricultural",-4.56772163784939,1.43227836215061,0.697986251088988
"Pre-growing season",5,"Storm_Site","Storm","Site",13.7473358334461,21.7473358334461,0.000225014717108394
"Pre-growing season",5,"Agricultural_Full","Agricultural","Full",17.1839947066611,25.1839947066611,4.62006743490415e-05
"Pre-growing season",5,"Site_Full","Site","Full",-1.13106276463441,4.86893723536559,0.181649642369011
"Pre-growing season",6,"Storm_Agricultural","Storm","Agricultural",0.508657850736085,6.50865785073609,0.0893216843946198
"Pre-growing season",6,"Storm_Site","Storm","Site",2.49219450918031,10.4921945091803,0.032904678583004
"Pre-growing season",6,"Agricultural_Full","Agricultural","Full",1.58642006497746,9.58642006497746,0.0480014776210646
"Pre-growing season",6,"Site_Full","Site","Full",-0.397116593466762,5.60288340653324,0.132612922690757
"Pre-growing season",7,"Storm_Agricultural","Storm","Agricultural",0.88684805830195,6.88684805830195,0.0755931055342543
"Pre-growing season",7,"Storm_Site","Storm","Site",10.4175825580222,18.4175825580222,0.00102246179010531
"Pre-growing season",7,"Agricultural_Full","Agricultural","Full",12.2321695264229,20.2321695264229,0.000449357566144182
"Pre-growing season",7,"Site_Full","Site","Full",2.70143502670271,8.70143502670271,0.0335354810356118
"Pre-growing season",8,"Storm_Agricultural","Storm","Agricultural",-5.68242065282573,0.317579347174274,0.956689075675719
"Pre-growing season",8,"Storm_Site","Storm","Site",11.482384255437,19.482384255437,0.000631693628780731
"Pre-growing season",8,"Agricultural_Full","Agricultural","Full",14.4756517583172,22.4756517583172,0.000161130777176266
"Pre-growing season",8,"Site_Full","Site","Full",-2.68915314994547,3.31084685005453,0.346135816192655
"Pre-growing season",9,"Storm_Agricultural","Storm","Agricultural",6.57367032297003,12.57367032297,0.00565543035146889
"Pre-growing season",9,"Storm_Site","Storm","Site",1.65195003857474,9.65195003857474,0.0467169302186384
"Pre-growing season",9,"Agricultural_Full","Agricultural","Full",1.40235855867581,9.40235855867581,0.0517926912731491
"Pre-growing season",9,"Site_Full","Site","Full",6.32407884307111,12.3240788430711,0.00635157709504708
"Pre-growing season",10,"Storm_Agricultural","Storm","Agricultural",-2.06396171321154,3.93603828678846,0.268454185506119
"Pre-growing season",10,"Storm_Site","Storm","Site",0.781937593873067,8.78193759387307,0.0667872096902457
"Pre-growing season",10,"Agricultural_Full","Agricultural","Full",1.75202867700324,9.75202867700324,0.0448184389733452
"Pre-growing season",10,"Site_Full","Site","Full",-1.09387063008137,4.90612936991863,0.178801280925896
