"Season","Model","Metric","Replications","Mean","SD","Median","Q25","Q75"
"Growing season","Agricultural","R2c",200,0.505023093187755,0.0892260028394257,0.511973980221288,0.439930311149477,0.569626148174969
"Growing season","Agricultural","R2m",200,0.235772178650689,0.0727435035613837,0.233725365511064,0.179862557837529,0.287088201565678
"Growing season","Agricultural","RMSE",200,1.41378574991488,0.1456158810933,1.39956395033935,1.31768978017233,1.50863502845069
"Growing season","Agricultural","Random_R2",200,0.269250914537067,0.0886679097966029,0.266556669871227,0.215102986348347,0.329671273123717
"Growing season","Full","R2c",189,0.504565121857623,0.0861867559174428,0.513981628082151,0.437490784494622,0.5702733150629
"Growing season","Full","R2m",200,0.322169982961291,0.0670150232825811,0.32114679632525,0.272038618464835,0.366886444112594
"Growing season","Full","RMSE",200,1.43979187349662,0.16218032318974,1.41672346625919,1.33836608717535,1.53671060941633
"Growing season","Full","Random_R2",189,0.182446409501215,0.0814802841472349,0.181611246252999,0.121158629754899,0.244177272449217
"Growing season","Site","R2c",190,0.477423594244004,0.088027342867549,0.484902308460222,0.42501490531607,0.538515052057765
"Growing season","Site","R2m",200,0.300723571389899,0.066427673980264,0.299931326322173,0.253165437359558,0.338591577840466
"Growing season","Site","RMSE",200,1.46550857086638,0.155740512699264,1.4505668375932,1.36003412717675,1.55325356162182
"Growing season","Site","Random_R2",190,0.178792329633203,0.0828737009972009,0.172170609636668,0.125462480320878,0.233323093548994
"Growing season","Storm","R2c",200,0.475612018897465,0.0884864718216515,0.486734471113477,0.419496484573748,0.534288261144474
"Growing season","Storm","R2m",200,0.204684376407117,0.0678508557442608,0.20515889218353,0.15460354345799,0.251922579142881
"Growing season","Storm","RMSE",200,1.44129361253899,0.1418613652911,1.42643783184847,1.3396736770972,1.53357960229592
"Growing season","Storm","Random_R2",200,0.270927642490348,0.0907628080115369,0.270744791116657,0.210952958635156,0.329267815427194
"Post-growing season","Agricultural","R2c",200,0.746773278918813,0.0767475625308852,0.749184016716088,0.694364283924095,0.813740515474991
"Post-growing season","Agricultural","R2m",200,0.106250017008747,0.0519560638219827,0.103235926181822,0.0662758524834866,0.134076302937055
"Post-growing season","Agricultural","RMSE",200,1.19199391948581,0.107698277119757,1.1964823614184,1.11342382976033,1.26660428849969
"Post-growing season","Agricultural","Random_R2",200,0.640523261910066,0.0726955407532861,0.652431642577579,0.596737756367237,0.686516345640902
