"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",1,"Storm",114,TRUE,TRUE,471.077974417775,,1.61577274682009,0.142245513940271,0.292273385685673,0.609487088598856,FALSE
"Pre-growing season",1,"Agricultural",114,TRUE,TRUE,467.971759363615,,1.52313472007033,0.19967286185797,0.372146837528982,0.710932050726493,FALSE
"Pre-growing season",1,"Site",114,TRUE,TRUE,469.373209548315,,1.61762739188559,0.264357510717353,0.333500919986852,0.289321596724279,FALSE
"Pre-growing season",1,"Full",114,TRUE,TRUE,467.189864613221,,1.51365375328893,0.320381116424868,0.421453257745677,0.436687009423037,FALSE
"Pre-growing season",2,"Storm",114,TRUE,TRUE,468.502939685252,,1.41584970298836,0.0327203443457828,0.508480100427226,2.27065281398137,FALSE
"Pre-growing season",2,"Agricultural",114,TRUE,TRUE,471.908271564925,,1.40724366706108,0.0530059042504809,0.504725328915683,2.10948764121091,FALSE
"Pre-growing season",2,"Site",114,TRUE,TRUE,470.950540778242,,1.4162738695292,0.170362521029399,0.520869435290096,1.70054041282859,FALSE
"Pre-growing season",2,"Full",114,TRUE,TRUE,473.965061261789,,1.43786346046865,0.212188553919104,0.483547570796395,1.24281157639348,FALSE
"Pre-growing season",3,"Storm",114,TRUE,TRUE,438.210948345664,,1.20281608042326,0.15085222295963,0.577088482722463,1.75533694751176,FALSE
"Pre-growing season",3,"Agricultural",114,TRUE,TRUE,438.882975015036,,1.17003372991754,0.175650882163633,0.597545385525948,1.73078532474813,FALSE
"Pre-growing season",3,"Site",114,TRUE,TRUE,429.536101987925,,1.23423617911493,0.399236364433184,0.563532216940086,0.655213572769207,FALSE
"Pre-growing season",3,"Full",114,TRUE,TRUE,429.069420990386,,1.21377670480455,0.438414451579625,0.577833318050717,0.551851259001081,FALSE
"Pre-growing season",4,"Storm",114,TRUE,TRUE,445.639842062258,,1.36174944391541,0.0852307694479789,0.347768190531906,0.857188803378784,FALSE
"Pre-growing season",4,"Agricultural",114,TRUE,TRUE,446.414286589316,,1.33172846487672,0.13708248571548,0.383548762105211,0.813986008000448,FALSE
"Pre-growing season",4,"Site",114,TRUE,TRUE,425.404792144108,,1.4321154122104,0.38872301185689,,0,TRUE
"Pre-growing season",4,"Full",114,TRUE,TRUE,419.95038998301,,1.36194531232077,0.44744333251382,,0,TRUE
"Pre-growing season",5,"Storm",114,TRUE,TRUE,460.228786593759,,1.51164735907034,0.0306819910775111,0.241568684444295,0.708626021181427,FALSE
"Pre-growing season",5,"Agricultural",114,TRUE,TRUE,464.796508231609,,1.52332637452779,0.0516314772576581,0.22931101537059,0.591088951153465,FALSE
"Pre-growing season",5,"Site",114,TRUE,TRUE,446.481450760313,,1.5708142972462,0.296733858108732,,0,TRUE
"Pre-growing season",5,"Full",114,TRUE,TRUE,447.612513524948,,1.53762521447934,0.326313246588147,,0,TRUE
"Pre-growing season",6,"Storm",114,TRUE,TRUE,442.443111334912,,1.37403057974051,0.179683287289017,0.37892503636313,0.684554330738606,FALSE
"Pre-growing season",6,"Agricultural",114,TRUE,TRUE,441.934453484176,,1.32639141271738,0.215646959731485,0.417739470263484,0.693112396337086,FALSE
"Pre-growing season",6,"Site",114,TRUE,TRUE,439.950916825731,,1.37134511266533,0.335275381013536,0.43735517890183,0.374162478369934,FALSE
"Pre-growing season",6,"Full",114,TRUE,TRUE,440.348033419198,,1.33180677391226,0.365909928823843,0.468885291409378,0.37841562240946,FALSE
"Pre-growing season",7,"Storm",114,TRUE,TRUE,477.829188698213,,1.68660786053838,0.108276519746563,0.239210463481103,0.534211857821491,FALSE
"Pre-growing season",7,"Agricultural",114,TRUE,TRUE,476.942340639911,,1.66692233112486,0.177284787698664,0.270445823101535,0.381817726252334,FALSE
"Pre-growing season",7,"Site",114,TRUE,TRUE,467.411606140191,,1.72183928750202,0.307350640977082,,0,TRUE
"Pre-growing season",7,"Full",114,TRUE,TRUE,464.710171113489,,1.6573648212743,0.358541067456561,,0,TRUE
"Pre-growing season",8,"Storm",114,TRUE,TRUE,471.531812301501,,1.45930008101734,0.104639838793201,0.475559463603805,1.76199987574147,FALSE
"Pre-growing season",8,"Agricultural",114,TRUE,TRUE,477.214232954327,,1.45261745676022,0.108072672305219,0.484921335235693,1.80867659629636,FALSE
"Pre-growing season",8,"Site",114,TRUE,TRUE,460.049428046064,,1.51890000143483,0.447780069615637,0.519329634176382,0.37249477711002,FALSE
"Pre-growing season",8,"Full",114,TRUE,TRUE,462.73858119601,,1.54499358430997,0.474391381659505,0.514948667506882,0.211145813251874,FALSE
"Pre-growing season",9,"Storm",114,TRUE,TRUE,436.63539222163,,1.17990704706743,0.0699066316247298,0.57783609292352,2.02240430351215,FALSE
"Pre-growing season",9,"Agricultural",114,TRUE,TRUE,430.06172189866,,1.15688084003473,0.254559873916508,0.599671313671326,1.37126492052368,FALSE
"Pre-growing season",9,"Site",114,TRUE,TRUE,434.983442183055,,1.20739198169789,0.322420724712997,0.587404984856118,1.09617411379315,FALSE
"Pre-growing season",9,"Full",114,TRUE,TRUE,428.659363339984,,1.19944073554685,0.408804769144123,0.573929441259951,0.635368491029005,FALSE
"Pre-growing season",10,"Storm",114,TRUE,TRUE,493.353379460974,,1.82607945621803,0.140837144690372,0.246000395393949,0.503649939948347,FALSE
"Pre-growing season",10,"Agricultural",114,TRUE,TRUE,495.417341174186,,1.81474233009207,0.185312569931004,0.270020405730566,0.41024564658399,FALSE
"Pre-growing season",10,"Site",114,TRUE,TRUE,492.571441867101,,1.81156928537447,0.254780181195528,0.309715561652027,0.275892507886236,FALSE
"Pre-growing season",10,"Full",114,TRUE,TRUE,493.665312497183,,1.81713437708033,0.293010796838405,0.321186317191935,0.141691041135053,FALSE
"Pre-growing season",11,"Storm",114,TRUE,TRUE,439.457681872115,,1.36860684147217,0.178697360060274,0.369790020954344,0.63710049134479,FALSE
"Pre-growing season",11,"Agricultural",114,TRUE,TRUE,438.854245934616,,1.28831751152787,0.237028035578224,0.470673345958582,0.837621419993463,FALSE
"Pre-growing season",11,"Site",114,TRUE,TRUE,436.147515705565,,1.50120762721723,0.342287707078008,,6.98514462925403e-15,TRUE
"Pre-growing season",11,"Full",114,TRUE,TRUE,437.035359092509,,1.35949782472147,0.366011077636161,0.431459440904661,0.227797523001541,FALSE
"Pre-growing season",12,"Storm",114,TRUE,TRUE,476.882220465218,,1.58627672039937,0.0725033366134962,0.309253769568445,0.981286720590997,FALSE
