"Season","Rep","n","Dropped","Variable_Group","AIC_Dropped","AIC_Full","Delta_AIC","Chisq","P_Value"
"Spring",1,2037,"Tillage_Passes","Agricultural",1612.41805810484,1610.76467924371,1.65337886113116,3.65337886113116,0.0559555850382632
"Spring",1,2037,"PerennialFrac","Agricultural",1611.25708485608,1610.76467924371,0.49240561237184,2.49240561237184,0.114396750617571
"Spring",1,2037,"Residue_Frac","Agricultural",1609.02815295201,1610.76467924371,-1.73652629170124,0.263473708298761,0.607743651619399
"Spring",1,2037,"MeanSlope_per","Site",1610.55180276549,1610.76467924371,-0.212876478219187,1.78712352178081,0.181277026313846
"Spring",1,2037,"Hydrologic_Group","Site",1609.89856164053,1610.76467924371,-0.866117603173507,3.13388239682649,0.208682525547182
"Spring",1,2037,"Tile","Site",1608.81670883523,1610.76467924371,-1.94797040848084,0.0520295915191582,0.81956853158647
"Spring",2,2037,"Tillage_Passes","Agricultural",1660.48280125659,1655.32640188377,5.15639937282276,7.15639937282276,0.00746969937538335
"Spring",2,2037,"PerennialFrac","Agricultural",1656.57939358918,1655.32640188377,1.25299170540848,3.25299170540848,0.0712932208408158
"Spring",2,2037,"Residue_Frac","Agricultural",1653.41085161031,1655.32640188377,-1.91555027345362,0.0844497265463815,0.771355461623753
"Spring",2,2037,"MeanSlope_per","Site",1655.49442639818,1655.32640188377,0.168024514407307,2.16802451440731,0.140907142065499
"Spring",2,2037,"Hydrologic_Group","Site",1659.63943508031,1655.32640188377,4.31303319654035,8.31303319654035,0.0156620201160229
"Spring",2,2037,"Tile","Site",1653.33725521693,1655.32640188377,-1.98914666683845,0.010853333161549,0.917027035594099
"Spring",3,2037,"Tillage_Passes","Agricultural",1619.9220795524,1617.53500543278,2.38707411961855,4.38707411961855,0.0362124069512918
"Spring",3,2037,"PerennialFrac","Agricultural",1624.66594033697,1617.53500543278,7.1309349041835,9.1309349041835,0.00251323257665839
"Spring",3,2037,"Residue_Frac","Agricultural",1616.29066342677,1617.53500543278,-1.24434200601422,0.755657993985778,0.384690767443233
"Spring",3,2037,"MeanSlope_per","Site",1619.94943233641,1617.53500543278,2.41442690362487,4.41442690362487,0.0356362472972185
"Spring",3,2037,"Hydrologic_Group","Site",1619.28368409988,1617.53500543278,1.74867866709542,5.74867866709542,0.05645342406949
"Spring",3,2037,"Tile","Site",1615.62868181138,1617.53500543278,-1.90632362140764,0.0936763785923631,0.759554416628595
"Spring",4,2037,"Tillage_Passes","Agricultural",1557.8448287272,1559.35622756909,-1.51139884189524,0.488601158104757,0.484551960160291
"Spring",4,2037,"PerennialFrac","Agricultural",1557.82635301495,1559.35622756909,-1.52987455414404,0.470125445855956,0.492929463251483
"Spring",4,2037,"Residue_Frac","Agricultural",1559.16987659868,1559.35622756909,-0.186350970413741,1.81364902958626,0.178071113713522
"Spring",4,2037,"MeanSlope_per","Site",1560.88336028756,1559.35622756909,1.5271327184721,3.5271327184721,0.0603721070367345
"Spring",4,2037,"Hydrologic_Group","Site",1566.41585323098,1559.35622756909,7.05962566188327,11.0596256618833,0.00396673146900746
"Spring",4,2037,"Tile","Site",1558.16103794627,1559.35622756909,-1.19518962281859,0.804810377181411,0.369659026210102
"Spring",5,2037,"Tillage_Passes","Agricultural",1594.38617901893,1595.58115782094,-1.1949788020147,0.805021197985297,0.369596341291372
"Spring",5,2037,"PerennialFrac","Agricultural",1594.32598156517,1595.58115782094,-1.25517625576981,0.744823744230189,0.388120028848185
"Spring",5,2037,"Residue_Frac","Agricultural",1596.19504174583,1595.58115782094,0.613883924883794,2.61388392488379,0.105932031692698
"Spring",5,2037,"MeanSlope_per","Site",1598.32794170007,1595.58115782094,2.74678387913013,4.74678387913013,0.0293531055669776
"Spring",5,2037,"Hydrologic_Group","Site",1601.67795681632,1595.58115782094,6.0967989953715,10.0967989953715,0.00641959981275005
"Spring",5,2037,"Tile","Site",1593.96903269808,1595.58115782094,-1.61212512286374,0.387874877136255,0.53341857693237
"Spring",6,2037,"Tillage_Passes","Agricultural",1651.7674591435,1653.65336650364,-1.8859073601368,0.114092639863202,0.735531981955076
"Spring",6,2037,"PerennialFrac","Agricultural",1652.03628202538,1653.65336650364,-1.61708447826231,0.382915521737687,0.536047013975982
"Spring",6,2037,"Residue_Frac","Agricultural",1651.68050752735,1653.65336650364,-1.97285897629217,0.0271410237078271,0.869144436362036
"Spring",6,2037,"MeanSlope_per","Site",1654.09668663679,1653.65336650364,0.44332013315443,2.44332013315443,0.118026177717564
"Spring",6,2037,"Hydrologic_Group","Site",1656.39658134848,1653.65336650364,2.74321484484472,6.74321484484472,0.0343344030736049
"Spring",6,2037,"Tile","Site",1651.91474413417,1653.65336650364,-1.73862236946798,0.261377630532024,0.609175280093099
"Spring",7,2037,"Tillage_Passes","Agricultural",1682.23453049728,1683.93312442481,-1.69859392753301,0.301406072466989,0.583002279483615
"Spring",7,2037,"PerennialFrac","Agricultural",1682.19983823538,1683.93312442481,-1.73328618943606,0.266713810563942,0.605544743482428
"Spring",7,2037,"Residue_Frac","Agricultural",1683.33851447956,1683.93312442481,-0.594609945249886,1.40539005475011,0.235823180399611
"Spring",7,2037,"MeanSlope_per","Site",1688.72043782103,1683.93312442481,4.78731339621891,6.78731339621891,0.00918079735124704
"Spring",7,2037,"Hydrologic_Group","Site",1685.79702225403,1683.93312442481,1.8638978292106,5.8638978292106,0.053293073219964
"Spring",7,2037,"Tile","Site",1682.16322875953,1683.93312442481,-1.76989566528778,0.230104334712223,0.631446476671161
"Spring",8,2037,"Tillage_Passes","Agricultural",1696.77369503947,1697.80996329623,-1.03626825676338,0.963731743236622,0.326248455228882
"Spring",8,2037,"PerennialFrac","Agricultural",1701.7409212114,1697.80996329623,3.93095791516748,5.93095791516748,0.0148771526465537
"Spring",8,2037,"Residue_Frac","Agricultural",1697.32599911741,1697.80996329623,-0.483964178818269,1.51603582118173,0.218220378728409
"Spring",8,2037,"MeanSlope_per","Site",1697.99220640637,1697.80996329623,0.182243110135914,2.18224311013591,0.139610853136973
"Spring",8,2037,"Hydrologic_Group","Site",1699.27147226483,1697.80996329623,1.46150896860104,5.46150896860104,0.0651701012962425
"Spring",8,2037,"Tile","Site",1696.27629373996,1697.80996329623,-1.53366955627553,0.466330443724473,0.494680197605297
"Spring",9,2037,"Tillage_Passes","Agricultural",1701.2104642124,1701.59190482176,-0.381440609359515,1.61855939064048,0.203292777033908
"Spring",9,2037,"PerennialFrac","Agricultural",1699.61580905967,1701.59190482176,-1.97609576209015,0.0239042379098464,0.877128822121838
"Spring",9,2037,"Residue_Frac","Agricultural",1699.59231063872,1701.59190482176,-1.99959418304184,0.000405816958163996,0.983927783130949
"Spring",9,2037,"MeanSlope_per","Site",1702.70116143076,1701.59190482176,1.10925660900375,3.10925660900375,0.0778484847768545
"Spring",9,2037,"Hydrologic_Group","Site",1704.40194108804,1701.59190482176,2.8100362662824,6.8100362662824,0.0332062179434928
"Spring",9,2037,"Tile","Site",1700.17188322978,1701.59190482176,-1.42002159197818,0.579978408021816,0.446320784422
"Spring",10,2037,"Tillage_Passes","Agricultural",1749.8102391031,1749.47773144019,0.332507662914395,2.3325076629144,0.126697628602072
"Spring",10,2037,"PerennialFrac","Agricultural",1749.15909854034,1749.47773144019,-0.318632899845397,1.6813671001546,0.194742896074985
"Spring",10,2037,"Residue_Frac","Agricultural",1751.35318974536,1749.47773144019,1.87545830517502,3.87545830517502,0.0489969309271253
"Spring",10,2037,"MeanSlope_per","Site",1752.6664947052,1749.47773144019,3.18876326501845,5.18876326501845,0.0227333884566048
"Spring",10,2037,"Hydrologic_Group","Site",1753.53020459014,1749.47773144019,4.05247314995245,8.05247314995245,0.0178413483420273
"Spring",10,2037,"Tile","Site",1748.70738483217,1749.47773144019,-0.77034660801155,1.22965339198845,0.267474455662614
"Spring",11,2037,"Tillage_Passes","Agricultural",1702.91709987733,1704.6450898667,-1.72798998937469,0.272010010625308,0.601986616228717
"Spring",11,2037,"PerennialFrac","Agricultural",1707.48499133941,1704.6450898667,2.83990147271038,4.83990147271038,0.0278084838085278
"Spring",11,2037,"Residue_Frac","Agricultural",1702.65024537375,1704.6450898667,-1.99484449295028,0.00515550704972156,0.942759592852945
"Spring",11,2037,"MeanSlope_per","Site",1707.86106179841,1704.6450898667,3.2159719317101,5.2159719317101,0.0223803337172706
"Spring",11,2037,"Hydrologic_Group","Site",1709.76367231917,1704.6450898667,5.11858245247208,9.11858245247208,0.0104694768048051
"Spring",11,2037,"Tile","Site",1703.74814248382,1704.6450898667,-0.896947382886538,1.10305261711346,0.293597157186176
"Spring",12,2037,"Tillage_Passes","Agricultural",1630.16710374699,1627.2499369881,2.91716675889052,4.91716675889052,0.0265910900517557
"Spring",12,2037,"PerennialFrac","Agricultural",1625.68445900642,1627.2499369881,-1.56547798167435,0.434522018325652,0.509778363986527
"Spring",12,2037,"Residue_Frac","Agricultural",1632.01892870531,1627.2499369881,4.76899171721925,6.76899171721925,0.00927552234940193
"Spring",12,2037,"MeanSlope_per","Site",1635.29590614835,1627.2499369881,8.04596916025275,10.0459691602528,0.0015268165556321
"Spring",12,2037,"Hydrologic_Group","Site",1634.37761995019,1627.2499369881,7.12768296209811,11.1276829620981,0.00383401975784004
"Spring",12,2037,"Tile","Site",1626.60873777269,1627.2499369881,-0.641199215407141,1.35880078459286,0.243745424229085
"Spring",13,2037,"Tillage_Passes","Agricultural",1546.62654887919,1538.617615754,8.00893312519815,10.0089331251982,0.00155782739730151
"Spring",13,2037,"PerennialFrac","Agricultural",1536.61764025274,1538.617615754,-1.99997550125204,2.4498747961843e-05,0.996050789953991
"Spring",13,2037,"Residue_Frac","Agricultural",1536.95813404279,1538.617615754,-1.65948171120294,0.340518288797057,0.559530208490397
"Spring",13,2037,"MeanSlope_per","Site",1541.35358284705,1538.617615754,2.73596709305275,4.73596709305275,0.0295382370796654
"Spring",13,2037,"Hydrologic_Group","Site",1540.36880757362,1538.617615754,1.75119181962395,5.75119181962395,0.0563825305876292
"Spring",13,2037,"Tile","Site",1538.67013580285,1538.617615754,0.0525200488577866,2.05252004885779,0.151954489743491
"Spring",14,2037,"Tillage_Passes","Agricultural",1607.83781450424,1601.12823070898,6.70958379525769,8.70958379525769,0.00316541468998455
"Spring",14,2037,"PerennialFrac","Agricultural",1602.78446901477,1601.12823070898,1.65623830578625,3.65623830578625,0.0558596167147089
"Spring",14,2037,"Residue_Frac","Agricultural",1600.5155766316,1601.12823070898,-0.61265407738324,1.38734592261676,0.238853821545756
"Spring",14,2037,"MeanSlope_per","Site",1608.06059525624,1601.12823070898,6.93236454726275,8.93236454726275,0.0028016141720497
"Spring",14,2037,"Hydrologic_Group","Site",1604.43981700957,1601.12823070898,3.31158630059167,7.31158630059167,0.0258409935612069
"Spring",14,2037,"Tile","Site",1599.71846376228,1601.12823070898,-1.40976694669484,0.590233053305155,0.44232901260145
"Spring",15,2037,"Tillage_Passes","Agricultural",1589.4046921927,1583.09968423474,6.3050079579657,8.3050079579657,0.00395359091872911
"Spring",15,2037,"PerennialFrac","Agricultural",1581.10300342259,1583.09968423474,-1.99668081215032,0.00331918784968366,0.954057377728964
"Spring",15,2037,"Residue_Frac","Agricultural",1582.07057036214,1583.09968423474,-1.02911387259701,0.970886127402991,0.324459280691217
"Spring",15,2037,"MeanSlope_per","Site",1586.17740176382,1583.09968423474,3.07771752908639,5.07771752908639,0.0242352539211174
"Spring",15,2037,"Hydrologic_Group","Site",1583.7725614337,1583.09968423474,0.672877198959213,4.67287719895921,0.0966713111466165
"Spring",15,2037,"Tile","Site",1581.81486468824,1583.09968423474,-1.28481954649874,0.715180453501262,0.397729372677239
"Spring",16,2037,"Tillage_Passes","Agricultural",1617.78688123354,1615.17714450316,2.60973673037893,4.60973673037893,0.031790913562105
"Spring",16,2037,"PerennialFrac","Agricultural",1613.72544368499,1615.17714450316,-1.45170081817491,0.548299181825087,0.459013481427708
"Spring",16,2037,"Residue_Frac","Agricultural",1613.87392405773,1615.17714450316,-1.30322044543391,0.696779554566092,0.403867931014126
"Spring",16,2037,"MeanSlope_per","Site",1624.48028188748,1615.17714450316,9.30313738431641,11.3031373843164,0.00077376231798364
"Spring",16,2037,"Hydrologic_Group","Site",1620.27644024969,1615.17714450316,5.09929574652688,9.09929574652688,0.0105709260342548
