"Season","Dropped","Variable_Group","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"Fall","Hydrologic_Group","Site",50,3.26068366926768,2.69068502150989,7.26068366926768,2.69068502150989,68
"Fall","MeanSlope_per","Site",50,0.235446035503555,1.27493224239204,2.23544603550356,1.27493224239204,12
"Fall","PerennialFrac","Agricultural",50,17.6986815297974,7.06582220880563,19.6986815297974,7.06582220880563,100
"Fall","Residue_Frac","Agricultural",50,12.9808267723828,5.75920772597727,14.9808267723828,5.75920772597727,100
"Fall","Tile","Site",50,1.64102914787253,1.52665079453834,3.64102914787253,1.52665079453834,46
"Fall","Tillage_Passes","Agricultural",50,2.53243730432214,4.19661190071484,4.53243730432214,4.19661190071484,46
"Spring","Hydrologic_Group","Site",50,4.4574959946554,3.07202288564226,8.4574959946554,3.07202288564226,78
"Spring","MeanSlope_per","Site",50,3.31502133065798,2.54662141306267,5.31502133065798,2.54662141306267,68
"Spring","PerennialFrac","Agricultural",50,-0.0668089805879936,2.46128672594475,1.93319101941201,2.46128672594475,20
"Spring","Residue_Frac","Agricultural",50,-0.583872493199119,1.72871958959757,1.41612750680088,1.72871958959757,10
"Spring","Tile","Site",50,-0.810434711340977,1.27007558565477,1.18956528865902,1.27007558565477,2
"Spring","Tillage_Passes","Agricultural",50,1.37093061485603,2.8511482247359,3.37093061485603,2.8511482247359,38
"Summer","Hydrologic_Group","Site",50,-3.18817860381704,0.608053992067645,0.811821396182963,0.608053992067645,0
"Summer","MeanSlope_per","Site",50,-0.775333511345066,1.04411079398611,1.22466648865493,1.04411079398611,4
"Summer","PerennialFrac","Agricultural",50,-1.18454641758845,1.22798403557391,0.815453582411551,1.22798403557391,6
"Summer","Tile","Site",50,-1.03161918096724,1.02232240369346,0.968380819032759,1.02232240369346,0
"Summer","Tillage_Passes","Agricultural",50,2.66777904235982,3.47182142129509,4.66777904235982,3.47182142129509,50
