"Season","Dropped","Variable_Group","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"August","Hydrologic_Group","Site",50,0.235644196425029,2.19426906974099,4.23564419642503,2.19426906974099,20
"August","MeanSlope_per","Site",50,-1.62327776558908,0.48963078358085,0.376722234410925,0.489630783580849,0
"August","PerennialFrac","Agricultural",50,12.13642063904,7.23985668726291,14.13642063904,7.23985668726292,96
"August","Tile","Site",50,1.43769817229615,1.66450004647373,3.43769817229615,1.66450004647373,34
"August","Tillage_Passes","Agricultural",50,1.0238750207499,2.76919240193506,3.0238750207499,2.76919240193506,26
"July","Hydrologic_Group","Site",50,-3.58806948415386,0.375275703082326,0.411930515846141,0.375275703082326,0
"July","MeanSlope_per","Site",50,-1.75144493314227,0.351975784226983,0.248555066857725,0.351975784226983,0
"July","PerennialFrac","Agricultural",50,-0.0910194457508601,2.1311051245293,1.90898055424914,2.1311051245293,12
"July","Tile","Site",50,2.73114511844453,1.81136021342186,4.73114511844453,1.81136021342186,64
"July","Tillage_Passes","Agricultural",50,1.38656566046959,2.54905515716732,3.38656566046959,2.54905515716731,32
"June","Hydrologic_Group","Site",50,-2.56140955869708,0.863555117096605,1.43859044130293,0.863555117096609,0
"June","MeanSlope_per","Site",50,0.436427972827092,1.06076158206501,2.43642797282709,1.06076158206501,12
"June","PerennialFrac","Agricultural",50,-0.143915633658876,2.05235719796982,1.85608436634112,2.05235719796983,16
"June","Tile","Site",50,-0.5447165196599,1.22042106913526,1.4552834803401,1.22042106913526,2
"June","Tillage_Passes","Agricultural",50,2.14027985101217,3.40049029761784,4.14027985101217,3.40049029761784,52
"September","Hydrologic_Group","Site",50,-2.2745472836792,1.0956812878507,1.7254527163208,1.0956812878507,0
"September","MeanSlope_per","Site",50,-0.884670501598922,0.956654300862163,1.1153296338396,0.956654139736149,0
"September","PerennialFrac","Agricultural",50,-1.01609570354721,0.922055699046019,0.98390429645279,0.922055699046019,0
"September","Tile","Site",50,4.55475243422446,2.91675361198322,6.55475243422446,2.91675361198322,94
"September","Tillage_Passes","Agricultural",50,-1.10117557127964,1.04193129839678,0.898824428720361,1.04193129839678,4
