"Season","Comparison","Smaller_Model","Larger_Model","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"August","Agricultural_Full","Agricultural","Full",50,-2.03344435921515,2.53153433434188,5.96655564078485,2.53153433434188,10
"August","Site_Full","Site","Full",50,10.9341350358523,7.28751553094078,14.9341350358523,7.28751553094078,92
"August","Storm_Agricultural","Storm","Agricultural",50,10.7102541254982,7.15735938436607,14.7102541254982,7.15735938436607,92
"August","Storm_Site","Storm","Site",50,-2.25732526956923,2.47034401025932,5.74267473043078,2.47034401025932,6
"July","Agricultural_Full","Agricultural","Full",50,-1.57943958664914,2.04031556428644,6.42056041335086,2.04031556428644,2
"July","Site_Full","Site","Full",50,2.19444475646629,3.48324658091965,6.19444475646629,3.48324658091965,40
"July","Storm_Agricultural","Storm","Agricultural",50,3.26693899980185,3.87569746913234,7.26693899980185,3.87569746913234,54
"July","Storm_Site","Storm","Site",50,-0.506945343313582,2.19727266973838,7.49305465668642,2.19727266973838,18
"June","Agricultural_Full","Agricultural","Full",50,-1.86322854517508,1.61777929338264,6.13677145482492,1.61777929338264,2
"June","Site_Full","Site","Full",50,5.8393552308692,5.31871271608392,9.8393552308692,5.31871271608393,68
"June","Storm_Agricultural","Storm","Agricultural",50,5.74590875746884,5.28649787513552,9.74590875746884,5.28649787513552,72
"June","Storm_Site","Storm","Site",50,-1.95667501857545,1.94421662653712,6.04332498142455,1.94421662653712,10
"September","Agricultural_Full","Agricultural","Full",50,-0.843578544021598,2.92982039392002,7.1564214559784,2.92982039392002,14
"September","Site_Full","Site","Full",50,-0.883357567446346,2.62211704959489,3.11664243255365,2.62211704959489,16
"September","Storm_Agricultural","Storm","Agricultural",50,-1.04058672140805,2.46197528451319,2.95941327859195,2.46197528451319,14
"September","Storm_Site","Storm","Site",50,-1.0008076979833,2.91167434299436,6.9991923020167,2.91167434299436,14
