"Season","Rep","Model","n","Use_Frozen","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"June",1,"Storm",1278,FALSE,TRUE,TRUE,567.020159788255,0.942651005506037,,0.628574651471223,0.786122975980009,2.42341698316454,FALSE
"June",1,"Agricultural",1278,FALSE,TRUE,TRUE,558.40999022505,0.947838893250615,,0.629621617025038,0.806955535210303,3.0221286432471,FALSE
"June",1,"Site",1278,FALSE,TRUE,TRUE,568.131143551391,0.943261647090216,,0.658084043561817,0.786693343400666,1.98356508878951,FALSE
"June",1,"Full",1278,FALSE,TRUE,TRUE,559.505329721798,0.947905601995105,,0.655128396702746,0.804994383044606,2.52833400641911,FALSE
"June",2,"Storm",1278,FALSE,TRUE,TRUE,609.116576817775,0.939187411455171,,0.58724810979046,0.760872507160064,2.38868967074749,FALSE
"June",2,"Agricultural",1278,FALSE,TRUE,TRUE,610.735749340566,0.940432098765432,,0.581706220015314,0.77263373150974,2.76261883560094,FALSE
"June",2,"Site",1278,FALSE,TRUE,TRUE,612.865008998609,0.939131754705525,,0.599461823437669,0.752454009514186,2.03325497896333,FALSE
"June",2,"Full",1278,FALSE,TRUE,TRUE,613.945390690293,0.940927949807731,,0.594758374519551,0.763566633381794,2.34889398006357,FALSE
"June",3,"Storm",1278,FALSE,TRUE,TRUE,587.191139303418,0.94080730280987,,0.581273147622931,0.743146393693175,2.07332745528343,FALSE
"June",3,"Agricultural",1278,FALSE,TRUE,TRUE,572.658805619465,0.946845433366614,,0.595988797642604,0.780461547510872,2.76439509546515,FALSE
"June",3,"Site",1278,FALSE,TRUE,TRUE,588.792913118958,0.940706931435786,,0.600468708342618,0.733748868694883,1.6468442791118,FALSE
"June",3,"Full",1278,FALSE,TRUE,TRUE,574.116951964026,0.946850716070514,,0.610985468777337,0.769139303593679,2.25376285129291,FALSE
"June",4,"Storm",1278,FALSE,TRUE,TRUE,555.001597568712,0.948779366700715,,0.59962149278457,0.774140974444422,2.54205507178503,FALSE
"June",4,"Agricultural",1278,FALSE,TRUE,TRUE,547.887568774297,0.952507660878447,,0.588337148302618,0.799516900260991,3.46539702026861,FALSE
"June",4,"Site",1278,FALSE,TRUE,TRUE,555.276920234139,0.948840653728294,,0.625232359818353,0.759782971390891,1.84272435615784,FALSE
"June",4,"Full",1278,FALSE,TRUE,TRUE,548.5589481814,0.95270684371808,,0.61144986886481,0.782353627757106,2.5833227749886,FALSE
"June",5,"Storm",1278,FALSE,TRUE,TRUE,555.77313023954,0.937109734256256,,0.53447860295782,0.726207158571035,2.30379166284814,FALSE
"June",5,"Agricultural",1278,FALSE,TRUE,TRUE,547.421628151903,0.941907885183213,,0.537942314626508,0.753093259719239,2.86674327882003,FALSE
"June",5,"Site",1278,FALSE,TRUE,TRUE,557.492122124705,0.936885860883876,,0.564939287296859,0.727074368609903,1.95438967988929,FALSE
"June",5,"Full",1278,FALSE,TRUE,TRUE,548.359610505962,0.941502492860255,,0.571054352042154,0.751306856440041,2.38449263919735,FALSE
"June",6,"Storm",1278,FALSE,TRUE,TRUE,564.950895250832,0.944092918436335,,0.596064802150773,0.768499665450477,2.45048441511713,FALSE
"June",6,"Agricultural",1278,FALSE,TRUE,TRUE,561.854924229171,0.947251235156453,,0.593486024939316,0.785485362835283,2.94456598292508,FALSE
"June",6,"Site",1278,FALSE,TRUE,TRUE,567.93529300621,0.944092918436335,,0.605683828099261,0.75651094417267,2.03787936661568,FALSE
"June",6,"Full",1278,FALSE,TRUE,TRUE,564.259413626251,0.947554606916876,,0.602758873804453,0.770813264657394,2.41234198989903,FALSE
"June",7,"Storm",1278,FALSE,TRUE,TRUE,584.719998551496,0.935044205012337,,0.534044106847165,0.729106007001471,2.36892639187978,FALSE
"June",7,"Agricultural",1278,FALSE,TRUE,TRUE,586.978141753419,0.9357917277893,,0.532352782507306,0.734873306636731,2.51300919685214,FALSE
"June",7,"Site",1278,FALSE,TRUE,TRUE,587.396947112098,0.93471259716391,,0.546658318025407,0.714621954543299,1.93630247384896,FALSE
