"Season","Rep","n","Dropped","Variable_Group","AIC_Dropped","AIC_Full","Delta_AIC","Chisq","P_Value"
"June",1,92,"Tillage_Passes","Agricultural",395.400181700988,396.106350169018,-0.706168468030512,1.29383153196949,0.255343046999259
"June",1,92,"PerennialFrac","Agricultural",395.084308692532,396.106350169018,-1.02204147648666,0.977958523513337,0.322703334045562
"June",1,92,"MeanSlope_per","Site",395.004218071236,396.106350169018,-1.1021320977826,0.897867902217399,0.343354048919281
"June",1,92,"Hydrologic_Group","Site",396.609170547506,396.106350169018,0.502820378488252,4.50282037848825,0.105250696460028
"June",1,92,"Tile","Site",396.291877996035,396.106350169018,0.185527827016699,2.1855278270167,0.139313297282773
"June",2,92,"Tillage_Passes","Agricultural",389.936451406469,391.035346803813,-1.09889539734371,0.901104602656289,0.342485699180436
"June",2,92,"PerennialFrac","Agricultural",389.129214830754,391.035346803813,-1.90613197305913,0.0938680269408678,0.759316176029081
"June",2,92,"MeanSlope_per","Site",391.705981806414,391.035346803813,0.670635002601387,2.67063500260139,0.102215233721501
"June",2,92,"Hydrologic_Group","Site",392.159215602607,391.035346803813,1.12386879879392,5.12386879879392,0.0771553467401334
"June",2,92,"Tile","Site",389.376629463596,391.035346803813,-1.65871734021698,0.341282659783019,0.559089780465529
"June",3,92,"Tillage_Passes","Agricultural",380.322706498251,382.301172736177,-1.97846623792685,0.0215337620731475,0.883334193672855
"June",3,92,"PerennialFrac","Agricultural",381.047894612571,382.301172736177,-1.25327812360672,0.746721876393281,0.38751609289997
"June",3,92,"MeanSlope_per","Site",382.126482883027,382.301172736177,-0.174689853150142,1.82531014684986,0.176682493410416
"June",3,92,"Hydrologic_Group","Site",380.488326003361,382.301172736177,-1.81284673281624,2.18715326718376,0.335016118432093
"June",3,92,"Tile","Site",380.763871894433,382.301172736177,-1.53730084174458,0.462699158255418,0.496365212397527
