"Season","Dropped","Variable_Group","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"August","Hydrologic_Group","Site",200,1.85520843763713,2.16857217097686,5.85520843763713,2.16857217097686,45.5
"August","MeanSlope_per","Site",200,-1.68483308999931,0.512199809747903,0.315166910000691,0.512199809747903,0.5
"August","PerennialFrac","Agricultural",200,-1.1932024056754,1.18394789548692,0.806797594324599,1.18394789548692,2.5
"August","Tile","Site",199,2.69665709074976,2.76893832363282,4.69665709074977,2.76893832363282,56.78391959799
"August","Tillage_Passes","Agricultural",200,-0.992274920404924,1.17439412647544,1.00772507959508,1.17439412647544,4.5
"July","Hydrologic_Group","Site",200,-0.902836215362728,2.19425692867663,3.09716378463727,2.19425692867663,12
"July","MeanSlope_per","Site",200,-0.948397543985455,1.26842028234126,1.05160245601455,1.26842028234126,3.5
"July","PerennialFrac","Agricultural",200,-1.05430330532825,1.48931914600792,0.945696694671751,1.48931914600792,6
"July","Tile","Site",62,-1.44649833215235,0.833042199576928,0.553501667847652,0.833042199576928,0
"July","Tillage_Passes","Agricultural",200,-0.640910646390987,1.7570212621614,1.35908935360901,1.7570212621614,9
"June","Hydrologic_Group","Site",200,2.90942049743834,3.65688198380982,6.90942049743834,3.65688198380982,55
"June","MeanSlope_per","Site",200,-1.22663476324334,0.972280766123765,0.773533081080152,0.972143653325889,2
"June","PerennialFrac","Agricultural",200,-1.14135060754836,1.31137052639835,0.860126799749522,1.31022968382881,5
"June","Tile","Site",200,-1.31844153617584,0.931502241557603,0.681558463824165,0.931502241557603,1
"June","Tillage_Passes","Agricultural",200,-1.09886127828309,1.22736018286997,0.901138721716914,1.22736018286997,4.5
"September","Hydrologic_Group","Site",193,0.84310099516477,1.95920383160259,4.84310099516477,1.95920383160259,24.8704663212435
"September","MeanSlope_per","Site",200,-1.52295919189848,0.724839662316327,0.477040808101522,0.724839662316327,0.5
"September","PerennialFrac","Agricultural",200,-1.56771473793995,0.670117666783143,0.432285262060055,0.670117666783143,0.5
"September","Tile","Site",13,3.14509620098973,1.82858406075989,5.14509620098973,1.82858406075989,84.6153846153846
"September","Tillage_Passes","Agricultural",200,-1.41480091217623,0.778798475287653,0.58519908782377,0.778798475287653,1.5
