"Season","Comparison","Smaller_Model","Larger_Model","Replications","Mean_Delta_AIC","SD_Delta_AIC","Mean_Chisq","SD_Chisq","Significant_Percent"
"August","Agricultural_Full","Agricultural","Full",200,-0.174899417855918,2.68067948092688,7.81510058214408,2.69843998107975,23.5
"August","Site_Full","Site","Full",200,-2.1206499359175,1.74873135941724,1.8793500640825,1.74873135941724,3.5
"August","Storm_Agricultural","Storm","Agricultural",200,-1.33815389042583,2.22387409000829,2.66184610957417,2.22387409000829,9
"August","Storm_Site","Storm","Site",200,0.607596627635758,2.71724017165997,8.59759662763576,2.73583471273079,32
"July","Agricultural_Full","Agricultural","Full",200,-1.90983566747022,2.54779886018469,4.71016433252978,2.74461105648804,9
"July","Site_Full","Site","Full",200,-1.70461146936392,2.46866625814364,2.29538853063608,2.46866625814364,8
"July","Storm_Agricultural","Storm","Agricultural",200,-1.48774643314589,2.74125226130576,2.51225356685411,2.74125226130576,9.5
"July","Storm_Site","Storm","Site",200,-1.69297063125219,2.44925488250582,4.92702936874781,2.67066432982674,11
"June","Agricultural_Full","Agricultural","Full",200,2.39555331955998,4.45492304798181,10.39555331956,4.45492304798181,54
"June","Site_Full","Site","Full",200,-2.25022604179562,1.78761726621149,1.75102214009492,1.78630085507189,3.5
"June","Storm_Agricultural","Storm","Agricultural",200,-1.89387834196538,1.89811439877849,2.10612165803462,1.89811439877849,5
"June","Storm_Site","Storm","Site",200,2.75190101939022,4.17521738348369,10.7519010193902,4.17521738348369,58.5
"September","Agricultural_Full","Agricultural","Full",200,-1.06113709886878,1.89220785762179,4.92886290113122,2.26976961667475,10.5
"September","Site_Full","Site","Full",200,-2.78322142094829,1.19773236049056,1.21677857905171,1.19773236049056,0.5
"September","Storm_Agricultural","Storm","Agricultural",200,-2.7144488169595,1.05842438629094,1.2855511830405,1.05842438629094,0
"September","Storm_Site","Storm","Site",200,-0.992364494879999,1.79602487791008,4.99763550512,2.21178371994459,9.5
